POA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA2430,14,20,8,5,3,0,0,3,3,67,13,20,22,6,7,10,3,10,0,103,144,75,513,48,43,52,147,126,13,1161,140,18,343,20,9,19,32,87,8,674,44,32,48,11,3,9,17,52,4,214,18,220,6,75,5,0,5,18,0,347,34,160,6,13,3,5,3,7,0,244,122,99,33,43,44,69,31,32,9,493,31,95,21,132,15,7,9,18,0,328,6,18,16,7,6,7,0,0,0,75,31,0,88,28,3,15,11,40,0,221,0,0,0,0,0,0,0,4,0,3,4,11,14,8,0,0,10,8,6,58,10,8,44,16,8,13,34,37,24,194,607,793,1171,417,158,211,296,454,76,4180,3,17,9,3,9,0,4,0,0,54,3,0,6,0,0,8,0,0,0,22,11,6,11,4,12,4,6,4,0,54,0,7,0,3,3,0,0,0,0,14,13,14,4,5,14,17,0,3,3,80
POA2431,5,0,3,0,0,0,0,0,0,13,5,0,0,0,0,0,0,3,0,7,16,23,63,15,12,4,17,25,0,182,17,5,74,8,3,5,11,11,4,131,0,0,5,0,0,5,0,8,0,21,3,19,0,9,0,0,0,3,0,31,0,26,0,0,0,0,0,5,0,34,23,10,4,4,0,4,5,3,0,61,9,9,0,28,0,0,0,5,0,58,0,6,3,0,0,0,0,0,0,9,8,0,17,3,0,0,3,7,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,10,0,10,0,3,0,3,3,3,26,91,92,181,70,25,27,37,80,7,618,5,4,0,0,3,0,0,0,0,16,5,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,3,0,0,3,0,0,0,0,0,11
POA2439,3,0,3,0,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,12,24,8,85,5,5,9,28,17,0,173,22,4,51,0,3,0,0,10,0,92,9,0,10,0,0,0,3,6,0,31,5,17,0,9,0,0,0,0,0,32,0,17,3,0,0,0,0,0,0,26,11,5,0,4,3,3,0,0,0,38,7,11,4,16,0,0,0,0,0,35,0,7,5,0,0,0,0,0,0,12,0,0,11,0,0,6,5,9,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,8,0,0,0,6,3,0,21,75,75,184,32,18,19,43,52,10,512,0,3,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,0,13
POA2440,8,13,0,0,0,0,0,10,0,27,0,4,13,8,0,9,0,7,3,44,94,33,292,32,17,23,101,88,8,689,82,7,199,17,5,10,27,73,3,419,37,11,24,8,3,4,19,34,7,136,9,77,0,35,4,5,8,3,0,134,18,73,4,20,0,0,0,3,5,120,58,39,13,31,36,29,20,22,0,255,20,41,6,109,3,5,8,10,0,199,4,8,6,6,0,4,0,0,0,34,19,5,49,25,8,4,12,29,5,147,0,0,0,0,0,0,0,0,0,0,3,5,10,8,3,4,8,3,0,45,15,7,28,16,0,7,27,26,21,133,370,322,655,299,81,95,224,306,56,2401,8,14,4,0,3,0,0,0,0,32,3,3,0,0,5,0,0,4,0,15,3,5,4,5,4,3,3,6,0,34,3,4,0,0,6,0,0,0,0,13,8,6,3,7,17,7,3,8,3,64
POA2441,6,3,0,0,3,0,0,3,0,9,3,3,0,4,0,0,0,0,0,14,26,7,74,3,4,4,19,23,0,183,12,0,50,0,0,3,12,15,7,97,24,6,10,0,0,0,3,10,0,47,4,15,5,8,0,0,0,0,0,31,0,13,0,6,0,0,0,0,0,25,19,8,4,0,0,5,4,4,0,50,8,7,0,18,0,0,0,0,0,41,0,0,0,5,0,0,0,0,0,10,7,0,6,0,0,0,3,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,9,0,0,0,6,3,0,24,117,73,161,43,16,22,52,70,14,563,0,5,0,4,6,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,6,0,0,10,0,3,0,0,0,0,0,0,0,3,4,4,3,0,4,0,0,9,0,23
POA2443,5,7,0,0,0,0,0,0,0,16,5,10,0,0,0,0,0,0,0,16,36,15,104,8,3,12,34,34,4,252,35,5,89,0,0,4,5,19,4,168,14,5,18,4,6,0,6,13,0,64,0,16,0,9,0,0,4,0,0,35,3,26,8,8,0,0,0,0,0,41,13,20,0,5,10,6,3,6,3,76,4,23,0,26,6,0,0,0,0,63,3,0,0,0,0,0,0,5,0,12,3,0,21,6,0,5,5,10,0,45,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,0,0,14,4,0,4,4,8,4,43,129,127,270,75,28,42,68,101,22,855,5,12,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,3,0,0,16,0,0,0,5,0,0,0,0,0,8,3,5,0,4,0,0,0,6,0,26
POA2444,16,58,8,5,11,3,0,4,0,113,30,99,56,15,24,3,16,23,3,264,217,246,722,67,70,80,131,143,16,1698,177,35,583,30,21,18,31,100,17,1020,32,46,77,8,10,3,16,42,6,240,38,509,20,103,14,8,10,12,3,717,49,303,11,33,7,11,6,4,0,437,346,288,79,69,126,126,47,80,13,1174,73,197,30,252,37,29,21,17,5,657,18,53,18,11,9,20,3,10,0,134,70,9,189,42,15,32,29,45,3,438,3,3,0,0,0,3,0,4,0,10,16,18,25,12,7,5,14,11,5,108,21,12,42,17,3,22,14,21,40,196,1110,1878,1864,665,356,368,337,518,113,7208,23,59,22,15,23,11,0,0,4,160,7,16,3,15,26,0,0,8,0,75,14,16,14,11,12,8,0,11,0,81,8,24,10,4,9,11,0,3,0,64,6,20,9,18,9,9,0,5,0,79
POA2445,4,4,6,0,0,0,3,0,0,16,0,12,4,0,0,0,0,0,0,22,36,24,108,16,14,16,32,33,5,279,28,3,102,3,3,8,13,22,6,194,11,4,15,4,3,5,4,10,0,54,0,29,5,14,0,0,0,0,0,56,13,68,4,6,0,0,3,0,0,90,45,31,12,12,15,13,11,10,7,137,3,22,4,41,4,4,5,9,0,91,0,9,3,0,0,0,0,3,0,20,8,0,16,8,5,4,0,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,7,0,0,0,3,8,8,30,156,205,287,105,48,49,72,106,12,1036,0,8,3,0,0,0,0,0,0,20,3,0,0,5,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,5,0,4,3,0,0,0,0,9
POA2446,6,12,3,0,0,0,4,0,0,25,10,4,12,5,3,0,3,11,0,53,83,36,342,29,18,26,89,49,8,681,62,5,217,3,12,4,25,41,8,371,22,5,38,5,7,3,14,15,0,110,13,67,3,19,0,0,3,8,4,115,12,40,0,17,3,0,0,0,0,76,70,45,11,9,30,34,13,10,4,227,16,21,9,67,3,3,0,9,0,118,9,10,5,0,3,3,0,0,0,27,8,0,44,9,3,9,8,18,0,108,0,0,0,3,0,0,0,0,0,5,3,5,0,0,0,0,6,0,0,23,9,5,14,5,0,9,15,21,15,100,316,259,702,179,86,94,179,181,40,2036,6,13,9,0,7,0,0,0,0,36,3,6,0,0,7,0,0,0,0,20,8,4,3,0,3,0,4,0,0,29,3,5,3,4,0,0,0,0,0,20,8,3,10,6,0,9,3,8,0,44
POA2447,3,3,0,3,0,0,0,0,0,13,5,4,5,0,0,0,0,0,0,20,34,10,136,3,10,9,36,36,4,278,29,7,56,6,0,0,5,19,3,128,19,5,15,4,0,0,9,13,0,67,0,28,0,13,0,3,0,0,0,51,5,37,0,5,0,0,0,0,0,52,27,16,6,5,11,12,6,9,3,88,4,18,0,27,5,4,0,5,0,60,0,7,0,0,3,0,0,0,0,20,6,0,20,0,0,0,3,8,0,47,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,8,0,22,6,0,16,3,5,0,3,15,9,50,161,139,259,77,30,41,61,115,18,901,0,4,0,0,0,4,0,0,0,16,0,0,0,6,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,6,0,0,0,5,0,0,4,0,19
POA2448,4,10,0,0,0,0,0,0,0,16,3,4,8,5,3,0,0,0,0,21,38,14,113,5,14,10,25,46,3,262,13,11,86,3,4,0,15,13,5,157,15,7,12,0,6,0,7,13,0,59,0,36,3,21,0,0,0,0,0,71,12,41,0,5,0,0,6,0,0,64,41,23,6,8,8,7,4,20,0,113,12,15,4,29,7,0,5,4,0,83,0,5,3,4,0,0,0,0,0,24,7,0,24,6,3,6,3,11,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,13,8,6,8,0,0,5,5,11,10,49,160,169,279,94,39,31,70,124,19,989,0,10,3,0,4,0,0,0,0,19,0,0,0,0,4,0,0,0,0,7,0,4,4,0,4,0,0,0,0,16,0,4,4,0,4,0,0,0,0,13,4,8,0,4,4,0,0,0,0,21
POA2449,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,10,3,32,3,3,0,8,10,0,74,10,0,10,0,0,0,3,4,0,29,7,4,0,0,0,0,0,3,0,17,0,4,0,3,0,0,0,0,0,12,6,3,0,0,0,0,0,0,0,10,0,0,0,0,0,5,3,5,0,17,6,0,0,7,0,3,0,0,0,16,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,3,0,0,12,44,28,56,27,7,15,19,29,0,222,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
POA2450,30,68,17,17,7,4,3,20,0,161,29,71,40,12,21,15,9,15,0,216,214,172,717,67,78,76,157,163,15,1652,161,40,507,22,13,25,45,137,11,959,59,44,95,9,16,12,31,70,5,345,34,409,24,70,6,8,3,15,5,584,41,197,15,36,13,10,10,10,5,328,283,224,50,61,116,112,42,67,8,962,77,160,24,200,31,26,19,29,7,582,19,51,29,16,11,9,0,20,0,159,58,5,165,31,6,26,34,53,9,394,0,0,3,0,0,0,0,3,0,11,22,15,23,9,0,0,10,26,7,107,33,7,40,19,22,11,25,43,28,232,1063,1478,1750,568,347,338,386,675,93,6695,19,39,10,26,23,10,0,9,6,138,11,7,5,4,7,6,0,4,0,45,7,21,10,3,18,5,9,10,0,81,9,21,9,0,11,9,0,5,0,65,17,32,10,20,25,12,3,17,4,140
POA2452,3,24,8,0,3,5,0,0,0,54,9,15,9,0,3,8,8,3,0,54,56,41,210,22,20,32,47,44,4,479,54,15,151,4,8,8,22,48,3,315,12,12,37,7,3,0,15,24,3,114,11,105,10,27,5,0,4,7,0,161,13,72,6,8,7,0,0,5,0,113,80,37,18,20,32,31,13,21,0,253,10,49,8,66,12,5,6,12,0,178,8,19,6,3,0,0,0,4,3,54,17,0,60,13,6,10,9,21,0,146,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,3,3,3,5,24,9,9,23,0,6,3,3,15,15,79,269,411,547,194,104,112,139,219,29,2019,12,12,7,5,9,0,0,0,0,42,4,0,5,0,8,0,0,0,0,20,8,3,0,0,5,3,5,0,0,24,0,6,3,0,0,0,0,0,0,12,6,14,0,3,3,3,0,3,0,37
POA2453,4,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,25,10,35,0,4,0,15,12,0,104,16,0,14,0,0,0,6,8,0,41,30,0,5,4,0,3,0,4,0,45,3,6,0,6,0,0,0,0,0,17,4,5,0,0,0,0,0,6,0,16,9,3,3,0,3,6,0,6,0,31,8,9,0,5,4,0,0,0,0,29,4,4,0,0,0,0,0,0,0,11,4,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,10,4,0,4,0,0,0,0,4,0,18,116,53,58,22,8,9,27,42,0,346,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,5,0,4,0,0,0,0,0,0,0,4,12,4,0,0,0,0,0,0,0,17
POA2454,3,23,9,0,4,0,0,0,0,43,7,16,0,0,4,0,4,4,0,36,47,22,103,7,14,10,28,27,0,261,29,12,89,4,0,0,8,24,0,163,11,20,25,3,0,4,9,10,0,83,9,48,0,19,6,0,0,0,0,77,7,55,4,3,4,5,0,0,0,77,29,28,12,3,11,11,5,6,4,116,11,53,12,13,13,0,0,6,4,103,10,24,13,13,5,0,0,6,0,73,7,0,31,0,0,3,0,4,0,60,0,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,3,0,0,24,9,3,11,3,0,0,5,9,6,44,184,308,307,74,56,40,64,95,20,1162,5,19,0,6,9,0,0,0,0,32,0,0,0,0,3,0,0,0,0,6,0,4,0,0,4,4,0,0,0,20,0,3,0,0,0,0,0,0,0,12,5,10,3,7,6,0,0,7,0,35
POA2455,0,6,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,14,4,48,5,0,4,16,18,0,119,15,0,39,0,0,0,4,11,0,77,0,4,3,0,0,0,0,3,0,21,5,10,0,5,0,0,0,0,0,20,4,23,0,4,0,0,0,0,0,27,11,13,5,4,0,3,0,3,0,38,0,7,0,11,3,0,0,0,0,28,0,5,0,0,0,4,0,0,0,12,8,0,10,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,4,0,0,17,61,75,125,33,13,15,36,49,3,404,0,3,0,0,6,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7
POA2456,15,28,5,0,6,0,0,3,0,62,21,12,10,5,4,5,4,8,0,73,71,71,268,14,28,23,46,62,0,591,61,12,216,9,10,3,26,47,5,390,42,35,44,0,12,8,19,45,3,210,10,83,4,28,0,0,0,6,0,140,17,100,4,15,3,4,8,5,0,149,93,44,17,20,23,29,3,19,9,262,25,41,0,83,8,8,7,15,6,187,5,19,10,10,4,3,0,12,0,65,18,3,53,17,9,6,8,17,0,119,0,0,0,0,0,0,0,4,0,3,12,6,5,3,0,0,3,10,0,36,19,7,15,7,0,3,9,38,11,113,403,458,660,213,107,94,133,295,41,2402,4,23,8,11,11,0,0,3,0,60,3,4,0,0,3,4,0,6,0,24,7,3,3,3,3,0,0,0,0,25,3,8,0,4,0,0,0,3,0,20,22,14,4,19,10,4,3,18,0,102
POA2460,10,22,9,0,6,0,0,6,0,55,13,12,17,6,0,4,0,3,0,69,132,68,498,47,32,37,169,110,19,1115,90,6,213,15,6,7,42,82,9,483,59,35,42,3,11,8,30,51,4,243,12,116,4,43,0,6,0,7,4,192,27,106,7,19,10,3,5,3,4,179,104,63,18,35,54,49,25,33,0,380,22,60,10,193,17,5,15,22,3,347,7,23,7,5,8,0,0,12,0,61,17,6,75,20,4,7,20,25,0,182,0,0,0,0,0,0,0,0,0,0,5,8,9,4,8,0,16,14,0,60,27,7,27,8,4,11,24,33,15,168,533,537,923,405,166,140,359,404,64,3529,5,14,5,0,14,4,0,0,0,44,3,3,0,0,8,3,0,4,0,30,7,4,0,6,11,6,9,4,0,46,4,6,0,0,3,0,0,0,0,17,10,17,8,14,17,8,0,9,6,80
POA2462,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,8,6,33,3,0,10,17,7,0,79,12,0,22,0,0,3,0,7,0,54,0,5,9,0,0,0,0,4,0,20,0,9,0,5,0,0,4,0,0,15,0,4,0,0,0,0,3,5,0,14,6,3,0,0,8,4,7,0,4,24,3,4,0,12,0,0,0,6,0,26,4,0,0,0,0,0,0,0,0,7,6,3,9,4,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,10,0,0,6,0,4,3,23,47,40,90,25,8,22,30,36,13,300,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
POA2463,0,7,3,0,0,0,0,0,0,18,6,5,0,0,0,0,0,5,0,20,55,27,114,3,3,6,47,41,5,309,46,4,80,8,3,4,12,25,7,186,13,8,5,0,3,0,12,8,0,55,5,34,0,16,0,3,0,5,0,60,10,30,0,0,0,0,0,5,0,53,24,27,3,8,12,14,10,9,0,106,9,18,0,28,7,0,4,6,0,78,0,11,9,4,0,0,0,0,0,23,10,0,24,7,0,0,10,4,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,20,9,0,9,0,0,0,0,12,3,42,198,174,254,83,35,34,97,126,27,1025,0,3,5,0,5,0,0,0,0,23,0,5,0,0,0,0,0,0,0,11,4,4,6,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,0,17
POA2464,3,6,0,0,0,0,0,0,0,20,6,9,0,0,0,0,0,0,0,7,32,33,85,4,0,9,16,37,0,210,34,7,70,3,0,4,3,21,4,146,10,6,18,0,0,0,4,7,0,46,3,46,0,12,0,0,0,3,0,62,6,28,0,0,0,0,0,4,0,46,30,27,7,6,11,13,0,0,0,109,7,22,5,32,0,8,3,7,0,80,7,3,6,0,4,0,0,3,0,25,5,4,27,7,0,0,0,10,0,45,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,0,13,4,0,4,0,5,0,3,6,4,30,149,185,228,69,21,39,42,98,13,838,6,4,0,0,3,0,0,0,0,16,3,0,0,0,0,0,0,0,0,5,0,3,4,0,0,4,0,3,0,20,0,4,0,0,0,0,0,0,0,6,0,9,5,0,5,0,0,4,0,21
POA2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,7,0,0,15,3,0,5,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,11,4,22,5,0,0,4,6,0,50,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2466,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,9,19,0,4,3,4,9,0,52,0,0,21,4,0,0,0,3,0,30,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,0,17,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,14,19,50,8,6,13,17,29,0,151,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
POA2469,6,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,39,4,52,3,0,0,22,20,6,144,23,0,21,0,0,0,9,7,6,64,26,0,0,3,0,0,6,13,0,56,0,5,0,8,0,3,0,0,0,21,8,9,0,0,0,0,0,0,0,20,11,6,0,0,4,0,4,4,0,31,3,4,0,11,0,0,0,4,0,28,3,0,0,0,0,0,0,0,0,8,3,0,8,0,0,0,4,5,0,25,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,15,3,0,3,0,0,0,4,12,3,29,128,39,86,34,7,14,47,64,21,436,0,7,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,6,0,24
POA2470,0,6,0,0,0,0,0,0,0,17,0,7,3,0,0,0,0,5,0,20,69,16,286,8,15,28,96,94,5,607,31,0,91,0,5,0,10,43,0,192,33,13,13,4,0,11,17,35,0,122,15,37,6,12,0,0,6,9,0,76,13,39,3,0,0,3,3,0,3,66,41,15,4,15,15,32,6,15,4,154,12,19,0,40,8,8,3,14,0,102,5,3,7,0,0,0,0,4,0,20,16,0,39,4,0,7,10,32,0,112,0,0,0,0,0,0,0,4,0,3,5,4,3,0,0,3,4,11,0,31,10,0,17,3,5,3,15,25,9,91,251,166,477,96,52,98,176,289,25,1628,3,3,10,0,4,0,0,4,0,26,0,0,0,0,4,0,0,5,0,7,0,5,5,0,4,5,0,10,0,24,0,6,0,0,0,0,0,0,0,6,14,0,0,3,8,3,0,8,0,43
