POA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA2019,5,7,13,71,65,133,0,0,0,0,0,0,3,7,9,1652,1186,2840,92,137,230,50,0,50,67,9,73,33,4,34,33,19,56,92,74,160,2084,1507,3597,34,48,79,0,0,0,0,0,0,5,0,4,3,0,5,0,0,0,40,54,93,0,0,0,3,0,3,4,6,9,0,7,7,0,0,3,12,17,25,28,12,39,76,78,157,4,3,7,0,0,0,0,0,3,8,5,12,1109,1488,2595,336,558,894,12,5,23,3630,3646,7271
POA2020,476,465,939,155,207,355,0,0,0,3,0,3,17,20,32,1998,1017,3019,105,204,308,35,0,35,119,23,141,72,25,101,43,30,72,293,263,563,3317,2256,5571,135,159,294,0,0,0,7,14,17,20,7,31,5,10,14,10,3,19,183,196,380,0,0,0,0,0,0,3,0,4,0,7,10,8,3,8,9,16,25,40,13,53,232,232,459,29,43,74,3,3,3,3,3,4,37,51,84,2176,2411,4586,685,827,1510,42,26,66,6484,5798,12287
POA2021,47,25,78,165,125,288,0,0,0,8,3,6,11,11,23,737,575,1315,60,62,128,6,0,6,46,8,56,84,27,114,25,20,39,319,336,655,1511,1201,2710,25,28,51,0,0,0,5,0,4,4,0,4,0,0,0,0,0,0,28,32,58,0,0,0,4,0,4,5,0,5,0,5,3,4,3,7,16,6,20,10,12,25,51,44,96,5,3,12,5,0,4,0,0,0,8,3,16,2551,2793,5343,344,518,861,9,11,23,4479,4570,9055
POA2022,209,166,373,86,101,185,0,0,0,0,0,0,11,7,14,764,424,1185,48,48,95,23,0,25,64,18,82,68,25,89,20,18,36,173,253,432,1456,1061,2518,47,39,88,0,0,6,0,0,6,4,7,12,3,0,3,11,7,11,68,54,122,0,0,0,0,0,0,6,5,5,0,0,0,4,4,9,10,11,17,14,5,18,89,67,157,9,0,10,0,0,0,0,0,0,9,0,10,1838,2040,3883,283,437,721,18,12,27,3691,3622,7311
POA2023,40,24,62,24,33,55,16,4,18,0,0,0,8,3,12,827,489,1320,48,77,123,11,0,11,36,6,39,18,10,27,15,11,25,63,90,156,1103,746,1849,33,31,58,0,0,0,0,0,0,3,0,3,0,5,5,4,6,7,38,37,71,0,0,0,0,0,0,0,5,4,0,5,5,3,4,8,3,14,16,14,9,24,56,57,116,3,0,8,0,0,0,0,0,0,3,0,10,1407,1590,2996,199,333,541,11,12,31,2791,2745,5536
POA2024,30,16,52,23,49,70,0,0,0,0,0,0,3,8,16,779,505,1287,36,63,94,13,0,13,35,17,56,47,29,76,10,13,26,83,130,208,1071,829,1902,42,32,74,0,0,0,0,0,0,7,0,6,0,3,3,3,0,3,51,31,82,0,0,0,0,0,0,0,0,0,0,5,5,4,4,4,4,10,9,15,10,21,67,56,115,11,4,12,0,0,0,0,0,0,16,4,19,1619,1794,3413,237,351,592,10,8,20,3018,3033,6055
POA2025,67,39,106,19,25,48,7,0,7,0,0,0,4,3,11,358,267,623,15,42,59,6,0,6,16,5,19,22,5,28,14,9,18,83,93,177,602,502,1096,8,12,19,0,0,0,0,0,0,8,0,8,0,0,0,5,0,8,16,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,3,22,13,36,5,4,8,0,0,0,0,0,0,5,0,5,1028,1211,2241,121,214,335,5,5,17,1783,1953,3734
POA2026,88,74,155,177,241,416,16,5,22,0,3,3,28,23,48,2234,1317,3552,97,138,236,60,0,60,255,52,306,128,52,179,47,37,86,277,425,699,3403,2365,5772,227,177,400,0,3,4,0,0,0,0,5,9,3,0,5,4,5,5,232,190,422,0,0,0,0,0,0,7,4,8,4,0,10,14,7,18,21,11,31,38,10,47,289,212,500,37,27,58,0,0,0,0,0,0,41,27,63,5130,5812,10941,717,1162,1875,62,45,107,9640,9624,19258
POA2027,76,57,132,3,8,12,8,3,10,0,0,0,6,3,12,462,319,784,29,34,65,3,0,3,13,5,24,14,10,19,11,13,23,82,100,177,711,553,1257,15,19,37,0,0,0,0,0,0,4,0,5,0,5,5,0,0,0,20,29,44,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,8,9,0,10,31,32,62,4,0,4,0,0,0,0,0,0,4,0,4,1143,1209,2350,166,223,391,21,18,38,2069,2035,4104
POA2028,23,28,55,9,6,10,5,3,13,0,0,0,4,0,8,252,186,438,21,28,44,5,0,5,9,0,9,9,0,9,9,4,10,56,86,148,403,344,745,3,8,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,13,16,28,8,3,10,0,0,0,0,0,0,5,3,10,753,838,1593,92,152,247,6,11,16,1264,1378,2643
POA2029,3,4,13,23,51,80,35,16,48,0,0,0,6,6,5,783,511,1295,35,61,95,10,0,10,45,11,57,18,6,28,22,20,38,59,98,155,1042,784,1827,25,24,45,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,33,22,56,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,7,7,12,5,7,17,46,37,81,9,3,14,0,0,0,0,0,0,10,3,14,1209,1424,2631,216,300,516,8,12,22,2527,2561,5093
POA2030,6,7,15,40,39,80,27,7,30,0,0,0,5,9,12,1202,742,1941,56,104,159,17,0,17,33,3,35,9,6,11,27,19,39,107,85,188,1521,1012,2533,11,12,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,13,25,4,6,4,0,0,0,0,4,5,0,0,0,0,0,0,4,9,14,17,5,27,40,26,62,9,7,12,0,0,0,5,0,5,15,7,20,1773,1662,3434,267,431,699,15,15,31,3625,3149,6778
POA2031,34,14,47,275,401,673,4,0,4,60,43,109,22,30,56,2408,1651,4055,94,162,258,64,3,67,134,38,171,176,75,253,38,38,80,399,785,1185,3714,3243,6956,63,70,132,0,0,0,18,13,35,7,0,7,3,0,0,3,5,5,83,89,179,4,0,0,8,24,42,14,7,14,3,6,9,4,13,21,33,54,84,43,18,62,162,156,323,16,27,48,11,5,9,0,3,5,29,33,61,4394,5280,9675,750,1309,2051,40,28,64,9090,10041,19133
POA2032,19,7,28,162,162,320,0,0,0,54,32,87,6,10,21,1060,732,1798,75,138,208,26,0,26,72,10,82,56,25,83,20,12,30,154,211,367,1705,1338,3043,30,28,52,0,0,0,12,3,17,0,0,0,0,0,0,0,0,0,40,32,78,0,0,0,21,13,36,0,0,0,7,10,15,7,10,16,37,27,70,24,12,37,98,81,180,19,20,33,4,3,11,0,0,0,25,26,42,1320,1387,2712,396,514,914,15,10,30,3566,3357,6915
POA2033,12,8,18,105,138,239,0,0,0,64,57,123,3,9,13,871,536,1400,49,86,132,11,0,15,46,15,58,56,28,79,17,20,33,130,135,267,1365,1010,2376,16,13,31,0,0,0,16,9,29,5,0,5,0,0,0,0,0,0,43,23,70,0,0,0,15,18,40,5,3,6,3,4,10,3,3,13,29,38,63,17,10,30,86,71,157,13,16,28,5,6,12,0,0,0,18,22,40,1264,1432,2699,336,460,792,11,4,18,3081,3000,6080
POA2034,12,3,14,175,272,445,0,0,0,10,3,9,8,20,26,1654,1105,2764,62,133,194,46,3,45,87,21,108,72,35,109,18,19,41,123,281,405,2272,1891,4160,25,34,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,66,0,0,0,0,3,7,3,3,12,0,6,6,8,6,13,15,22,35,26,13,40,65,66,138,6,4,11,0,0,0,0,0,0,9,4,11,2638,3397,6033,448,759,1206,21,25,49,5452,6143,11596
POA2035,17,6,20,276,370,651,0,0,0,9,10,13,8,21,30,3214,2167,5383,169,303,473,96,0,96,142,20,157,94,42,132,46,36,87,194,253,445,4263,3225,7490,52,51,95,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,58,51,106,0,0,0,13,10,19,20,8,30,10,13,21,12,11,20,47,37,82,49,19,71,155,107,261,15,16,29,0,3,12,0,0,0,14,28,37,3219,3749,6965,794,1218,2002,52,34,88,8492,8352,16846
POA2036,6,14,19,234,280,513,0,0,3,8,7,12,12,13,24,3615,2421,6033,202,352,553,111,0,115,123,19,136,67,24,88,63,37,100,170,198,366,4608,3365,7972,30,29,60,0,0,0,0,0,0,3,7,6,0,0,0,0,0,0,33,33,64,0,0,0,8,11,16,12,5,16,6,21,26,5,13,18,23,49,73,56,33,88,114,110,223,6,14,23,5,9,12,0,0,0,14,23,38,2310,2975,5288,820,1114,1928,42,25,69,7917,7611,15522
POA2037,21,11,38,155,156,311,0,0,0,29,26,54,15,30,43,739,559,1298,39,83,118,13,0,13,62,8,70,108,41,148,18,20,33,290,293,589,1483,1222,2709,39,50,93,0,0,0,5,0,5,0,0,6,0,0,0,3,0,7,54,60,110,0,0,0,12,9,18,0,0,0,0,3,6,6,6,13,15,25,46,23,4,28,92,87,179,6,7,21,0,3,0,0,0,5,11,11,24,2439,2664,5098,418,611,1026,12,17,34,4458,4612,9072
POA2038,12,4,20,52,67,118,0,0,0,10,7,19,8,12,19,600,442,1040,35,51,86,10,0,11,41,7,45,42,17,56,8,8,25,97,127,225,914,748,1664,23,25,45,0,0,0,0,5,5,4,0,3,0,0,0,0,0,0,21,27,50,0,0,0,4,0,8,0,3,5,0,0,6,3,6,0,8,11,21,12,3,13,40,37,78,5,0,5,0,0,0,0,0,0,6,0,8,1401,1636,3041,251,358,603,6,4,10,2614,2788,5403
POA2039,4,3,7,62,59,122,0,3,5,0,0,0,4,0,5,539,384,925,23,36,60,10,0,10,23,9,26,63,14,77,10,5,16,80,72,155,812,601,1412,14,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,32,0,3,5,0,3,6,3,0,6,0,6,3,6,0,3,6,8,18,6,9,11,33,31,63,4,0,0,0,0,0,0,0,0,7,0,7,1362,1625,2982,191,298,486,12,12,18,2411,2558,4964
POA2040,42,24,62,123,146,264,0,0,0,20,21,37,9,11,22,1484,1154,2638,62,144,201,33,0,33,74,17,94,99,37,137,27,26,53,184,212,405,2169,1789,3954,28,24,51,0,0,0,4,3,3,8,6,6,3,0,0,0,0,0,36,31,68,0,0,0,5,6,11,8,7,10,3,4,5,3,3,4,19,14,33,22,16,34,74,59,134,11,8,22,7,0,10,0,0,0,27,8,31,3159,3754,6918,532,878,1403,20,12,30,5971,6503,12468
POA2041,5,0,4,83,77,154,52,20,76,0,0,0,3,5,11,905,613,1513,39,58,93,17,0,14,36,0,42,55,23,78,25,9,30,124,162,280,1340,958,2302,22,19,36,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,19,40,11,16,24,4,0,3,4,0,4,0,0,0,6,0,3,23,17,44,17,7,21,61,47,104,12,5,17,4,7,9,0,0,0,14,10,20,2399,2734,5132,312,504,815,12,7,21,4133,4263,8397
POA2042,258,205,465,99,112,211,0,0,0,0,0,0,13,16,26,1030,661,1692,62,87,147,7,0,7,72,15,82,152,72,224,38,20,56,395,438,836,2124,1631,3754,69,50,120,0,0,3,6,5,8,4,0,4,0,3,6,9,12,25,89,69,163,0,0,0,0,0,3,3,0,3,0,5,4,5,5,12,6,14,22,20,13,35,122,94,213,19,9,30,3,0,3,0,0,0,20,9,34,3220,3354,6578,618,790,1410,21,13,33,6122,5896,12016
POA2043,156,137,293,13,28,43,0,0,0,0,0,0,12,7,20,518,344,863,20,34,51,8,0,8,33,0,33,73,29,97,15,8,21,147,119,266,989,710,1700,21,24,45,0,0,0,0,0,0,4,4,8,0,0,3,6,7,10,37,33,68,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,5,4,4,10,0,15,45,40,87,5,0,8,0,0,0,0,0,0,8,9,12,2199,2168,4367,290,335,625,9,3,17,3538,3267,6805
POA2044,143,112,259,32,22,58,0,0,0,0,0,0,4,8,11,661,382,1043,23,50,78,21,0,24,36,3,37,47,19,63,11,9,16,99,64,165,1078,671,1753,22,21,48,0,0,0,4,0,3,0,0,0,0,0,0,7,0,9,33,26,60,0,0,0,0,0,0,0,0,0,0,5,3,0,3,3,0,6,13,10,0,15,51,33,81,4,0,7,0,0,0,0,0,0,4,0,7,1144,1289,2436,248,349,595,5,6,12,2535,2356,4893
POA2045,14,7,16,21,29,52,0,0,0,8,0,8,0,0,0,530,334,870,28,50,76,14,0,14,13,3,15,28,12,36,16,6,19,33,37,72,697,476,1178,11,4,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,5,16,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,4,7,8,3,0,6,14,19,31,0,0,4,0,0,0,0,0,0,0,0,4,731,811,1541,172,241,416,3,4,4,1620,1550,3171
POA2046,10,6,23,114,145,264,21,14,35,0,0,0,8,11,13,2608,1744,4351,87,209,299,56,0,62,59,3,65,41,11,49,35,24,57,102,121,218,3151,2291,5437,32,20,57,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,37,25,65,0,4,8,0,4,3,8,12,16,9,9,14,0,0,6,17,27,40,33,18,48,82,68,154,12,3,9,4,0,5,4,0,3,11,4,20,2944,3654,6601,632,986,1613,27,21,48,6846,7028,13877
POA2047,4,4,6,78,81,163,15,7,18,0,0,0,3,4,8,1037,696,1737,32,72,101,15,0,15,22,4,27,31,9,45,19,11,26,66,64,130,1319,959,2277,12,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,21,0,5,4,3,5,5,0,0,0,3,3,10,3,5,10,17,16,25,5,7,9,32,30,58,8,5,8,0,0,0,5,0,5,13,0,14,1554,1832,3386,252,472,725,11,13,17,3171,3302,6474
POA2048,85,71,159,34,29,60,0,0,0,0,0,0,4,4,9,499,359,860,19,39,58,6,0,6,29,3,34,59,14,71,14,5,24,86,107,196,837,633,1470,17,20,39,0,0,0,7,0,8,7,0,5,0,5,4,7,3,5,31,33,64,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,6,11,4,13,39,39,85,5,13,11,0,0,0,0,0,0,5,7,13,1163,1325,2484,222,323,547,3,6,11,2270,2335,4604
POA2049,166,162,322,32,66,104,0,0,0,4,6,10,3,10,14,742,573,1319,37,64,102,10,0,10,31,8,40,61,18,84,13,15,35,84,97,182,1200,1017,2221,30,26,56,0,0,0,3,12,15,3,4,11,0,4,4,3,0,5,47,48,92,0,0,0,0,3,4,0,0,0,0,3,4,3,0,5,6,7,10,15,10,22,68,59,129,12,0,17,0,0,0,0,0,0,12,0,17,1827,2167,3990,339,473,808,10,8,21,3450,3729,7178
POA2050,47,31,82,82,95,182,0,0,0,0,0,0,9,3,12,562,363,921,40,46,83,3,0,3,28,10,39,61,16,73,27,11,39,257,307,562,1122,885,2003,41,33,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,87,0,0,0,8,8,11,0,3,4,0,3,3,3,0,11,15,12,27,10,4,17,71,56,129,5,0,10,0,3,5,0,0,0,7,8,16,1567,1643,3211,288,387,679,6,10,15,3068,2988,6060
POA2060,204,183,390,50,68,118,7,5,11,0,0,0,3,4,11,729,485,1213,46,79,124,9,0,9,38,7,41,28,11,44,28,12,38,297,262,556,1433,1119,2552,41,35,83,0,0,3,0,3,4,7,9,16,0,4,6,6,0,6,63,58,122,0,0,5,0,0,0,0,0,5,0,3,3,0,3,4,3,6,10,9,9,17,76,70,147,8,10,20,6,0,0,0,0,0,10,11,20,2700,2862,5564,317,459,777,9,14,18,4549,4538,9083
POA2061,97,98,185,6,14,18,10,5,16,0,0,0,9,6,12,293,204,503,14,27,43,4,0,4,10,0,11,6,0,6,6,4,13,77,45,120,532,406,938,10,11,20,4,3,9,0,0,5,0,0,0,0,0,0,3,3,7,12,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,12,25,41,3,0,4,0,0,0,0,0,0,3,0,4,1088,1162,2249,105,153,258,3,8,10,1749,1751,3505
POA2062,6,3,8,44,45,88,0,0,0,0,0,0,3,3,5,440,328,766,24,38,64,8,0,8,13,0,13,13,3,18,10,6,13,69,99,166,623,524,1150,8,8,12,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,13,8,19,0,0,0,3,3,3,0,0,0,0,3,3,0,0,0,3,9,14,6,3,9,21,18,36,0,0,0,0,0,0,0,0,0,0,0,0,1144,1296,2437,126,239,366,0,7,7,1926,2087,4007
