POA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA2019,0,0,0,0,0,0,0,0,0,4,0,4,0,5,18,4,44,17,65,0,147,5,0,8,6,8,0,28,14,0,68,51,318,15,464,9,0,33,11,27,4,83,6,0,47,18,39,6,122,0,0,18,19,29,3,80,16,0,44,44,114,11,238,9,0,31,20,13,0,73,42,5,57,25,20,3,156,3,3,22,19,22,0,66,65,11,137,37,25,4,280,7,0,24,17,24,5,77,25,6,43,61,93,5,234,66,10,69,7,20,3,185,32,6,78,18,19,0,146,5,3,12,10,15,6,54,6,0,21,9,78,0,113,16,0,25,13,43,15,108,339,63,782,404,982,80,2647,0,0,4,0,0,0,6,0,0,0,0,0,0,3,14,5,30,15,17,4,88,5,0,3,0,0,0,8,13,0,36,19,18,6,101,11,6,26,18,9,0,70,9,0,68,47,39,9,172,0,0,31,30
POA2020,0,0,4,0,0,3,6,4,0,4,0,4,0,12,34,5,74,48,50,8,213,8,0,18,4,8,0,40,48,5,185,57,285,21,605,41,4,57,17,18,5,141,55,0,163,94,60,10,391,21,0,159,189,84,23,476,56,8,172,80,104,17,435,36,0,72,17,13,3,139,128,8,234,37,25,4,430,25,0,34,25,19,4,110,230,20,391,43,35,30,742,20,3,54,38,32,6,146,51,12,81,51,103,4,310,83,9,57,12,10,0,170,56,7,106,16,20,8,209,15,0,30,16,18,4,86,13,3,24,20,88,5,151,48,4,101,34,53,49,286,969,83,2023,801,1023,200,5093,0,0,0,4,0,0,5,0,0,0,4,0,0,4,43,3,57,27,10,0,142,12,0,10,0,3,0,26,30,0,68,28,23,7,164,35,0,66,17,9,3,131,87,6,211,95,52,14,466,52,7,193,143
POA2021,3,0,5,0,0,0,7,4,0,4,0,0,0,9,19,0,48,8,14,4,91,16,0,17,4,0,0,36,30,4,97,22,83,7,235,14,3,42,6,10,5,79,21,0,76,21,32,9,161,11,0,44,35,40,4,132,17,6,46,15,7,5,97,17,7,123,23,6,3,167,182,40,464,34,11,9,735,24,6,71,19,16,4,137,246,54,557,37,30,14,939,13,0,63,15,10,0,105,47,8,69,13,14,3,155,82,14,71,8,11,0,182,107,14,106,17,14,3,259,17,5,63,14,8,0,107,4,0,31,9,17,0,62,34,5,62,12,11,16,144,928,166,2035,304,332,91,3850,3,0,4,0,0,0,12,0,0,0,0,0,0,5,13,6,50,11,0,0,83,3,0,9,3,0,0,16,10,0,37,11,0,0,66,17,6,47,4,9,0,84,28,5,148,46,24,4,254,16,0,54,35
POA2022,0,0,4,0,0,0,4,0,0,6,0,0,0,10,21,0,42,6,19,0,85,6,0,5,6,3,0,15,23,5,107,42,184,13,370,20,3,32,4,7,3,70,18,7,52,11,19,4,103,14,0,45,40,31,8,149,20,5,53,17,17,4,119,20,5,77,8,8,8,124,127,19,278,24,14,8,471,25,5,49,10,17,0,104,155,19,370,33,19,12,616,11,0,59,14,18,7,112,32,9,42,15,28,0,133,61,4,54,12,0,0,130,57,9,92,12,14,11,193,5,0,25,8,8,0,49,7,0,31,7,26,7,82,20,6,72,19,20,28,168,653,97,1491,281,454,115,3097,0,0,5,0,0,0,4,0,0,0,0,0,0,0,3,0,28,10,4,0,48,8,0,9,0,0,0,19,7,0,38,10,10,5,70,15,9,32,8,4,0,68,27,8,112,27,18,0,197,9,0,56,35
POA2023,0,0,8,3,0,0,15,7,0,9,0,0,0,12,16,3,34,7,8,3,76,7,0,7,0,0,0,15,16,0,61,23,66,7,173,9,0,33,16,14,0,79,7,3,42,17,10,4,87,8,3,23,22,14,8,79,13,0,23,3,9,0,53,24,0,41,11,4,4,84,100,15,249,20,6,6,387,19,0,64,15,13,0,116,116,27,292,29,17,6,484,10,0,29,7,5,3,51,15,3,32,4,11,0,72,46,4,52,6,3,0,118,106,16,123,3,6,7,253,0,4,16,13,7,0,38,6,0,15,0,11,0,35,36,3,62,19,12,14,137,562,90,1213,210,208,64,2352,3,0,5,0,0,0,10,0,0,0,0,0,0,9,9,0,28,8,9,3,49,0,0,0,0,0,0,4,3,0,23,8,3,0,43,5,0,22,11,3,0,52,16,3,86,31,21,4,167,5,0,36,8
POA2024,0,0,3,0,3,0,3,4,0,0,0,0,0,3,16,0,31,8,12,0,76,5,0,11,0,0,0,20,21,4,91,32,127,9,279,9,0,35,4,3,4,52,17,0,38,19,20,5,91,6,0,28,26,13,3,78,12,0,40,11,18,9,93,25,4,63,7,12,5,123,113,23,241,11,7,3,400,11,5,31,10,19,4,85,141,22,332,48,15,8,560,5,0,31,7,17,3,66,20,8,32,21,19,0,97,51,9,49,7,9,8,125,67,3,75,11,10,0,169,14,3,33,9,14,0,74,12,0,15,10,17,4,56,15,0,60,11,6,9,111,556,92,1240,250,336,80,2551,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,33,14,4,3,61,5,0,7,0,0,0,18,0,4,37,11,9,5,63,10,0,33,0,5,0,50,12,3,81,28,9,3,138,7,5,41,16
POA2025,0,0,6,0,0,0,7,4,0,4,0,0,0,10,6,3,13,3,9,0,35,4,0,8,0,0,0,9,3,0,44,14,25,0,91,4,0,14,6,0,4,30,3,0,35,8,4,0,51,0,0,14,9,11,0,42,3,0,17,0,3,5,28,13,5,37,8,4,0,65,72,15,188,18,4,6,306,10,0,37,3,7,0,59,109,16,213,14,9,9,372,3,0,16,9,0,0,30,17,0,19,7,6,0,53,42,0,20,0,0,0,73,64,4,48,3,5,4,128,4,4,23,3,5,3,38,3,0,8,0,10,0,27,18,0,48,3,0,11,80,400,64,813,106,110,40,1535,0,0,5,0,0,0,9,0,0,0,0,0,0,4,3,0,17,4,0,0,29,0,0,6,0,0,0,5,11,0,14,9,0,3,31,10,0,21,3,0,0,31,7,3,64,17,9,4,103,8,0,30,9
POA2026,3,0,4,0,0,0,15,5,0,11,4,3,0,28,35,0,89,28,42,8,204,16,0,34,8,6,5,64,62,4,286,97,420,25,893,33,3,117,17,24,3,199,40,4,180,60,45,9,336,32,3,121,76,93,16,347,37,3,133,41,53,7,281,60,9,195,37,34,6,340,289,35,685,64,27,27,1129,50,8,149,34,37,12,289,503,62,1065,120,66,47,1865,35,6,173,39,36,8,298,61,14,99,37,50,3,261,108,16,133,23,17,7,311,140,19,226,24,17,11,438,18,3,84,33,14,5,162,16,3,64,25,68,3,188,88,11,233,50,50,54,484,1637,227,4090,820,1097,265,8136,0,0,4,4,0,0,7,0,0,0,0,0,0,0,28,8,117,25,10,3,190,9,0,12,6,5,0,29,34,3,86,25,9,7,169,48,3,113,17,20,3,209,84,9,321,91,51,25,588,32,4,170,81
POA2027,6,0,5,0,0,0,11,0,0,3,0,0,0,9,0,0,17,3,8,0,35,5,0,9,0,4,0,12,6,0,45,7,28,3,93,6,0,19,0,5,3,37,12,0,31,17,13,3,69,10,0,21,19,13,0,57,5,0,15,6,3,0,32,11,0,34,11,4,0,64,84,13,183,20,9,11,312,21,7,53,13,15,0,108,122,20,243,19,10,9,423,13,0,23,0,12,0,47,20,0,37,3,7,6,77,29,0,32,9,0,0,71,60,5,75,8,4,6,160,5,4,17,3,7,0,31,5,0,4,0,10,3,26,30,0,33,5,8,12,84,437,52,892,156,155,59,1744,0,0,4,4,0,0,12,0,0,0,0,0,0,3,4,6,29,9,0,0,37,0,0,0,0,0,0,4,3,0,20,9,3,0,34,10,0,32,3,0,0,51,10,0,52,15,8,4,86,12,0,23,7
POA2028,0,0,0,0,0,0,5,0,0,0,0,0,0,4,13,0,12,0,9,0,30,4,0,9,0,0,0,8,10,0,33,9,20,0,68,3,0,17,0,0,0,20,5,0,15,7,6,0,43,4,0,14,12,3,0,30,4,0,18,0,3,0,27,4,0,25,0,0,0,36,50,8,131,19,0,0,206,9,4,38,5,7,5,65,76,15,149,16,12,4,270,5,4,16,0,0,0,24,6,0,15,0,0,0,24,20,0,11,0,0,0,40,26,0,39,4,0,8,77,0,0,15,0,6,0,25,3,0,6,0,7,0,14,9,0,21,9,0,3,55,255,36,583,89,86,28,1067,0,0,5,0,0,0,4,0,0,0,0,0,0,0,4,0,12,4,0,0,23,0,0,0,0,0,0,0,6,0,8,0,5,0,22,0,4,20,0,0,0,29,11,3,38,10,6,6,68,0,0,25,11
POA2029,0,0,0,0,0,0,4,3,0,6,0,0,0,8,5,3,30,14,21,0,68,0,0,4,0,4,0,10,8,4,62,21,87,0,192,17,0,31,9,4,0,65,14,0,56,18,14,5,99,3,0,25,25,18,0,76,10,4,34,10,15,3,73,7,0,31,0,3,0,57,79,18,157,25,8,0,285,19,4,53,17,23,6,124,99,24,257,30,9,7,425,7,0,28,15,16,0,64,16,8,24,9,19,0,73,26,6,49,4,4,3,97,54,4,84,9,3,4,155,0,0,29,7,11,7,56,0,0,15,3,18,0,39,16,3,63,18,9,12,122,388,71,1035,241,288,66,2086,0,0,3,0,0,0,4,0,0,3,0,0,0,5,5,3,17,8,5,0,42,5,0,7,0,0,0,5,7,0,19,14,4,5,50,4,8,25,3,0,0,44,24,3,55,36,21,3,131,0,3,37,14
