POA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA2828,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,20,0,4,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,4,0,0,0,8,0,0,0,0,10,4,0,0,11,5,0,0,0,0,27,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,21,34,3,18,13,0,0,6,4,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,21,0,5,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
POA2829,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,63,0,13,12,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,12,12,0,9,0,0,0,0,0,29,14,8,0,7,10,0,0,0,0,40,7,5,4,33,33,6,0,11,0,103,3,0,0,6,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,4,13,60,117,4,75,64,10,7,12,8,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,3,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,32,88,3,18,16,4,0,5,0,157,0,0,0,0,0,0,0,0,0,0
POA2830,21,150,4,51,18,3,0,0,0,254,20,61,4,4,6,0,0,0,0,99,248,1547,49,236,199,66,6,58,22,2432,0,0,0,9,0,0,0,0,0,5,59,109,11,105,89,13,0,7,3,398,109,158,23,310,209,50,0,21,11,885,190,146,203,613,610,167,33,117,20,2093,17,16,10,42,89,31,6,23,0,239,19,21,21,55,108,25,4,20,0,282,4,9,3,15,20,3,0,7,0,61,10,44,11,38,39,27,0,26,27,223,777,2636,352,1585,1440,448,60,300,101,7687,0,14,0,5,0,0,0,0,0,22,3,85,0,4,0,3,0,5,3,95,159,501,51,162,87,99,26,68,15,1166,3,24,0,4,0,0,0,0,0,33,40,209,5,58,26,9,0,3,4,352,30,81,5,9,6,0,0,0,0,142,473,2179,150,386,294,124,31,135,37,3819,0,0,0,9,0,0,0,0,0,16
POA2831,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,52,4,0,12,0,0,3,3,84,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,19,9,11,4,10,13,0,0,0,0,48,12,4,11,22,17,3,3,8,0,77,0,0,5,0,4,4,0,3,0,11,4,0,0,0,0,5,0,3,0,8,0,0,0,0,4,0,0,0,0,4,5,0,0,0,4,4,0,0,0,9,48,80,13,37,52,18,4,14,4,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,24,65,4,3,12,0,0,5,3,115,0,0,0,0,0,0,0,0,0,0
POA2832,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,17,45,0,11,10,0,6,0,0,81,0,0,0,0,0,0,0,0,0,0,8,4,0,9,0,0,0,0,0,22,10,9,0,8,7,0,0,0,0,28,0,3,8,17,9,3,0,4,0,49,0,0,0,5,0,0,0,0,0,10,0,0,0,3,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,12,44,72,10,60,32,7,3,10,3,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,32,62,0,20,10,3,6,4,0,122,0,0,0,0,0,0,0,0,0,0
POA2833,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,12,0,0,0,4,4,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,18,0,13,11,0,6,4,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,14,0,6,3,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0
POA2834,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,28,0,7,11,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,14,5,8,0,0,6,3,0,0,0,25,7,0,4,18,22,3,0,4,0,64,0,0,0,0,0,0,0,0,0,9,4,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,7,0,0,0,9,27,54,7,47,39,18,0,8,7,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,44,0,13,5,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
POA2835,3,4,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,16,73,5,9,14,8,0,7,0,124,0,0,0,0,0,0,0,0,0,0,7,0,0,3,5,0,0,0,0,16,7,3,0,15,25,5,0,3,0,63,21,11,22,32,39,16,16,15,4,168,4,0,0,0,4,7,0,4,0,20,0,0,0,0,5,0,0,6,0,16,0,0,0,6,0,0,0,0,0,9,4,3,3,5,3,0,0,5,0,17,58,117,33,72,97,31,23,31,9,469,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,9,23,4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,9,29,112,5,15,21,8,7,3,0,202,0,0,0,0,0,0,0,0,0,0
POA2836,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,9,0,0,0,5,0,0,0,0,0,8,8,5,0,4,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,13,26,0,15,6,0,0,6,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
POA2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,3,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
POA2839,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,20,0,0,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,4,0,9,0,0,0,0,0,20,4,5,0,0,12,0,0,0,0,20,0,3,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,17,45,0,20,17,5,0,5,4,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,24,0,8,3,0,0,8,3,55,0,0,0,0,0,0,0,0,0,0
POA2840,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,73,0,9,4,0,0,3,0,112,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,6,0,21,7,7,0,13,14,0,0,0,0,44,8,11,10,20,18,0,0,8,0,72,0,0,0,0,0,0,0,0,0,8,5,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,58,108,8,60,41,8,0,14,7,303,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,10,17,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,31,88,4,16,9,0,0,7,4,168,0,0,0,0,0,0,0,0,0,0
POA2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,9,0,3,0,4,0,0,0,0,0,10,10,0,3,7,3,0,4,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,30,3,9,12,3,4,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
POA2843,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,29,0,8,5,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,3,0,7,5,0,0,0,0,24,6,3,4,10,10,4,5,9,0,46,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,11,33,41,9,22,27,8,4,10,5,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,4,15,35,0,3,5,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
POA2844,6,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14,33,0,3,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,4,16,4,6,0,0,7,0,0,0,0,13,3,0,3,18,7,5,0,9,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,27,51,3,29,22,7,0,14,3,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,16,36,0,3,4,4,0,3,0,71,0,0,0,0,0,0,0,0,0,0
POA2845,0,4,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,30,0,3,9,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,14,4,3,0,9,9,0,0,5,0,33,3,11,9,35,29,11,5,9,0,103,0,0,0,6,5,0,0,0,0,15,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,28,59,9,65,64,18,3,15,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,13,37,4,11,9,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
POA2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
POA2847,0,7,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,32,0,5,9,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,5,5,0,5,16,5,0,0,0,30,9,12,8,46,31,13,0,7,0,116,0,0,7,0,3,3,0,0,0,11,3,0,0,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,25,59,17,75,62,18,4,12,4,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,4,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10,40,4,5,9,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
POA2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,12,3,3,3,9,10,6,0,6,0,42,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,10,31,7,34,16,10,0,4,4,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
POA2849,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,30,3,3,6,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,25,6,0,0,10,8,3,0,3,0,39,4,3,9,18,7,3,0,4,6,61,4,0,0,4,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,0,0,0,12,45,56,19,40,28,11,0,11,10,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,21,43,3,8,9,4,0,0,0,86,0,0,0,0,0,0,0,0,0,0
POA2850,8,58,0,15,8,0,0,0,0,99,4,15,0,0,4,0,0,0,0,29,113,466,18,67,86,27,7,20,4,814,0,0,4,0,0,0,0,0,0,7,33,47,8,39,40,6,0,5,3,189,43,42,17,101,76,25,6,17,6,330,90,62,112,266,213,73,44,79,11,944,6,7,12,7,25,28,6,16,0,105,18,0,9,30,35,18,3,15,0,127,5,8,0,5,3,3,0,0,0,20,7,15,9,13,19,13,0,19,11,104,362,846,185,559,514,200,74,174,48,2953,0,4,0,0,0,0,0,0,0,3,9,20,0,0,0,0,0,0,0,26,51,174,11,16,8,0,0,6,5,264,7,3,0,0,4,0,0,0,0,12,17,79,6,15,6,0,0,0,5,129,6,23,0,0,5,0,0,0,0,37,237,685,60,96,101,40,23,36,9,1285,0,0,0,0,0,0,0,0,0,7
POA2852,0,7,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,67,0,8,9,3,0,4,0,104,0,0,0,0,0,0,0,0,0,0,3,12,0,14,6,3,0,3,3,39,9,9,3,13,13,6,0,0,0,47,20,9,25,45,48,13,8,23,0,186,4,0,0,5,3,3,0,0,0,19,3,0,3,8,8,5,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,56,117,32,102,91,29,10,38,9,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,7,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,24,76,6,13,6,0,0,11,0,146,0,0,0,0,0,0,0,0,0,3
POA2864,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,21,0,3,8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,6,0,0,3,0,12,10,0,4,8,3,3,0,3,0,33,5,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,7,15,23,3,0,12,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,21,27,3,3,8,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
POA2865,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,21,0,3,4,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,11,5,8,3,4,0,0,0,0,0,21,11,0,6,8,9,4,3,6,0,44,0,0,0,3,3,0,0,0,0,12,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,11,23,33,11,24,26,7,5,9,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,22,6,0,4,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
POA2866,0,11,0,3,0,0,0,0,0,19,0,0,0,0,4,0,0,0,0,5,22,89,3,13,9,5,0,0,0,132,0,0,0,0,0,0,0,0,0,0,3,12,4,6,7,0,0,0,0,28,12,3,0,27,15,0,0,0,0,66,12,8,12,42,50,19,0,4,5,153,0,0,4,5,3,0,0,3,0,17,3,0,0,4,11,3,0,0,0,17,0,5,0,0,0,0,0,0,0,5,3,3,0,0,5,0,0,5,4,15,64,146,24,96,99,28,0,19,10,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,5,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,6,17,0,3,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,5,57,112,10,13,11,3,5,4,0,210,0,0,0,0,0,0,0,0,0,0
