POA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
POA3091,53,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,57,0,0,0,57,0,0,59,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,0,65,0,0,0,65,0,0,69,9,0,0,0,12,0,0,0,12,0,0,14,13,5,0,0,21,0,0,0,21,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,35,0,0,0,35,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,35,0,0,0,35,4,0,36,5,0,0,0
POA3093,165,3,0,167,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,147,9,0,4,165,0,0,0,163,3,0,168,23,5,0,0,32,3,0,3,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,172,19,0,4,196,3,0,4,194,3,0,207,42,6,0,0,45,0,0,0,43,0,0,43,41,9,0,0,43,0,0,0,43,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,81,11,0,5,94,0,0,0,96,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,85,8,0,5,99,0,0,0,98,0,0,101,14,6,0,0
POA3094,470,10,0,486,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,13,0,0,13,8,0,0,0,13,0,0,0,7,0,0,7,408,55,3,5,471,4,3,4,483,10,0,494,55,6,0,0,61,0,0,0,61,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,466,60,5,5,539,4,3,4,544,12,0,558,85,13,0,0,99,0,0,0,104,0,0,110,136,14,0,0,148,0,5,4,147,6,0,151,4,0,0,0,4,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,227,26,0,4,257,3,5,9,262,5,0,264,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,229,26,0,4,260,3,5,9,262,5,0,272,23,0,0,0
POA3095,1264,42,0,1307,3,0,0,0,3,0,0,0,3,0,0,3,18,0,0,0,15,0,0,0,18,0,0,18,22,0,0,0,22,0,0,0,23,0,0,23,1131,121,20,4,1276,10,0,10,1288,42,0,1332,202,22,4,0,233,0,3,4,232,8,0,243,0,0,0,0,5,0,0,0,5,0,6,12,1337,146,24,7,1511,12,3,14,1528,53,3,1582,318,40,3,3,368,0,0,0,368,15,0,381,391,52,4,0,450,0,0,0,454,9,0,463,14,0,0,0,15,0,0,0,15,0,0,15,0,0,0,3,3,0,0,0,3,0,0,3,727,92,14,3,837,4,0,4,845,21,0,863,7,6,0,0,5,0,0,0,5,0,0,5,7,0,3,0,13,0,0,0,15,0,0,15,8,4,3,0,17,0,0,0,19,0,0,19,736,101,16,3,852,6,0,6,863,21,0,886,103,6,3,0
POA3096,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5,0,0,74,0,0,0,74,0,0,74,5,3,0,0,15,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,74,12,0,0,86,0,0,0,86,4,0,85,12,0,0,4,14,0,0,0,14,0,0,17,25,0,0,0,27,0,0,0,27,0,0,26,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,4,43,0,0,0,43,5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,4,44,0,0,0,44,5,0,52,6,3,4,0
POA3097,50,5,0,54,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,46,5,0,0,54,0,0,0,54,5,0,51,11,0,0,0,11,0,0,0,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,70,0,0,0,70,4,0,72,19,0,0,0,17,0,0,0,17,0,0,17,18,5,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,41,0,0,0,41,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,0,0,45,0,0,0,45,0,0,46,12,0,0,0
POA3099,188,4,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,150,28,9,0,187,0,0,0,189,4,0,192,27,5,0,3,35,0,0,0,35,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,178,32,9,3,219,0,0,0,225,10,0,234,52,7,0,0,67,3,0,3,66,0,0,71,72,7,0,0,77,0,0,0,83,0,0,84,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,3,0,0,3,129,18,0,0,144,3,4,9,153,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,130,18,0,0,144,3,4,9,157,7,0,158,11,0,4,0
POA3101,731,16,0,748,0,0,0,0,5,0,0,0,7,0,0,7,14,3,0,0,14,4,0,7,23,0,0,21,16,6,0,0,21,3,0,3,26,0,0,27,633,87,16,3,741,14,6,15,759,18,0,777,127,25,0,0,161,0,0,4,161,23,0,186,3,0,0,0,0,0,0,0,0,0,0,3,761,110,19,9,901,16,6,20,924,42,5,966,235,13,0,0,252,10,0,14,261,13,0,273,202,34,3,0,237,0,0,0,237,9,0,242,6,0,0,0,7,0,0,0,7,0,0,7,8,0,0,0,8,0,0,0,10,0,0,10,447,47,3,0,505,11,0,12,515,15,0,538,4,0,0,0,4,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,7,9,0,0,0,9,0,0,0,15,0,0,15,463,47,3,0,513,14,0,11,526,15,0,550,101,7,4,3
POA3102,283,11,0,294,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,5,228,47,6,0,283,8,0,8,286,11,0,295,41,12,0,0,52,0,0,0,52,4,0,49,0,0,0,0,0,0,0,0,0,0,0,0,271,51,8,0,332,8,0,8,338,10,0,350,71,6,0,0,82,0,0,0,85,4,0,87,78,12,0,0,89,0,0,0,90,0,0,90,6,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,160,15,0,0,178,0,0,0,180,4,0,182,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,8,0,0,0,8,0,0,0,8,0,0,8,166,15,0,0,183,0,0,0,189,4,0,189,14,5,0,0
POA3103,475,23,0,495,7,0,0,0,7,0,0,0,7,0,0,7,8,0,0,0,11,0,0,0,14,0,0,14,15,0,0,0,21,0,0,0,22,0,0,21,401,70,3,8,483,8,6,12,492,22,0,517,114,23,0,0,135,4,0,4,139,44,0,182,4,0,0,0,3,0,0,0,3,0,0,3,520,88,3,8,621,4,6,12,641,65,0,702,132,18,4,0,150,0,0,0,155,9,0,160,123,20,5,0,146,0,0,0,152,4,0,155,8,6,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,263,45,8,5,314,0,0,3,316,8,0,328,9,0,0,0,10,0,0,0,9,0,0,9,6,0,0,0,6,0,0,0,6,0,0,6,16,0,0,0,15,0,0,0,15,0,0,15,278,46,8,5,331,0,0,4,331,8,0,342,67,16,0,0
POA3104,744,37,3,784,6,4,0,0,12,3,0,3,14,0,0,14,18,0,0,0,18,0,0,0,19,0,0,21,26,6,0,0,28,5,0,5,33,0,0,38,634,108,7,8,752,14,4,21,773,41,3,817,118,35,10,4,163,3,0,3,171,47,3,215,0,0,0,4,5,0,0,0,5,0,6,9,751,143,15,15,924,16,4,25,948,88,5,1046,291,30,0,0,320,8,0,8,328,6,0,335,238,52,5,0,295,6,4,8,301,13,0,315,3,6,10,0,18,0,0,0,18,0,0,18,0,4,0,4,6,0,0,0,8,0,0,9,530,81,15,4,636,12,4,13,645,22,0,673,3,3,0,0,10,3,0,3,6,0,0,6,13,0,0,0,17,0,0,0,17,0,0,14,15,7,0,0,24,3,0,3,24,0,0,25,546,87,15,4,652,17,4,17,669,21,0,697,109,16,3,3
POA3105,356,13,3,369,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,5,0,0,0,5,0,0,12,10,0,0,0,10,0,0,0,12,0,0,16,310,41,4,3,357,3,0,10,370,10,3,381,58,14,0,0,76,3,0,3,78,11,0,91,4,0,0,0,4,0,0,0,4,0,4,5,366,57,7,10,439,6,0,6,446,24,5,480,80,8,3,0,87,0,0,0,87,7,0,99,100,14,0,0,111,0,0,0,110,0,0,110,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,182,19,5,0,209,0,0,0,211,7,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,19,5,3,213,0,0,0,210,7,0,217,43,6,0,0
POA3106,551,22,0,571,0,0,0,0,0,0,0,0,4,0,0,4,7,0,0,0,8,0,5,5,10,0,0,10,13,0,0,0,14,0,5,6,17,0,0,17,475,64,6,8,551,6,4,14,566,22,0,588,109,23,11,5,145,4,0,8,151,11,4,166,0,6,0,4,7,0,0,0,7,0,0,10,582,91,15,19,708,15,9,20,724,34,3,761,108,7,7,0,119,5,0,4,117,6,0,132,142,27,0,0,168,0,4,6,175,17,0,186,6,0,0,0,8,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,3,0,0,8,258,33,8,0,300,6,5,7,310,22,0,330,5,0,0,0,5,0,0,0,6,0,0,6,3,0,0,0,3,6,0,6,3,3,0,9,4,0,0,0,4,4,0,8,9,3,0,14,261,33,8,0,306,6,0,12,320,25,0,340,74,7,0,6
POA3107,540,13,0,554,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,8,0,0,8,9,0,0,0,5,0,0,0,7,0,0,7,455,60,15,0,537,10,3,6,549,14,0,563,86,15,3,0,109,6,5,7,120,8,0,127,0,0,0,0,0,0,0,0,0,0,0,4,546,79,21,7,654,13,7,12,670,26,0,701,110,24,4,0,135,0,0,4,139,8,0,150,142,14,7,0,163,0,0,0,166,5,0,169,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,257,42,6,0,309,3,0,5,316,16,0,328,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,8,265,42,6,0,316,3,0,5,317,15,0,336,40,11,0,0
POA3108,603,30,0,636,11,4,0,0,14,0,0,0,12,0,0,16,22,0,0,3,24,8,0,9,30,0,0,30,28,4,0,3,37,8,0,9,47,0,0,48,502,98,12,19,634,15,3,12,647,30,0,676,172,49,4,3,231,11,0,14,235,42,5,286,3,0,0,0,5,0,0,0,5,0,0,5,677,150,14,22,863,25,0,30,892,73,7,973,115,17,0,0,133,5,0,5,140,11,0,152,137,35,0,0,172,0,0,0,171,8,0,179,9,4,0,0,13,0,0,0,13,0,0,10,0,0,0,0,4,0,0,0,4,0,3,7,258,54,0,4,322,8,0,8,326,20,3,348,3,0,0,0,3,0,0,0,5,0,0,8,14,0,0,0,14,0,0,0,11,0,0,11,20,0,0,0,20,4,0,4,21,0,0,22,278,54,0,4,335,9,0,9,342,20,3,367,51,13,0,0
POA3109,1201,55,4,1262,29,0,0,0,27,3,0,3,33,0,0,33,23,7,0,0,31,7,0,6,37,3,0,34,53,7,0,0,63,9,0,11,69,4,0,72,1022,175,24,16,1239,27,5,33,1273,56,4,1331,320,66,7,5,389,8,7,13,409,64,0,476,3,0,0,4,8,0,0,0,8,0,0,6,1348,239,35,21,1638,34,14,47,1688,123,3,1818,281,25,0,0,308,3,0,4,320,18,0,334,281,78,7,0,362,0,3,7,371,14,0,381,7,3,0,0,14,0,0,0,14,0,0,14,3,0,0,3,9,0,0,0,10,0,0,12,565,115,11,7,696,10,5,11,714,33,0,741,11,0,0,0,15,4,0,4,19,0,0,19,8,0,0,0,11,0,0,4,21,0,0,23,22,0,0,0,28,10,0,5,38,5,0,41,590,119,11,8,729,16,9,18,743,30,0,785,159,35,5,0
POA3111,468,19,0,486,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,9,0,0,0,9,0,0,7,8,0,0,0,12,0,0,0,12,0,0,12,388,58,11,10,464,11,0,9,476,16,0,497,106,19,0,3,128,4,0,4,129,16,0,147,0,0,0,3,5,0,0,0,5,0,3,6,492,77,11,15,594,20,0,16,611,34,3,649,104,21,0,0,121,5,0,5,121,6,0,129,129,21,3,0,148,4,0,0,153,4,0,154,4,0,3,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,234,40,4,0,277,3,0,3,283,8,0,296,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,8,0,0,0,8,0,0,5,235,40,4,0,282,3,0,3,293,15,0,303,58,6,0,3
POA3113,328,16,0,343,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,5,8,0,0,0,9,0,0,0,9,0,0,9,272,43,6,0,330,5,0,5,334,15,0,349,56,11,0,0,65,3,0,3,70,4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,331,51,6,0,394,7,0,7,405,23,0,427,89,11,3,0,99,4,0,4,103,10,0,108,131,15,0,0,145,3,0,3,144,0,0,148,5,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,220,28,3,0,254,9,0,9,257,9,0,267,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,225,28,3,0,257,9,0,9,262,9,0,273,43,3,0,0
POA3114,167,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,21,3,0,166,0,0,0,166,0,0,173,33,0,0,4,38,0,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,178,21,3,4,209,0,0,0,209,0,0,216,42,4,4,0,49,0,0,0,52,0,0,56,56,9,0,0,69,0,0,0,69,0,0,70,6,5,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,101,17,4,0,121,0,0,0,123,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,105,17,4,0,124,5,0,5,125,0,0,133,24,4,0,0
POA3115,160,7,0,162,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,149,13,3,0,164,0,0,0,164,7,0,167,26,4,0,0,27,0,0,0,27,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,173,15,3,0,196,0,0,0,196,6,0,200,26,6,0,0,28,0,0,0,30,0,0,31,70,10,0,0,77,0,0,0,79,0,0,79,5,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,97,12,3,0,109,4,0,4,114,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,12,3,0,107,4,0,4,114,0,0,116,18,0,0,0
POA3116,501,13,0,512,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,6,0,0,0,6,0,0,6,441,48,6,10,502,3,3,9,507,13,0,520,82,11,3,5,99,0,0,0,99,13,0,115,0,0,0,0,0,0,0,0,0,0,5,6,529,48,10,10,603,5,3,9,607,22,4,641,88,14,4,0,104,0,0,0,105,0,0,107,128,10,0,0,138,0,0,0,138,3,0,144,6,0,3,0,8,0,0,0,8,0,0,6,0,0,0,0,4,0,0,0,4,0,0,6,222,23,10,5,259,0,0,0,259,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,8,226,21,10,5,268,0,0,0,265,4,0,274,41,3,0,0
POA3121,537,23,0,563,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,10,0,0,0,10,0,0,10,7,7,0,0,12,0,0,0,12,0,0,12,459,70,9,0,538,12,0,11,548,23,0,570,80,8,0,3,92,5,0,5,97,26,0,125,0,0,0,4,4,0,0,0,4,0,0,7,542,77,9,10,633,11,0,15,647,53,0,700,144,17,5,0,164,3,0,3,167,7,0,178,106,24,0,6,131,0,0,0,135,8,0,143,3,6,0,0,10,0,0,0,10,0,0,10,4,0,0,0,3,0,0,0,3,0,0,3,249,45,3,6,306,4,0,4,313,19,0,333,5,0,0,0,9,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,9,0,0,10,263,43,3,6,322,4,0,4,329,20,0,348,38,3,0,0
POA3122,545,14,0,557,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,11,0,0,0,11,0,0,11,484,49,5,3,543,8,7,11,554,14,0,568,90,12,3,3,110,0,5,4,112,20,0,130,0,0,0,4,5,0,0,0,5,0,0,5,574,66,13,14,660,8,7,16,670,29,0,708,157,11,0,0,164,3,0,6,170,7,0,180,164,17,0,0,181,0,0,0,185,6,0,187,8,3,0,0,8,0,0,0,9,0,0,9,4,0,0,0,4,0,0,0,4,0,0,4,330,30,0,0,364,4,0,6,369,10,0,378,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,9,0,0,9,335,30,0,0,368,5,0,13,377,10,0,390,58,3,0,0
POA3123,501,23,0,524,8,0,0,0,8,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,9,0,0,9,441,55,5,4,503,9,0,4,509,23,0,533,90,16,0,0,106,0,0,0,106,16,0,120,0,0,0,0,4,0,0,0,4,0,4,4,533,71,5,7,610,9,0,4,619,35,4,658,153,11,3,0,169,0,0,0,171,4,0,175,122,10,0,0,128,0,0,0,128,7,0,134,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,6,6,0,0,0,6,0,0,6,276,22,0,6,303,0,0,0,311,12,0,320,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,10,0,0,10,285,23,0,6,314,0,0,0,316,12,0,327,59,6,0,0
POA3124,755,34,0,792,4,0,0,0,5,0,0,0,5,0,0,5,22,0,0,0,22,0,0,0,26,0,0,23,27,0,0,0,32,0,0,0,32,0,0,33,672,85,7,10,779,7,0,7,789,35,0,822,132,16,0,0,150,7,0,7,159,22,0,177,3,0,0,3,7,0,0,0,7,4,0,10,807,101,12,19,936,12,0,17,952,57,0,1014,206,21,4,0,224,0,0,3,231,17,0,254,203,24,6,6,232,0,3,3,238,8,0,246,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,9,6,0,0,0,6,0,0,6,414,51,6,9,474,7,5,11,485,30,0,516,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,12,0,0,13,12,0,0,0,11,0,0,0,14,0,0,14,425,51,7,9,486,5,5,8,498,31,0,529,92,3,0,0
