POA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
POA2210,0,6,0,0,0,0,0,0,0,7,7,55,0,0,0,0,0,0,0,67,105,266,48,12,37,30,18,21,16,547,0,6,0,0,0,0,0,0,0,12,22,48,3,4,4,4,4,0,0,81,7,12,3,0,0,0,0,0,0,22,337,798,141,78,167,84,79,56,24,1765,0,0,0,0,0,0,0,3,0,9,73,72,48,18,37,21,29,16,6,323,100,88,73,39,44,34,48,33,9,455,191,44,623,60,96,65,111,119,27,1334,6,8,3,3,3,8,7,4,5,49,16,13,19,3,16,10,18,11,0,125,12,15,8,10,11,3,10,3,3,64,19,30,17,3,9,12,21,9,15,128,899,1466,994,238,427,276,336,278,97,5007,0,4,0,0,3,0,0,0,0,11,8,50,0,0,0,0,0,0,0,65,89,383,10,22,90,18,0,9,5,624,0,10,0,0,0,0,0,0,0,13
POA2211,0,5,0,0,0,0,0,0,0,4,0,34,3,0,0,0,0,0,0,35,74,160,7,12,22,6,10,8,6,298,0,9,0,0,0,0,0,0,0,11,6,19,0,0,0,0,0,0,0,38,8,8,0,0,0,0,0,0,0,19,165,401,79,51,92,44,40,32,8,905,0,0,0,0,0,0,0,0,0,0,37,36,22,19,24,7,17,13,0,175,44,55,48,21,23,27,11,8,6,241,99,39,371,23,46,32,79,82,23,792,4,3,3,6,4,8,0,0,0,30,16,10,11,6,0,12,12,17,3,84,3,10,8,0,7,0,0,0,0,31,5,9,10,7,6,3,4,8,12,60,468,778,558,145,235,130,192,164,57,2722,0,5,0,0,0,0,0,0,0,8,0,19,0,0,0,0,0,0,0,20,45,194,0,12,41,8,0,4,4,311,0,7,0,0,0,0,0,0,0,5
POA2212,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,30,61,150,6,8,28,3,15,4,4,284,0,4,0,0,0,0,0,0,0,0,10,24,4,0,0,0,0,0,0,39,0,0,0,3,0,0,0,0,0,3,164,422,65,33,93,47,41,21,11,908,0,0,0,0,0,0,0,0,0,3,31,27,21,13,11,3,13,6,0,133,66,44,50,27,24,15,18,15,3,257,92,37,331,27,43,38,81,58,22,736,0,0,4,3,4,9,4,6,0,25,12,6,13,3,4,10,11,10,3,64,0,7,4,0,6,0,0,4,0,28,5,10,8,0,11,3,9,3,14,62,452,757,503,124,221,135,205,126,58,2576,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,24,51,165,8,20,34,8,0,5,6,289,0,5,0,0,0,0,0,0,0,7
POA2213,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0,0,0,0,54,113,175,17,7,28,20,13,6,3,379,4,6,0,0,0,0,0,0,0,19,13,34,3,0,3,0,0,3,3,67,6,8,0,0,0,0,0,0,0,19,243,541,78,45,93,57,34,33,16,1145,0,0,0,0,0,0,0,0,0,4,55,42,46,26,19,11,24,13,3,237,97,79,59,32,57,30,12,17,7,393,175,46,579,52,95,46,118,115,25,1246,11,6,9,5,0,3,9,9,0,45,22,6,15,8,8,4,15,9,3,93,4,9,6,0,0,5,8,3,0,28,11,10,14,3,7,6,7,4,13,76,754,1018,828,174,329,185,242,205,66,3808,0,0,0,0,0,0,0,0,0,4,10,33,0,0,0,0,0,0,4,47,71,298,6,20,60,12,0,0,0,464,0,3,0,0,0,0,0,0,0,8
POA2214,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,9,12,3,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,26,52,9,11,18,7,3,0,5,125,0,0,0,0,0,0,0,0,0,0,4,6,9,3,6,0,0,3,0,31,19,7,7,14,10,7,4,3,0,62,34,18,164,6,18,16,24,20,3,308,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,5,0,4,0,22,0,4,0,4,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,9,122,113,197,33,49,38,35,39,15,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,5,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
POA2216,3,3,0,0,0,0,0,0,0,8,9,67,4,3,4,0,0,0,0,86,128,302,64,49,62,68,38,66,15,787,4,9,4,0,0,0,3,0,0,28,3,29,5,7,8,0,3,0,0,60,0,20,3,0,0,0,0,0,0,30,270,734,198,107,170,126,120,166,41,1935,0,0,0,0,0,0,0,0,0,0,66,44,81,37,35,30,32,45,9,379,85,76,107,45,32,52,39,69,12,528,103,47,450,62,64,54,120,98,24,1018,0,0,14,5,9,8,5,8,0,56,14,14,15,16,11,15,14,17,0,117,6,15,9,6,8,10,8,6,5,70,15,17,25,5,8,12,22,17,30,155,733,1377,983,351,402,370,398,497,136,5254,0,3,0,3,5,0,0,0,0,11,13,46,3,0,3,0,0,0,0,60,102,359,22,61,126,54,0,29,15,769,3,8,0,0,4,4,0,3,0,23
POA2217,0,6,0,0,0,0,0,0,0,7,8,87,3,5,5,0,0,0,0,103,150,391,67,46,47,53,39,73,12,885,5,9,4,0,0,4,0,6,0,20,13,38,5,0,6,4,0,3,0,72,4,8,0,0,8,0,0,0,0,19,332,908,176,102,163,117,75,116,33,2023,0,0,3,0,0,0,0,0,0,8,54,49,60,28,27,28,33,33,8,319,89,67,87,49,45,49,39,50,3,487,146,50,468,56,62,43,92,100,20,1041,5,0,3,3,4,8,3,3,0,34,20,5,20,11,17,14,22,14,5,134,13,17,8,5,7,9,3,7,0,65,7,22,23,11,10,14,9,23,26,136,857,1652,919,315,402,347,323,424,111,5362,0,9,0,3,0,0,0,0,0,17,5,64,0,0,4,0,0,0,0,73,107,444,21,87,85,51,8,30,8,842,8,14,0,0,0,0,0,0,0,24
POA2218,0,0,0,0,3,0,0,0,0,10,8,36,4,0,0,0,0,0,0,46,68,232,36,13,50,30,18,53,16,508,3,0,0,0,0,0,0,0,0,14,5,25,9,5,0,0,0,3,0,47,5,8,0,0,0,0,0,0,0,15,173,443,116,52,131,88,61,94,22,1184,0,0,0,0,0,0,0,0,0,0,29,28,33,14,23,15,31,28,0,196,36,42,60,21,29,28,21,41,6,276,58,19,230,30,37,25,55,42,11,515,3,3,0,7,3,0,5,4,0,24,6,4,11,3,7,6,12,6,0,53,3,12,6,3,0,5,5,4,0,45,8,4,11,3,11,4,4,11,10,66,392,849,514,162,296,209,215,284,69,2992,0,3,0,0,4,0,0,0,0,10,3,35,0,0,0,0,0,0,0,42,51,248,5,50,72,30,5,16,7,483,0,6,0,7,4,0,0,0,0,12
POA2219,5,3,0,0,0,0,0,0,0,9,5,24,0,0,0,0,0,0,0,28,61,97,12,10,8,3,0,0,3,196,0,6,0,0,0,0,0,0,0,9,4,22,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,9,176,333,46,23,51,45,19,13,12,707,0,0,0,0,0,0,0,0,0,3,40,34,21,9,13,17,7,10,0,145,55,43,49,12,29,33,13,3,4,230,109,29,335,25,32,30,45,58,10,679,7,0,0,4,3,0,6,0,0,25,13,3,11,5,7,15,4,4,4,66,3,7,0,0,4,6,0,3,0,24,16,10,11,0,3,4,4,8,8,66,503,616,475,94,150,151,91,104,43,2219,3,0,0,0,0,0,0,0,0,8,4,19,0,0,0,0,0,0,0,27,56,148,4,7,27,7,0,0,4,245,0,3,0,0,0,0,0,0,0,6
POA2220,0,4,0,0,0,0,0,0,0,4,8,84,0,0,4,0,0,0,0,97,172,539,131,81,115,114,55,159,20,1387,0,15,10,7,3,0,6,6,0,45,18,29,6,5,8,0,0,3,0,76,0,8,3,0,0,0,0,0,0,14,337,884,299,142,214,208,131,248,45,2493,0,0,0,0,0,0,0,5,0,10,56,34,83,34,27,43,33,70,5,387,56,52,150,52,37,62,41,109,8,566,83,17,285,47,50,37,79,75,6,677,11,0,8,0,4,14,0,7,0,44,20,10,17,5,9,8,12,4,3,89,10,14,10,5,8,9,8,20,0,81,9,15,26,9,6,14,10,26,41,154,764,1705,1026,384,493,505,383,731,136,6126,4,6,0,0,4,0,0,0,0,13,3,30,0,0,0,0,0,0,0,42,118,591,27,221,209,117,0,57,17,1357,5,17,3,8,0,0,0,8,0,40
POA2221,0,0,0,0,0,0,0,0,0,5,7,57,0,0,0,0,0,0,0,69,96,187,19,12,41,13,9,10,5,390,0,0,0,0,0,0,0,0,0,9,4,30,4,0,3,0,0,0,6,47,0,9,0,0,0,0,0,0,0,9,296,568,74,29,122,64,39,20,17,1225,0,0,0,0,0,0,0,0,0,0,63,46,17,15,15,15,10,4,0,187,72,40,32,17,24,11,14,11,11,231,122,25,281,24,37,42,52,42,16,632,3,0,5,3,9,6,4,0,0,31,11,10,16,0,9,3,3,0,0,64,6,6,5,0,3,0,3,0,0,23,11,18,11,0,8,6,5,4,5,68,692,997,456,106,261,172,140,97,58,2974,0,3,0,0,0,0,0,0,0,3,3,36,0,0,0,0,0,0,0,45,61,201,7,11,57,12,0,0,4,350,0,9,0,0,0,0,0,0,0,14
POA2222,0,0,0,0,0,0,0,0,0,0,3,34,0,0,7,0,0,0,0,47,62,172,27,20,41,27,14,41,0,407,3,0,0,0,0,4,0,0,0,11,4,14,6,0,5,0,0,4,0,34,5,5,0,0,0,0,0,0,0,8,146,391,75,49,92,68,33,51,5,906,0,0,0,0,0,0,0,0,0,0,14,20,31,15,13,13,14,14,3,136,30,25,49,15,11,15,22,31,0,206,43,19,206,29,39,25,45,42,3,448,5,0,0,3,0,0,7,5,0,23,10,5,10,4,5,0,4,5,0,45,0,7,7,0,0,0,3,4,0,21,3,13,3,5,4,6,5,4,8,48,331,712,405,141,218,163,143,199,26,2346,0,4,0,0,0,0,0,0,0,7,9,10,0,0,0,0,0,0,0,19,42,201,17,40,60,32,5,15,7,403,5,6,0,0,0,0,0,0,0,14
POA2223,6,0,0,0,0,0,0,0,0,7,15,87,0,0,5,0,0,0,5,110,149,312,29,20,50,36,10,18,11,623,0,11,0,0,0,3,0,0,0,21,20,47,3,3,11,0,0,0,4,86,7,15,0,0,4,0,0,0,0,27,372,758,93,52,135,68,47,41,22,1582,0,0,0,0,0,0,0,0,0,0,47,49,51,23,14,15,11,11,0,218,86,68,53,25,27,22,15,17,6,320,135,45,405,52,63,44,70,74,15,910,3,3,6,5,3,10,0,4,0,38,16,8,11,8,14,14,13,4,0,86,8,10,6,4,0,3,0,3,3,35,9,16,9,0,5,3,8,6,14,70,886,1422,655,192,326,212,177,176,84,4139,6,9,0,0,5,0,0,0,0,17,11,57,0,3,5,0,0,0,0,78,121,353,11,34,80,18,0,10,8,631,5,7,0,0,0,0,0,0,0,14
POA2224,0,0,0,0,0,0,0,0,0,0,10,29,0,0,0,0,0,0,0,36,89,121,3,0,17,14,0,0,5,249,0,4,0,0,0,0,0,0,0,8,10,22,0,0,0,0,0,0,0,37,0,6,0,0,0,0,0,0,0,5,207,314,39,22,62,46,18,15,15,735,0,0,0,0,0,0,0,0,0,0,51,30,18,13,10,14,8,6,9,156,71,38,27,22,20,20,13,10,4,232,150,32,376,27,50,46,55,51,24,815,0,0,0,0,0,0,0,0,0,18,23,4,13,5,3,4,12,3,3,73,6,11,3,3,0,0,5,0,0,25,15,10,6,4,5,4,9,3,4,53,643,615,490,101,170,141,118,92,67,2437,0,8,0,0,0,0,0,0,0,6,0,26,0,0,0,0,0,0,0,30,58,137,0,7,28,8,0,0,3,240,0,4,0,0,0,0,0,0,0,6
POA2225,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,16,67,58,5,0,4,0,0,0,0,139,0,0,0,0,0,0,0,0,0,5,10,19,0,0,0,0,0,0,0,34,3,4,0,0,0,0,0,0,0,9,92,169,14,12,36,10,0,5,3,344,0,0,0,0,0,0,0,0,0,6,22,28,16,9,3,6,3,4,0,86,27,31,18,5,9,5,5,5,0,101,85,20,163,7,15,10,17,20,12,341,0,0,0,0,0,0,0,0,0,5,6,3,3,0,3,6,0,3,0,34,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,3,0,3,18,322,344,217,41,81,45,34,39,15,1132,0,0,0,0,0,0,0,0,0,6,4,18,0,0,0,0,0,0,0,21,23,80,0,0,3,0,0,0,0,111,0,3,0,0,0,0,0,0,0,3
POA2226,0,3,0,0,0,0,0,0,0,0,6,45,0,0,0,0,0,0,0,52,108,140,8,0,10,8,0,3,3,286,4,5,0,0,0,0,0,0,0,10,3,31,0,0,3,0,0,0,0,44,8,5,0,3,0,0,0,0,0,18,228,442,38,35,56,33,12,15,13,870,0,0,0,0,0,0,0,0,0,4,34,33,28,22,12,0,0,11,0,146,57,55,45,15,31,14,5,7,3,243,132,49,360,34,36,39,52,51,9,758,6,5,9,0,5,3,0,7,0,27,16,8,4,0,7,11,0,9,0,63,5,6,6,3,0,7,0,3,0,27,13,7,3,0,0,0,0,0,5,35,621,834,506,127,175,124,83,94,33,2590,0,6,0,0,0,0,0,0,0,9,11,29,0,0,3,0,0,0,0,40,75,187,3,9,27,4,0,4,0,314,0,6,0,0,5,0,0,0,0,5
POA2227,0,5,0,0,0,0,0,0,0,5,6,26,0,0,0,0,0,0,0,31,92,123,15,6,22,4,0,0,4,262,4,7,0,0,4,0,0,0,0,13,17,31,0,3,5,0,0,0,0,59,9,6,0,0,4,0,0,0,0,21,224,396,53,41,59,45,11,13,16,846,0,0,0,0,0,0,0,0,0,0,54,38,20,30,17,14,4,10,0,192,96,54,50,28,19,18,14,11,9,287,194,51,586,52,64,44,70,75,16,1145,8,5,3,0,5,4,0,4,0,36,14,9,9,3,7,7,4,0,3,75,6,3,9,0,0,0,4,0,0,22,10,11,6,5,3,6,0,3,9,45,744,757,751,165,205,141,108,118,44,3042,0,5,0,0,0,0,0,0,0,10,8,22,0,3,0,0,0,0,0,35,71,186,8,8,24,0,0,0,0,304,0,10,0,0,4,0,0,0,0,15
POA2228,0,3,0,0,0,0,0,0,0,10,6,42,0,0,0,0,0,0,0,49,107,178,15,10,23,12,8,0,3,363,0,4,0,0,0,0,0,0,0,9,12,28,0,4,7,0,0,0,0,62,7,11,3,3,0,0,0,0,0,20,274,491,57,76,93,60,30,29,20,1130,0,0,0,0,0,0,0,0,0,6,51,51,29,36,16,7,12,7,5,216,97,72,61,39,28,21,15,20,7,361,229,64,669,65,71,63,74,96,25,1353,3,0,0,5,5,4,4,3,0,29,28,14,22,3,10,11,11,16,0,106,10,7,0,7,3,3,0,3,0,30,16,9,12,3,0,4,8,7,9,69,831,972,868,255,259,194,159,185,71,3800,0,5,0,0,0,0,0,0,0,6,7,38,0,0,0,0,0,0,0,52,64,218,9,12,46,15,0,0,5,362,4,9,0,5,0,0,0,0,0,20
POA2229,4,5,0,0,3,0,0,0,0,7,12,46,4,0,0,0,0,0,0,61,185,237,13,19,24,19,11,0,6,515,5,4,0,0,0,0,0,0,0,13,28,39,0,3,6,0,0,0,0,81,9,10,0,3,4,0,0,0,0,24,467,724,83,93,113,73,26,38,28,1626,0,0,4,0,0,0,0,0,0,3,121,100,46,47,15,20,18,16,5,384,157,104,87,60,48,44,16,10,9,538,435,102,1081,108,85,92,122,151,43,2216,8,3,6,10,4,9,4,6,0,53,53,21,17,12,10,22,10,18,3,160,18,9,9,0,7,9,0,0,0,58,27,17,12,3,13,10,9,6,10,104,1519,1422,1359,355,346,283,215,250,94,5850,5,11,0,0,0,0,0,0,0,15,10,41,0,0,3,0,0,0,0,49,122,325,7,18,43,11,0,0,6,536,3,15,0,0,4,0,0,0,0,27
POA2230,6,5,0,0,0,0,0,0,0,8,15,55,0,0,0,0,0,0,0,76,180,299,12,13,26,5,5,4,3,543,4,9,0,0,0,0,0,0,0,21,27,72,0,9,4,3,0,0,0,122,15,16,0,3,4,5,0,0,0,47,522,960,95,130,123,76,34,43,26,2001,0,0,4,6,0,0,0,3,0,7,109,118,44,51,25,29,10,16,9,412,156,116,82,69,40,39,15,10,13,543,447,134,1146,103,100,102,120,167,35,2349,17,5,7,3,5,11,7,10,0,54,40,29,22,17,11,14,8,11,3,164,15,17,8,5,6,9,0,5,0,57,21,10,13,7,8,18,5,10,9,99,1565,1852,1428,411,357,299,209,273,111,6505,0,9,0,0,0,0,0,0,0,9,9,50,5,0,0,0,0,0,0,70,140,407,7,19,45,11,0,0,8,635,10,14,0,0,7,0,0,0,0,24
POA2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,3,0,6,0,43,0,0,0,0,0,0,0,0,0,0,6,7,5,8,0,0,5,0,0,26,10,5,5,4,0,0,3,0,0,38,44,8,156,7,14,3,30,22,4,282,0,4,0,0,0,0,0,3,0,6,6,0,0,0,0,0,0,5,0,14,0,3,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,0,4,12,81,60,171,18,25,13,33,32,10,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
POA2232,3,3,0,0,0,0,0,0,0,9,11,119,5,0,5,0,0,0,0,138,176,361,19,22,48,18,7,8,13,676,5,8,0,0,0,0,0,0,0,20,27,60,8,10,15,0,0,3,0,129,16,25,5,4,5,0,0,0,0,56,436,1058,108,112,165,86,43,47,19,2079,0,0,0,0,0,0,0,0,0,5,102,115,69,67,31,20,8,10,3,434,167,140,114,69,75,42,25,20,3,666,342,138,1302,119,130,96,185,190,29,2529,18,10,16,12,4,4,4,9,4,73,36,19,26,14,21,11,14,23,0,172,10,20,3,3,5,0,5,7,3,58,13,18,8,13,5,15,10,10,17,111,1372,2104,1679,445,515,307,307,325,103,7151,0,14,0,0,0,0,0,0,0,13,17,73,0,0,5,0,0,0,0,94,150,533,10,30,100,14,0,0,4,838,0,19,0,0,3,0,0,0,0,25
POA2233,5,0,0,0,0,0,0,0,0,4,12,43,0,0,6,0,0,0,0,62,108,170,6,9,26,10,3,3,0,348,0,9,0,0,0,0,0,0,0,4,27,45,3,4,5,0,0,0,0,82,10,17,0,0,0,0,0,0,0,39,291,597,62,104,85,39,14,31,10,1227,0,0,0,0,0,0,0,0,0,4,65,64,43,65,40,17,10,13,4,313,147,126,86,86,58,43,28,23,10,600,414,142,1385,106,129,104,176,210,40,2708,5,6,10,6,0,10,5,7,0,47,24,19,12,12,15,8,13,17,4,120,10,11,10,4,3,0,0,5,0,43,8,8,12,7,12,4,10,11,7,74,1120,1255,1628,409,385,233,257,307,83,5680,0,8,0,0,0,0,0,0,0,12,3,57,0,0,4,0,0,0,0,70,70,341,3,21,33,6,0,0,5,470,6,7,0,0,0,0,0,0,0,12
POA2234,0,3,0,0,0,0,0,0,0,3,13,51,0,5,0,0,0,0,0,69,179,234,16,16,33,10,3,6,6,497,9,4,0,0,0,0,0,0,0,16,21,54,3,10,3,5,0,0,0,93,9,13,5,4,0,0,0,0,0,34,438,769,83,116,129,73,24,28,16,1671,0,0,0,0,0,0,0,0,0,3,112,116,67,55,29,21,15,15,9,437,153,101,83,53,53,42,23,18,11,529,364,114,1134,78,152,106,150,150,31,2282,8,6,16,4,5,4,11,9,0,52,61,24,24,9,21,18,16,24,0,186,15,15,6,0,4,0,6,9,0,50,22,16,8,4,6,3,8,13,13,93,1405,1518,1440,351,428,276,247,254,89,6016,0,15,0,0,0,0,0,0,0,21,5,52,0,0,10,0,0,0,0,64,128,347,5,14,38,5,0,4,5,554,6,13,0,0,0,0,0,0,0,21
POA2250,0,5,0,0,0,0,0,0,0,9,13,148,4,0,7,0,0,0,0,172,184,476,39,38,49,32,23,32,5,881,10,24,0,0,3,0,0,0,0,38,27,82,7,12,15,3,0,0,0,150,21,40,3,5,8,0,0,0,0,84,493,1480,207,188,179,120,67,114,30,2870,0,0,3,0,0,0,0,0,0,13,148,152,86,97,53,34,27,50,8,666,244,218,179,130,93,69,55,71,19,1082,585,252,2170,283,237,223,440,449,91,4732,16,18,15,22,15,26,22,34,6,176,60,46,57,33,25,20,31,40,11,326,12,24,15,11,8,12,7,11,0,104,27,27,40,17,19,10,29,21,32,223,1852,3006,2828,829,713,548,707,836,196,11517,6,21,0,0,3,0,0,0,0,29,20,117,0,4,8,0,0,0,5,146,155,622,27,72,103,27,5,12,16,1028,6,28,0,4,4,0,0,0,0,39
