POA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
POA2019,0,4,37,11,4,21,10,31,0,120,13,30,65,40,16,27,27,31,4,266,123,210,207,81,65,48,73,68,21,889,245,248,175,54,63,50,62,58,25,972,195,156,144,35,66,42,72,58,18,786,81,72,94,19,49,28,69,52,5,481,19,21,16,3,14,4,16,12,7,106,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,682,744,743,247,283,212,340,309,79,3630,0,6,4,33,13,65,4,15,0,141,19,54,24,81,49,40,3,12,5,285,134,338,40,113,171,74,15,25,17,931,203,333,28,78,201,64,6,20,14,944,151,212,25,70,218,64,11,24,8,784,64,104,11,68,138,26,9,16,7,442,8,28,3,15,32,10,0,12,3,106,0,5,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,575,1071,131,463,829,348,49,127,48,3646
POA2020,4,0,19,16,4,33,3,34,0,116,46,164,139,119,78,77,61,112,22,812,310,906,557,150,210,157,216,279,82,2867,246,423,215,69,137,92,88,98,40,1403,146,166,100,35,99,38,67,48,11,715,87,77,79,21,44,12,83,50,10,458,22,12,26,6,12,7,17,14,0,112,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,859,1748,1136,417,574,416,536,636,168,6484,5,12,0,34,8,48,0,12,0,119,39,191,62,201,124,136,13,41,13,825,299,953,125,335,390,198,47,171,74,2584,191,388,42,98,243,74,21,51,19,1123,104,165,17,83,180,62,11,37,7,673,42,68,26,48,134,30,10,42,3,390,3,24,3,13,19,8,0,12,3,83,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,681,1791,284,811,1098,557,98,361,115,5798
POA2021,0,14,3,19,7,12,3,14,0,74,16,110,25,42,38,28,5,10,0,282,218,710,103,55,87,89,19,27,27,1323,302,480,49,34,65,63,13,22,28,1058,279,353,46,28,48,46,17,14,14,842,175,272,30,15,33,25,15,10,15,590,67,143,7,9,18,9,4,0,6,267,12,23,4,0,0,3,0,0,0,44,3,0,0,0,0,0,0,0,0,8,1075,2099,267,196,304,275,72,110,89,4479,0,10,3,22,5,19,0,11,0,67,30,181,15,58,79,42,5,8,10,432,292,864,55,64,129,99,7,11,20,1533,278,448,21,43,114,51,0,5,14,969,222,367,13,42,107,41,0,5,9,811,141,216,7,27,91,24,4,8,7,518,43,90,3,3,47,14,0,0,0,202,8,12,0,0,8,0,0,0,5,32,0,0,0,0,0,0,0,0,0,4,1005,2183,117,265,578,298,8,51,54,4570
POA2022,0,0,9,13,4,15,6,7,4,58,18,60,32,34,26,18,14,23,4,236,177,457,220,45,72,66,46,93,38,1219,264,389,72,29,59,49,12,23,15,917,203,258,47,19,27,42,10,26,20,657,98,173,39,20,24,24,9,22,9,414,34,76,10,3,5,10,0,14,4,157,0,21,0,0,3,0,0,0,5,36,0,0,0,0,0,0,0,0,0,4,802,1444,438,174,213,218,105,208,93,3691,0,10,0,15,7,26,0,6,3,57,28,103,8,53,58,37,0,7,9,295,219,587,47,115,157,86,17,45,22,1287,233,349,27,57,107,39,4,19,7,848,143,272,16,50,79,21,0,17,14,604,58,132,7,36,77,23,0,10,3,361,22,60,4,13,30,7,0,5,3,142,3,6,0,0,9,6,0,0,0,20,0,0,0,0,3,0,0,0,0,4,702,1518,103,342,519,248,25,109,55,3622
POA2023,0,15,4,12,11,11,4,17,0,79,7,49,20,22,21,18,5,9,6,163,125,247,59,22,43,42,12,14,17,572,190,249,36,16,21,25,4,8,23,569,190,245,30,7,23,25,0,9,20,551,141,205,14,13,22,31,9,16,15,452,88,155,9,3,9,15,5,10,12,302,21,43,0,3,6,4,0,3,6,86,0,0,0,0,0,0,0,0,0,9,770,1214,171,107,150,163,37,86,94,2791,4,11,3,14,8,32,0,5,0,74,16,69,10,33,41,34,0,0,12,214,134,356,26,42,95,55,0,6,12,726,144,271,15,30,76,35,0,4,14,586,113,222,10,38,72,43,3,3,13,505,78,158,15,31,65,32,0,9,13,401,41,78,4,10,54,12,0,4,7,203,0,15,0,0,15,3,0,0,0,38,0,0,0,0,0,0,0,0,0,3,529,1182,76,189,429,242,4,29,73,2745
POA2024,0,9,13,14,3,14,8,21,0,90,15,45,23,23,14,16,3,13,0,155,134,350,108,38,38,56,13,15,14,751,225,313,65,25,39,33,10,10,15,739,215,298,35,18,48,30,17,15,19,683,107,200,33,13,28,16,3,21,9,434,30,70,16,0,9,6,4,0,0,137,4,10,3,0,0,0,0,5,6,28,0,0,0,0,0,0,0,0,0,0,720,1291,301,130,175,176,63,98,60,3018,0,8,3,33,10,22,0,15,0,87,14,57,6,36,39,26,0,7,7,183,170,438,25,55,86,44,0,6,17,847,191,348,30,35,85,31,0,0,14,730,155,311,15,47,88,40,0,7,5,664,73,177,9,31,86,16,0,0,6,401,18,48,3,8,26,6,0,8,0,109,5,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,617,1394,83,236,428,185,5,39,49,3033
POA2025,0,7,3,9,6,7,0,6,0,32,12,41,8,16,14,9,3,9,6,108,63,225,29,19,18,30,9,7,6,415,123,188,9,9,23,15,3,6,7,390,108,166,13,5,11,13,0,7,10,335,99,125,3,3,7,7,0,3,8,271,40,93,3,3,9,7,0,3,6,169,19,23,0,0,4,5,0,0,0,49,0,7,0,0,0,0,0,0,0,11,462,879,79,66,92,103,16,41,42,1783,0,0,3,9,4,24,0,0,0,39,16,59,3,20,31,21,0,3,0,151,104,325,8,33,46,31,0,0,6,560,112,213,13,20,42,24,0,4,9,437,90,158,6,16,40,22,0,3,10,336,63,115,8,17,34,15,0,0,5,260,27,62,4,9,21,11,0,0,8,137,10,11,0,0,12,5,0,0,4,31,0,0,0,0,0,0,0,0,0,0,416,940,44,113,233,151,0,18,41,1953
POA2026,3,8,25,37,7,37,11,32,0,160,38,128,55,52,27,67,31,44,9,452,680,1536,479,142,198,234,119,158,98,3637,754,1056,219,76,96,146,37,69,61,2515,556,633,142,46,70,79,28,44,35,1637,255,321,62,42,49,43,35,38,12,868,51,147,28,6,20,21,16,14,6,309,9,20,3,3,6,0,0,5,0,55,0,0,0,0,0,0,0,0,0,5,2352,3844,1020,408,479,630,273,411,226,9640,4,6,0,60,15,76,0,13,0,177,38,192,19,133,87,69,8,9,9,569,810,2016,113,338,436,301,32,68,77,4183,585,1103,54,131,228,110,7,22,35,2270,338,588,30,90,195,100,8,15,34,1397,129,302,23,75,157,38,0,17,12,759,23,94,3,19,68,7,0,8,10,226,4,7,0,0,13,4,0,0,0,35,0,0,0,0,0,0,0,0,0,3,1930,4309,255,845,1199,700,60,149,173,9624
POA2027,0,3,3,5,3,0,0,5,6,29,9,38,0,16,5,5,4,4,6,90,104,246,35,19,25,26,3,12,9,480,152,175,25,15,20,19,0,10,19,427,139,126,13,9,19,19,0,8,7,329,105,140,15,6,15,17,6,8,4,317,72,112,3,5,9,24,3,6,16,256,52,44,0,0,4,15,0,5,11,132,0,3,0,0,0,4,0,0,0,13,630,900,98,77,101,131,21,44,71,2069,0,4,0,5,6,7,0,0,0,25,10,61,0,25,34,14,0,0,3,154,121,292,5,23,71,39,0,10,12,578,106,197,9,19,50,23,0,3,9,407,89,141,13,9,48,23,0,6,5,331,75,104,6,19,51,22,0,3,9,293,39,63,4,5,42,18,0,0,15,184,12,12,0,0,8,3,0,0,3,44,0,5,0,0,0,0,0,0,4,10,445,884,39,112,321,146,4,24,55,2035
POA2028,0,0,0,0,0,4,5,3,0,17,9,26,8,6,16,8,0,3,3,75,83,196,21,13,33,21,0,4,10,388,85,118,14,7,20,15,4,8,12,282,81,66,12,3,13,12,0,4,4,196,45,78,6,6,6,3,6,3,7,150,35,45,5,0,4,4,5,4,6,99,16,24,0,0,0,4,0,0,0,51,0,9,0,0,0,0,0,0,0,7,347,564,65,36,89,78,16,23,40,1264,0,0,0,5,4,14,0,0,0,24,19,50,3,15,27,19,0,0,7,131,89,281,8,9,45,33,0,4,13,488,76,96,10,19,22,16,0,0,5,240,49,88,5,5,29,16,0,0,3,187,29,63,0,19,47,11,0,7,5,170,27,39,0,9,17,4,0,0,7,109,0,11,0,0,5,5,0,0,3,25,0,0,0,0,0,0,0,0,0,0,289,624,25,85,190,104,0,13,29,1378
POA2029,0,4,10,22,3,15,4,8,3,65,11,50,26,28,24,18,4,3,6,170,109,207,74,35,42,42,7,17,12,550,220,198,53,15,20,37,5,10,13,576,185,182,57,15,18,43,12,12,8,522,121,149,26,9,26,20,15,16,12,377,39,93,11,0,15,9,5,7,5,191,19,24,5,0,5,5,0,5,4,70,8,4,0,0,0,0,0,0,0,8,719,901,240,120,145,194,60,79,67,2527,0,5,0,25,5,19,0,0,0,57,21,73,9,37,31,28,0,0,6,208,136,319,19,60,60,45,3,4,7,654,144,252,12,36,83,35,3,15,12,597,116,207,11,45,94,32,0,6,15,526,63,119,7,31,76,21,0,8,4,334,24,45,0,6,56,13,0,0,5,151,0,7,0,3,12,0,0,0,5,31,3,0,0,0,3,0,0,0,0,3,503,1023,60,240,434,191,5,39,60,2561
