POA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA2019,43,0,0,0,45,15,0,57,790,140,26,0,960,5,0,12,970,50,0,1016,610,139,27,3,780,0,0,0,784,24,3,808,165,33,31,0,232,0,0,0,232,15,0,245,8,0,0,0,7,0,0,0,7,0,4,13,1572,307,93,6,1979,5,0,14,1993,87,10,2085,8,0,0,0,11,0,0,7,22,3,0,18,6,8,0,0,10,0,4,4,18,0,0,16,18,7,0,0,25,0,4,13,35,5,0,39,1586,321,89,6,2006,12,8,19,2026,95,10,2128,247,40,19,5,312,5,0,9,319,70,0,393,7,0,0,0,7,0,0,0,7,0,7,18,1842,361,109,13,2325,15,12,27,2356,165,16,2531
POA2020,57,0,4,3,60,12,0,73,626,96,43,4,769,11,9,18,786,50,0,835,399,159,41,5,607,12,5,10,622,44,0,658,138,37,62,4,241,5,0,5,238,6,0,250,8,0,0,14,24,0,0,0,26,0,5,27,1169,293,143,26,1637,24,10,35,1669,104,0,1772,12,0,0,0,18,11,0,11,28,8,0,32,13,5,0,0,15,8,0,8,30,7,0,31,21,12,0,0,36,17,0,17,53,18,0,69,1194,308,143,26,1671,41,10,53,1722,113,0,1843,334,118,23,13,488,25,7,29,519,141,3,669,0,0,0,5,5,0,0,0,5,0,4,19,1532,431,161,43,2169,63,18,82,2251,257,18,2521
POA2021,38,4,0,4,41,16,0,52,642,59,12,0,710,11,0,11,727,30,6,753,463,70,18,0,549,5,0,5,558,21,0,580,122,9,14,0,150,0,0,0,150,10,0,155,8,0,0,5,13,0,0,0,13,0,0,18,1235,137,41,4,1425,20,0,20,1442,54,3,1505,13,9,0,0,21,0,0,0,21,0,0,21,18,0,0,0,18,0,0,0,18,0,0,18,31,9,0,0,43,0,0,0,43,0,0,43,1269,152,41,4,1464,20,0,20,1485,54,3,1547,260,32,9,5,302,7,0,7,311,27,0,333,0,0,0,5,0,0,0,0,0,0,6,10,1534,177,44,17,1775,28,0,28,1800,80,10,1889
POA2022,56,0,0,0,59,11,0,65,646,65,23,4,740,10,3,12,753,41,0,796,478,86,10,0,577,7,0,7,579,21,0,604,97,23,21,0,149,0,0,0,146,9,0,156,9,0,0,7,14,0,0,0,14,0,0,15,1232,174,56,7,1469,19,3,22,1489,71,0,1569,14,0,0,0,14,0,0,0,17,0,0,21,29,0,0,0,27,0,0,0,27,0,0,26,44,0,0,0,41,0,0,0,45,3,0,44,1270,174,56,7,1509,23,3,25,1537,73,0,1610,254,38,11,3,303,6,0,6,316,51,0,362,0,0,0,0,0,0,0,0,0,0,6,9,1522,212,67,12,1818,30,3,28,1850,118,5,1975
POA2023,92,3,0,3,101,12,0,108,491,60,3,10,564,14,7,22,581,34,0,616,437,121,8,0,567,0,0,0,566,34,0,606,76,15,5,8,106,0,0,0,106,7,0,114,12,0,0,20,27,0,0,0,27,0,0,30,1021,194,16,29,1259,17,7,18,1280,82,6,1367,4,7,0,0,9,3,0,3,17,0,0,17,20,5,0,0,24,0,0,0,24,0,0,24,21,14,0,0,35,3,0,3,38,0,0,38,1038,201,18,36,1295,16,7,22,1317,82,6,1406,465,79,9,17,566,13,6,8,580,53,0,639,4,0,0,8,10,0,0,0,10,0,3,14,1508,283,25,59,1876,28,7,36,1907,137,5,2051
POA2024,49,0,0,0,49,5,0,56,661,67,12,0,741,7,4,8,752,45,0,798,628,69,0,4,697,4,0,4,708,18,4,726,103,19,17,0,133,0,0,0,134,10,0,141,9,0,0,6,14,0,0,0,14,0,0,20,1405,149,25,16,1594,13,4,14,1607,73,4,1684,11,0,0,0,11,0,0,0,11,0,0,10,16,5,0,0,19,3,0,3,18,0,0,18,24,5,0,0,25,3,0,3,29,0,0,34,1426,152,25,16,1619,17,4,20,1635,77,4,1713,336,55,0,3,395,0,0,0,400,28,3,427,0,4,0,5,4,0,0,0,4,0,13,13,1764,211,25,21,2015,20,4,20,2037,103,11,2159
POA2025,29,0,0,0,29,5,0,31,323,28,5,8,368,5,0,5,371,17,0,390,256,57,3,0,323,6,0,6,328,11,0,339,34,9,7,0,49,0,0,0,50,0,0,51,4,0,0,0,0,0,0,0,0,0,0,4,623,98,19,9,745,9,0,9,756,30,0,789,6,0,0,0,6,0,0,0,6,0,0,6,11,0,0,0,11,0,0,0,11,0,0,11,11,0,0,0,11,0,0,0,11,0,0,11,637,98,19,9,756,9,0,9,769,30,0,806,191,38,0,0,226,0,0,0,232,18,0,253,0,0,0,5,8,0,0,0,8,0,0,9,828,133,22,15,999,14,0,14,1009,54,3,1066
POA2026,124,0,0,5,128,16,0,139,1247,201,29,5,1479,20,0,20,1503,97,5,1612,1282,207,25,3,1519,25,4,29,1545,44,5,1593,271,56,56,0,383,3,0,4,388,15,0,401,14,0,0,20,36,0,0,0,36,0,7,39,2812,462,110,30,3414,46,11,58,3470,161,18,3650,25,6,0,0,31,7,0,7,30,0,0,30,47,3,0,0,53,0,0,0,53,0,0,53,64,8,0,0,76,7,0,7,81,3,0,84,2888,469,110,30,3490,53,11,64,3551,167,18,3737,645,106,23,18,798,17,6,22,815,93,0,907,11,0,0,0,12,0,0,0,12,0,13,27,3541,574,136,51,4299,64,12,80,4377,260,32,4669
POA2027,38,0,0,0,38,4,0,45,206,25,4,0,234,3,0,3,242,4,0,246,152,43,6,0,207,0,0,0,209,9,0,220,43,3,12,0,58,0,0,0,58,0,0,58,6,0,0,6,13,0,0,0,13,0,0,13,411,75,22,8,515,9,0,9,521,16,0,539,0,0,0,0,0,4,0,4,11,0,0,11,6,0,0,0,6,0,0,0,9,0,0,9,8,0,0,0,7,4,0,4,15,0,0,15,416,80,22,8,521,11,0,11,534,16,0,550,170,31,0,5,210,0,0,0,210,34,0,242,4,0,0,0,11,0,0,0,11,0,0,9,591,109,24,15,741,11,0,11,749,52,0,808
POA2028,13,0,0,0,13,0,0,21,139,16,0,3,157,0,0,3,161,17,0,178,99,23,4,0,127,0,0,0,128,0,0,130,33,5,10,0,53,0,0,0,55,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,271,48,19,4,344,8,3,4,350,19,0,365,7,0,0,0,7,0,0,0,7,0,0,7,6,0,0,0,6,0,0,0,9,0,0,9,12,0,0,0,12,0,0,0,10,0,0,10,286,48,19,4,352,8,3,9,360,19,0,377,128,14,4,0,147,5,0,5,148,13,0,165,5,6,0,0,8,0,0,0,8,0,3,14,418,63,21,6,508,9,3,12,517,33,3,557
POA2029,69,0,0,0,74,8,0,78,444,60,3,4,512,6,0,6,519,22,0,540,486,118,4,3,606,8,0,8,618,32,0,642,75,19,9,0,110,0,0,0,110,5,0,118,4,0,0,7,11,0,0,0,11,3,0,12,1012,198,20,15,1241,7,0,7,1251,58,0,1308,11,0,0,0,11,0,0,0,11,0,0,11,15,3,0,0,20,0,0,0,20,0,0,20,23,3,0,0,32,0,0,0,32,0,0,32,1037,199,20,15,1269,7,0,7,1282,58,0,1339,232,49,7,10,290,14,0,14,300,43,0,342,0,0,0,0,0,0,0,0,0,0,0,3,1266,247,27,19,1564,20,0,20,1583,99,0,1685
POA2030,167,0,0,0,170,23,0,197,811,67,5,4,895,3,0,3,899,71,0,967,946,169,17,3,1132,10,0,8,1143,42,0,1183,112,29,13,0,160,3,0,3,158,0,0,163,15,6,5,22,49,0,0,0,49,0,5,58,1892,280,42,31,2242,14,0,19,2257,113,5,2376,16,11,0,0,21,4,0,4,30,0,0,30,27,6,0,0,33,0,0,0,30,0,0,31,41,13,0,0,58,3,0,3,60,0,0,60,1933,293,42,31,2297,22,0,18,2319,110,5,2435,647,103,13,31,793,12,0,12,800,119,0,925,5,0,0,11,15,0,0,0,15,0,0,15,2585,395,57,73,3104,31,0,32,3136,233,3,3374
POA2031,148,3,0,3,145,17,4,167,1708,232,47,3,1988,23,17,39,2028,112,0,2145,1376,228,28,14,1643,31,0,36,1677,53,0,1730,340,56,35,4,430,8,0,8,436,14,0,441,16,5,0,9,33,0,0,0,33,3,0,40,3437,515,107,28,4093,61,17,75,4167,181,7,4354,27,12,0,0,39,6,0,6,42,0,0,42,41,12,4,5,59,0,0,0,61,0,0,60,74,18,5,5,101,8,0,8,107,0,0,105,3510,534,111,30,4192,66,17,83,4274,182,7,4458,716,80,11,19,829,8,3,6,840,91,0,930,4,0,0,10,12,0,0,0,12,0,12,21,4233,616,123,55,5033,76,21,95,5127,270,18,5404
POA2032,72,0,5,7,74,15,0,87,622,94,35,4,753,25,6,26,777,61,0,840,507,99,21,4,634,12,6,13,645,39,0,679,120,36,20,0,170,0,0,0,167,11,0,178,0,0,0,5,10,3,0,3,12,0,0,18,1249,232,68,13,1562,34,7,42,1607,104,3,1715,15,3,0,3,23,0,0,0,23,0,0,20,8,0,0,0,7,3,0,3,8,4,0,17,23,8,0,3,30,3,0,3,31,0,0,32,1266,240,68,17,1592,37,7,46,1640,111,4,1750,209,63,22,6,304,9,5,14,314,79,0,395,0,0,0,0,0,0,0,0,0,0,6,7,1478,300,89,28,1894,49,7,53,1950,190,8,2150
POA2033,50,0,0,0,46,9,0,55,424,61,15,0,499,9,0,9,511,39,0,548,361,83,10,0,454,7,0,7,462,16,0,481,78,11,12,0,98,0,0,0,99,5,0,105,6,0,0,0,7,0,0,0,7,0,0,8,866,156,34,3,1058,20,0,20,1074,62,0,1138,8,0,0,0,14,0,0,0,14,0,0,12,12,0,0,0,22,0,0,0,22,0,0,22,24,8,0,0,32,0,0,0,32,0,0,35,889,157,34,5,1091,20,0,20,1108,60,0,1173,209,41,19,8,278,3,0,3,281,44,4,329,0,0,0,0,0,0,0,0,0,0,0,0,1103,201,51,20,1371,23,0,23,1399,109,0,1508
POA2034,95,0,0,0,97,12,0,111,959,114,28,0,1107,20,3,20,1126,48,4,1182,863,128,17,13,1021,12,3,17,1031,38,0,1071,192,35,20,0,246,0,0,0,246,4,0,249,5,0,0,6,17,0,0,0,17,0,0,17,2019,277,70,19,2389,28,7,34,2422,85,7,2516,12,0,0,0,16,0,0,0,16,6,0,22,26,3,0,0,34,0,5,8,39,0,0,40,44,6,0,0,50,0,5,3,54,8,0,61,2060,286,73,19,2438,31,4,39,2478,95,4,2580,406,63,15,7,486,4,0,3,493,54,4,548,3,0,0,0,8,0,0,0,8,0,5,11,2465,342,86,29,2930,33,11,45,2975,152,16,3137
POA2035,211,8,0,8,222,36,0,262,1832,287,63,18,2198,44,4,52,2250,128,4,2378,1516,324,69,10,1924,24,5,28,1946,76,0,2027,344,53,56,4,459,3,0,3,467,22,0,484,11,0,0,25,43,0,0,0,42,0,0,42,3699,672,191,62,4625,75,10,88,4710,228,5,4940,26,3,3,0,33,4,0,4,41,7,0,41,54,4,5,3,64,3,0,3,68,5,0,76,83,7,4,3,99,11,0,11,105,7,0,115,3781,678,195,61,4720,82,10,91,4812,234,5,5056,639,130,44,12,823,16,8,17,847,176,0,1022,8,3,0,9,15,0,0,0,15,3,17,37,4426,813,235,83,5558,98,15,115,5677,413,24,6109
