poa_code,postcode,seifa_irsd_score,seifa_irsd_national_rank,seifa_irsd_national_decile,seifa_irsd_national_percentile,seifa_irsd_state_rank,seifa_irsd_state_decile,seifa_irsd_state_percentile,seifa_irsd_minimum_sa1_score,seifa_irsd_maximum_sa1_score,seifa_irsd_population_without_sa1_score_share,seifa_irsad_score,seifa_irsad_national_rank,seifa_irsad_national_decile,seifa_irsad_national_percentile,seifa_irsad_state_rank,seifa_irsad_state_decile,seifa_irsad_state_percentile,seifa_irsad_minimum_sa1_score,seifa_irsad_maximum_sa1_score,seifa_irsad_population_without_sa1_score_share,seifa_ier_score,seifa_ier_national_rank,seifa_ier_national_decile,seifa_ier_national_percentile,seifa_ier_state_rank,seifa_ier_state_decile,seifa_ier_state_percentile,seifa_ier_minimum_sa1_score,seifa_ier_maximum_sa1_score,seifa_ier_population_without_sa1_score_share,seifa_ieo_score,seifa_ieo_national_rank,seifa_ieo_national_decile,seifa_ieo_national_percentile,seifa_ieo_state_rank,seifa_ieo_state_decile,seifa_ieo_state_percentile,seifa_ieo_minimum_sa1_score,seifa_ieo_maximum_sa1_score,seifa_ieo_population_without_sa1_score_share,seifa_population,seifa_state,seifa_caution_low_sa1_representation,seifa_cross_state_boundary,seifa_irsd_excluded,seifa_irsd_national_percentile_scaled,seifa_irsad_excluded,seifa_irsad_national_percentile_scaled,seifa_ier_excluded,seifa_ier_national_percentile_scaled,seifa_ieo_excluded,seifa_ieo_national_percentile_scaled,seifa_score_missing_count,seifa_any_score_available,seifa_all_scores_available,seifa_any_index_excluded,seifa_source_year
POA0835,0835,1057.4533127,2112,9,81,28,9,83,1007.2577988,1096.8570228,0.0,1039.2787463,2010,8,77,27,8,80,991.36233869,1081.9463739,0.0,1084.5000303,2382,10,91,32,10,95,978.96584273,1144.3942544,0.0,972.55654687,1337,6,51,18,6,53,939.06028141,1003.4176257,0.0,3153,NT,False,False,False,0.81,False,0.77,False,0.91,False,0.51,0,True,True,False,2021
POA0836,0836,1044.1931103,1926,8,74,25,8,74,990.79910431,1086.2371467,0.0,1026.2147598,1900,8,73,24,8,71,971.46944496,1069.9304059,0.0,1086.8018521,2404,10,92,33,10,98,1045.2045393,1137.3882506,0.0,957.40830307,1150,5,44,17,6,51,906.2971749,1005.4928088,0.0,7597,NT,False,False,False,0.74,False,0.73,False,0.92,False,0.44,0,True,True,False,2021
POA0837,0837,1011.2477384,1457,6,56,23,7,68,957.55470411,1022.9382458,0.0,987.16614422,1439,6,55,21,7,62,965.91664405,991.79276746,0.0,1054.1604267,2110,9,81,30,9,89,989.26652618,1068.2896827,0.0,936.06955526,861,4,33,12,4,36,930.68174433,960.81509503,0.0,489,NT,False,False,False,0.56,False,0.55,False,0.81,False,0.33,0,True,True,False,2021
POA0838,0838,987.66800608,1076,5,41,20,6,59,980.59581288,993.00026268,0.0,975.0789582,1266,5,49,18,6,53,965.99040147,981.93150241,0.0,1011.6497977,1474,6,57,27,8,80,998.3508533,1021.6768688,0.0,951.80409638,1072,5,41,14,5,42,942.08590504,959.13136931,0.0,870,NT,False,False,False,0.41,False,0.49,False,0.57,False,0.41,0,True,True,False,2021
POA0839,0839,952.96452263,608,3,24,14,5,42,952.96452263,952.96452263,0.0,923.58840061,559,3,22,11,4,33,923.58840061,923.58840061,0.0,863.33623395,76,1,3,9,3,27,863.33623395,863.33623395,0.0,898.5804338,385,2,15,9,3,27,898.5804338,898.5804338,0.0,510,NT,False,False,False,0.24,False,0.22,False,0.03,False,0.15,0,True,True,False,2021
POA0840,0840,867.82039441,128,1,5,8,3,24,867.82039441,867.82039441,0.0,864.22010126,116,1,5,8,3,24,864.22010126,864.22010126,0.0,903.21757776,152,1,6,13,4,39,903.21757776,903.21757776,0.0,878.31457435,200,1,8,6,2,18,878.31457435,878.31457435,0.0,457,NT,False,False,False,0.05,False,0.05,False,0.06,False,0.08,0,True,True,False,2021
POA0841,0841,969.30589887,817,4,32,16,5,48,965.59783023,972.09478431,0.0,932.04311606,668,3,26,12,4,36,919.20843299,941.69624389,0.0,993.14033932,1166,5,45,25,8,74,967.39514055,1012.5036297,0.0,879.01202947,203,1,8,7,3,21,840.08665338,908.28829825,0.0,627,NT,False,False,False,0.32,False,0.26,False,0.45,False,0.08,0,True,True,False,2021
POA0845,0845,801.55692982,49,1,2,6,2,18,790.12992314,978.77951475,0.0,842.00085701,66,1,3,5,2,15,834.92156341,951.79432671,0.0,792.87911976,34,1,2,6,2,18,779.93446794,993.63901434,0.0,934.64868887,843,4,33,11,4,33,931.24465905,934.86817484,0.0,396,NT,False,False,False,0.02,False,0.03,False,0.02,False,0.33,0,True,True,False,2021
POA0846,0846,925.76120154,355,2,14,11,4,33,909.88602457,978.77951475,0.0,884.13219268,214,1,9,10,3,30,863.87224311,951.79432671,0.0,900.77826517,148,1,6,12,4,36,872.97314015,993.63901434,0.0,863.33801537,119,1,5,4,2,12,843.00485272,931.24465905,0.0,317,NT,False,False,False,0.14,False,0.09,False,0.06,False,0.05,0,True,True,False,2021
POA0847,0847,793.38667691,43,1,2,5,2,15,793.38667691,793.38667691,0.0,847.35521152,80,1,4,6,2,18,847.35521152,847.35521152,0.0,766.29349281,27,1,2,4,2,12,766.29349281,766.29349281,0.0,909.87789901,520,2,20,10,3,30,909.87789901,909.87789901,0.0,318,NT,False,False,False,0.02,False,0.04,False,0.02,False,0.2,0,True,True,False,2021
POA0850,0850,954.3523004,625,3,24,15,5,45,143.5024932,1124.9658811,0.0019052458,960.99149506,1070,5,41,15,5,45,435.29991174,1103.1397843,0.0019052458,918.08328804,215,1,9,14,5,42,357.30037025,1098.4271477,0.0019052458,977.6038594,1403,6,54,19,6,56,627.73580104,1136.216009,0.0,7873,NT,False,False,False,0.24,False,0.41,False,0.09,False,0.54,0,True,True,False,2021
POA0852,0852,556.24968449,2,1,1,1,1,3,143.4890309,1056.4271517,0.0509418744,717.92180773,4,1,1,1,1,3,456.80767391,1047.7851998,0.0509418744,600.92892316,6,1,1,1,1,3,298.75958029,1051.9167549,0.0414398709,855.91641598,88,1,4,3,1,9,631.21645732,1035.434105,0.0414398709,8735,NT,False,False,False,0.01,False,0.01,False,0.01,False,0.04,0,True,True,False,2021
POA0853,0853,1145.9472148,2623,10,100,33,10,98,1145.9472148,1145.9472148,0.0,1080.1977981,2293,9,88,31,10,92,1080.1977981,1080.1977981,0.0,1019.0171214,1606,7,62,28,9,83,1019.0171214,1019.0171214,0.0,1045.4865253,2035,8,78,29,9,86,1045.4865253,1045.4865253,0.0,850,NT,False,False,False,1.0,False,0.88,False,0.62,False,0.78,0,True,True,False,2021
POA0854,0854,651.53016986,10,1,1,3,1,9,291.7477557,878.1563935,0.0,760.53837816,10,1,1,2,1,6,541.51786012,902.89749773,0.0,647.16339916,13,1,1,3,1,9,459.17965723,789.24345777,0.0,849.82336643,64,1,3,2,1,6,701.56716884,969.89773115,0.0,755,NT,False,False,False,0.01,False,0.01,False,0.01,False,0.03,0,True,True,False,2021
POA0860,0860,790.68684668,42,1,2,4,2,12,218.65251225,964.83326464,0.0681818182,867.31407236,127,1,5,9,3,27,538.65530723,967.53933833,0.0681818182,775.24065241,28,1,2,5,2,15,417.18116139,1000.3121883,0.0681818182,953.53014807,1098,5,42,15,5,45,676.68344981,1042.6007822,0.0681818182,3080,NT,False,False,False,0.02,False,0.05,False,0.02,False,0.42,0,True,True,False,2021
POA0862,0862,805.8663961,55,1,3,7,3,21,685.04396979,911.97913238,0.0293706294,833.66580794,56,1,3,4,2,12,768.83098421,892.696604,0.0293706294,831.7989988,50,1,2,7,3,21,728.90239048,932.81411703,0.0293706294,871.93030624,156,1,6,5,2,15,820.4715216,1118.7133611,0.0,715,NT,False,False,False,0.03,False,0.03,False,0.02,False,0.06,0,True,True,False,2021
POA0870,0870,999.27370738,1267,5,49,22,7,65,520.40188256,1131.4789256,0.0031463547,1007.4163244,1705,7,65,23,7,68,684.87283031,1139.7360924,0.0031463547,953.4886843,532,3,21,18,6,53,535.84421931,1109.5376797,0.0031463547,1020.3749057,1861,8,71,27,8,80,866.00132059,1169.9864863,0.0031463547,20341,NT,False,False,False,0.49,False,0.65,False,0.21,False,0.71,0,True,True,False,2021
POA0872,0872,559.53758967,4,1,1,,,,203.55197165,1087.0355447,0.0788377437,730.13801775,5,1,1,,,,497.30357233,1040.5286097,0.0788377437,586.04718056,4,1,1,,,,347.39606792,1108.1770204,0.0732503902,874.85806167,176,1,7,,,,670.8564984,1057.9522991,0.0725008672,14676,Cross Border,False,True,False,0.01,False,0.01,False,0.01,False,0.07,0,True,True,False,2021
POA0873,0873,917.86859798,319,2,13,10,3,30,387.24303186,1082.131714,0.0457184325,954.95468497,982,4,38,14,5,42,633.05521855,1082.4272588,0.0457184325,939.62089008,373,2,15,17,6,51,538.31421833,1115.0191057,0.0457184325,956.36403132,1137,5,44,16,5,48,732.25873014,1045.0639493,0.0457184325,2756,NT,False,False,False,0.13,False,0.38,False,0.15,False,0.44,0,True,True,False,2021
POA0874,0874,1120.2407782,2613,10,100,32,10,95,1110.4663164,1147.2048105,0.0198555957,1117.224304,2486,10,95,33,10,98,1096.1825806,1175.2704375,0.0198555957,990.11837454,1110,5,43,23,7,68,963.72889246,1062.9169458,0.0198555957,1113.5632609,2404,10,92,33,10,98,1097.5990604,1157.6024345,0.0198555957,554,NT,False,False,False,1.0,False,0.95,False,0.43,False,0.92,0,True,True,False,2021
POA0875,0875,945.21515434,529,3,21,13,4,39,821.85495221,1030.7987656,0.0467365028,963.12438798,1101,5,42,16,5,48,864.29038026,1036.2210128,0.0467365028,934.16224513,316,2,13,16,5,48,809.69863077,1016.2380589,0.0467365028,978.34017133,1414,6,54,20,6,59,897.49863706,1024.1990442,0.0467365028,2482,NT,False,False,False,0.21,False,0.42,False,0.13,False,0.54,0,True,True,False,2021
POA0880,0880,928.47404823,374,2,15,12,4,36,543.04025623,1132.915545,0.0171302552,950.91308218,924,4,36,13,4,39,720.28223912,1105.706874,0.0171302552,848.43870402,59,1,3,8,3,24,556.0625234,1022.3807965,0.0171302552,984.9512001,1491,6,57,23,7,68,749.75750333,1100.82812,0.0107005855,4953,NT,False,False,False,0.15,False,0.36,False,0.03,False,0.57,0,True,True,False,2021
POA0885,0885,1110.8187712,2585,10,99,31,10,92,670.61452202,1143.0781184,0.0,1071.7925306,2247,9,86,29,9,86,775.71037382,1102.8809393,0.0,994.73897155,1192,5,46,26,8,77,642.86389084,1004.758577,0.0,1021.3175639,1868,8,72,28,9,83,852.23834009,1079.8322727,0.0,751,NT,False,False,False,0.99,False,0.86,False,0.46,False,0.72,0,True,True,False,2021
POA0886,0886,985.96197046,1050,5,41,19,6,56,657.49357159,1085.1088039,0.0,979.39927404,1326,6,51,19,6,56,759.07798602,1045.9333513,0.0,886.34772251,114,1,5,11,4,33,704.51153317,937.11509244,0.0,1004.7329163,1697,7,65,26,8,77,935.84600913,1048.1335475,0.0,755,NT,False,False,False,0.41,False,0.51,False,0.05,False,0.65,0,True,True,False,2021
POA2000,2000,973.06540457,865,4,33,214,4,36,807.08720268,1167.4415315,0.0045461054,1106.9733263,2437,10,93,508,9,84,995.18618553,1234.5495106,0.0045461054,804.15637701,37,1,2,5,1,1,616.87331661,1106.9057087,0.0045461054,1142.2714534,2503,10,96,543,9,90,1037.4183364,1233.4068415,0.0045461054,27936,NSW,False,False,False,0.33,False,0.93,False,0.02,False,0.96,0,True,True,False,2021
POA2007,2007,959.87482981,685,3,27,170,3,29,819.20165183,1092.8254563,0.0748987854,1073.7919125,2258,9,87,467,8,77,971.78779547,1170.7139412,0.0748987854,790.51830532,32,1,2,3,1,1,653.55050254,941.02875453,0.0748987854,1139.2299071,2495,10,95,541,9,89,1047.5803995,1207.7005064,0.0748987854,7410,NSW,False,False,False,0.27,False,0.87,False,0.02,False,0.95,0,True,True,False,2021
POA2008,2008,1022.6977528,1620,7,62,394,7,65,922.54044692,1124.4874071,0.0366346154,1132.1291391,2534,10,97,545,9,90,1048.305959,1201.1385042,0.0366346154,815.96551517,42,1,2,8,1,2,701.18002159,971.5521775,0.0366346154,1191.4264577,2615,10,100,598,10,99,1084.8861145,1239.0992692,0.0366346154,10400,NSW,False,False,False,0.62,False,0.97,False,0.02,False,1.0,0,True,True,False,2021
POA2009,2009,1041.6038579,1890,8,73,430,8,71,665.51925254,1127.4722148,0.0,1127.5674776,2522,10,97,541,9,90,914.25971824,1211.3470558,0.0,918.41346351,218,1,9,44,1,8,589.46102616,1048.2126192,0.0,1154.6583802,2537,10,97,559,10,92,1084.8485625,1228.2006518,0.0,12658,NSW,False,False,False,0.73,False,0.97,False,0.09,False,0.97,0,True,True,False,2021
POA2010,2010,1046.0130411,1949,8,75,442,8,73,513.34303747,1146.6010732,0.0001512688,1144.5815529,2565,10,98,561,10,93,690.10657812,1247.7599536,0.0001512688,888.37296036,118,1,5,24,1,4,517.59701533,1031.9321654,0.0001512688,1168.2944766,2578,10,99,572,10,95,803.64531732,1254.3155906,0.0001512688,26443,NSW,False,False,False,0.75,False,0.98,False,0.05,False,0.99,0,True,True,False,2021
POA2011,2011,1050.4773876,2027,8,78,455,8,75,642.35595847,1123.6795183,0.0315610051,1134.2486111,2540,10,97,547,10,91,794.67682846,1211.9655443,0.0315610051,873.07121748,90,1,4,19,1,4,585.67196748,1027.1613676,0.0315610051,1168.7292014,2579,10,99,573,10,95,998.73667157,1217.6662832,0.0315610051,18187,NSW,False,False,False,0.78,False,0.97,False,0.04,False,0.99,0,True,True,False,2021
POA2015,2015,1094.4321121,2492,10,95,549,10,91,846.64773473,1150.6680428,0.0007879531,1164.5650373,2600,10,100,585,10,97,864.12325123,1203.399552,0.0007879531,983.83682962,1004,4,39,241,4,40,688.88353536,1076.245156,0.0007879531,1173.760689,2591,10,99,579,10,96,917.19900518,1268.774454,0.0007879531,11422,NSW,False,False,False,0.95,False,1.0,False,0.39,False,0.99,0,True,True,False,2021
POA2016,2016,984.53725337,1023,4,39,251,5,42,398.13930901,1119.2380461,0.0,1084.7634911,2324,9,89,483,8,80,592.16722808,1191.9778736,0.0,879.37725835,100,1,4,21,1,4,457.01253467,1003.484939,0.0,1116.5173277,2421,10,93,531,9,88,705.08330179,1214.9386485,0.0,13072,NSW,False,False,False,0.39,False,0.89,False,0.04,False,0.93,0,True,True,False,2021
POA2017,2017,1013.5670148,1497,6,58,360,6,60,388.63090452,1139.3157839,0.0,1110.241587,2452,10,94,511,9,85,595.13044233,1216.8210095,0.0,870.44848968,86,1,4,17,1,3,475.24394447,1019.4584654,0.0,1138.4202736,2491,10,95,539,9,89,678.36452754,1239.8053779,0.0,29003,NSW,False,False,False,0.58,False,0.94,False,0.04,False,0.95,0,True,True,False,2021
POA2018,2018,1014.3745283,1511,6,58,363,6,60,448.40928895,1143.9254575,0.0,1064.3779226,2199,9,84,456,8,76,614.55472457,1211.0636724,0.0,950.78706751,494,2,19,123,3,21,499.95897404,1084.0554885,0.0,1074.944625,2207,9,84,470,8,78,671.56261263,1234.5452458,0.0,19878,NSW,False,False,False,0.58,False,0.84,False,0.19,False,0.84,0,True,True,False,2021
POA2019,2019,1054.4231503,2066,8,79,462,8,77,967.10383482,1127.0414519,0.0020791565,1084.3535203,2321,9,89,481,8,80,983.54755255,1171.3221492,0.0020791565,1026.6310608,1718,7,66,412,7,68,913.82403252,1111.6866663,0.0020791565,1063.9255644,2155,9,83,451,8,75,954.82739709,1174.5130649,0.0020791565,13467,NSW,False,False,False,0.79,False,0.89,False,0.66,False,0.83,0,True,True,False,2021
POA2020,2020,1032.9407029,1783,7,68,418,7,69,948.32672539,1106.4098433,0.0008799963,1096.5227295,2392,10,92,498,9,83,979.15117285,1166.8859207,0.0008799963,936.89925891,350,2,14,81,2,14,820.97510007,1135.1516926,0.0008799963,1092.7493785,2314,9,89,496,9,82,968.06205687,1191.103617,0.0008799963,21591,NSW,False,False,False,0.68,False,0.92,False,0.14,False,0.89,0,True,True,False,2021
POA2021,2021,1099.640721,2520,10,97,560,10,93,1048.5429933,1206.6736156,0.0030777466,1172.8283077,2616,10,100,598,10,99,1090.9438823,1222.3156641,0.0030777466,1002.0127012,1313,6,51,328,6,55,860.08679666,1175.8938069,0.0030777466,1195.8447415,2621,10,100,603,10,100,1094.1792362,1257.9776176,0.0030777466,14946,NSW,False,False,False,0.97,False,1.0,False,0.51,False,1.0,0,True,True,False,2021
POA2022,2022,1077.2049605,2353,9,90,514,9,85,1038.7464836,1138.3802261,0.0,1148.9897947,2571,10,98,563,10,93,1103.8269206,1211.6573737,0.0,980.77181105,943,4,36,223,4,37,875.12703223,1136.2262332,0.0,1157.4593322,2546,10,97,561,10,93,1088.2751285,1228.181507,0.0,13509,NSW,False,False,False,0.9,False,0.98,False,0.36,False,0.97,0,True,True,False,2021
POA2023,2023,1119.5907549,2612,10,100,602,10,100,1068.160592,1161.5267078,0.0,1181.423028,2622,10,100,604,10,100,1139.612685,1225.3999333,0.0,1078.4613488,2337,9,90,523,9,87,941.96126188,1199.9014147,0.0,1193.7607956,2617,10,100,600,10,99,1149.625196,1234.215658,0.0,10590,NSW,False,False,False,1.0,False,1.0,False,0.9,False,1.0,0,True,True,False,2021
POA2024,2024,1107.6287912,2572,10,98,583,10,97,1023.0776074,1159.1390831,0.0,1174.6466054,2617,10,100,599,10,99,1096.164529,1218.3464873,0.0,1053.8778121,2107,9,81,483,8,80,890.93619999,1187.8773773,0.0,1180.554509,2602,10,100,587,10,97,1124.8757931,1223.3024025,0.0,11380,NSW,False,False,False,0.98,False,1.0,False,0.81,False,1.0,0,True,True,False,2021
POA2025,2025,1107.70223,2573,10,99,584,10,97,1015.3825934,1151.0459395,0.0,1178.5296732,2620,10,100,602,10,100,1087.9268015,1218.1957572,0.0,1037.1890668,1865,8,72,441,8,73,902.95389093,1145.1463053,0.0,1200.2749175,2625,10,100,607,10,100,1154.0883688,1229.6417564,0.0,7189,NSW,False,False,False,0.99,False,1.0,False,0.72,False,1.0,0,True,True,False,2021
POA2026,2026,1090.9102675,2468,10,95,544,9,90,978.78736912,1159.1390831,0.0001529379,1165.9686963,2604,10,100,588,10,97,1063.6184713,1216.488362,0.0001529379,984.05879294,1009,4,39,244,5,41,856.18115693,1183.3235974,0.0001529379,1170.9063892,2585,10,99,575,10,95,1086.174927,1225.5198058,0.0001529379,32693,NSW,False,False,False,0.95,False,1.0,False,0.39,False,0.99,0,True,True,False,2021
POA2027,2027,1104.5988385,2559,10,98,577,10,96,1015.3825934,1134.1580807,0.0,1168.6895006,2606,10,100,590,10,98,1087.9268015,1194.7303418,0.0,1004.2783742,1352,6,52,339,6,56,861.47887798,1079.5313621,0.0,1195.9424864,2622,10,100,604,10,100,1170.0177238,1236.9848902,0.0,7810,NSW,False,False,False,0.98,False,1.0,False,0.52,False,1.0,0,True,True,False,2021
POA2028,2028,1100.2701556,2526,10,97,563,10,93,1041.0674106,1111.1309451,0.0,1170.0565861,2610,10,100,593,10,98,1135.2802837,1192.2814272,0.0,992.40583302,1149,5,44,285,5,47,861.47887798,1101.3201541,0.0,1189.5506804,2613,10,100,596,10,99,1157.3396278,1206.7473598,0.0,4709,NSW,False,False,False,0.97,False,1.0,False,0.44,False,1.0,0,True,True,False,2021
POA2029,2029,1096.0536921,2505,10,96,555,10,92,1029.1123005,1153.6520376,0.0015134699,1157.0240099,2584,10,99,572,10,95,1076.4304164,1225.3999333,0.0015134699,1027.652227,1733,7,67,414,7,69,940.78378793,1189.4173423,0.0015134699,1171.5467541,2586,10,99,576,10,95,1104.7880474,1226.7261813,0.0015134699,9911,NSW,False,False,False,0.96,False,0.99,False,0.67,False,0.99,0,True,True,False,2021
POA2030,2030,1113.9523327,2596,10,99,597,10,99,1058.616713,1161.6006368,0.003602605,1175.3414276,2618,10,100,600,10,99,1110.5570726,1227.4127291,0.003602605,1110.775545,2538,10,97,569,10,94,971.86481358,1217.8171228,0.003602605,1181.0964057,2605,10,100,589,10,97,1125.7905544,1234.0449365,0.0,14434,NSW,False,False,False,0.99,False,1.0,False,0.97,False,1.0,0,True,True,False,2021
POA2031,2031,1094.8737872,2495,10,96,551,10,91,1014.9806736,1151.569282,0.0117055868,1154.6511403,2578,10,99,567,10,94,1083.7136872,1211.5278456,0.0117055868,1005.5084535,1368,6,53,347,6,58,813.56699221,1199.1554897,0.0117055868,1163.9047064,2568,10,98,569,10,94,1103.5489816,1218.2626933,0.0117055868,33830,NSW,False,False,False,0.96,False,0.99,False,0.53,False,0.98,0,True,True,False,2021
POA2032,2032,1006.2853678,1377,6,53,331,6,55,605.76188731,1104.1799879,0.0,1067.4534873,2218,9,85,461,8,76,742.6285311,1146.0975482,0.0,921.44700789,235,1,9,47,1,8,604.87181525,1119.4678702,0.0,1105.4779085,2356,9,90,509,9,84,886.43529745,1170.7126746,0.0,14643,NSW,False,False,False,0.53,False,0.85,False,0.09,False,0.9,0,True,True,False,2021
POA2033,2033,1071.4464439,2294,9,88,506,9,84,1004.1374103,1147.9892781,0.101115117,1121.8707932,2497,10,96,530,9,88,1065.2221615,1196.9676633,0.101115117,969.47430863,745,3,29,171,3,29,794.23274682,1159.4540587,0.101115117,1145.4911488,2514,10,96,549,10,91,1079.3601951,1188.3512641,0.101115117,11927,NSW,False,False,False,0.88,False,0.96,False,0.29,False,0.96,0,True,True,False,2021
POA2034,2034,1077.8979842,2359,9,90,515,9,85,476.18006819,1156.0372505,0.0,1144.5064604,2564,10,98,560,10,93,612.5383054,1215.6277499,0.0,997.4169914,1232,5,47,305,6,51,522.05373066,1203.7135233,0.0,1150.2814834,2530,10,97,555,10,92,788.11436616,1215.366622,0.0,20249,NSW,False,False,False,0.9,False,0.98,False,0.47,False,0.97,0,True,True,False,2021
POA2035,2035,1038.1652161,1844,8,71,425,8,71,384.58780963,1131.7141589,0.0002023004,1087.8990154,2342,9,90,488,9,81,557.49773933,1183.7758968,0.0002023004,999.58337858,1275,5,49,316,6,53,513.06451716,1157.9711202,0.0002023004,1098.8029502,2339,9,90,503,9,83,702.20321216,1182.7749001,0.0002023004,34602,NSW,False,False,False,0.71,False,0.9,False,0.49,False,0.9,0,True,True,False,2021
