field,source,definition,unit
seifa_cross_state_boundary,ABS index tables,POA crosses a state or territory boundary,boolean
seifa_irsd_excluded,ABS Index of Relative Socio-economic Disadvantage table,ABS did not publish this index score for the POA,boolean
seifa_irsd_national_percentile_scaled,seifa_irsd_national_percentile / 100,National percentile divided by 100; higher means less disadvantage / more advantage,proportion 0-1
seifa_irsad_excluded,ABS Index of Relative Socio-economic Advantage and Disadvantage table,ABS did not publish this index score for the POA,boolean
seifa_irsad_national_percentile_scaled,seifa_irsad_national_percentile / 100,National percentile divided by 100; higher means less disadvantage / more advantage,proportion 0-1
seifa_ier_excluded,ABS Index of Economic Resources table,ABS did not publish this index score for the POA,boolean
seifa_ier_national_percentile_scaled,seifa_ier_national_percentile / 100,National percentile divided by 100; higher means less disadvantage / more advantage,proportion 0-1
seifa_ieo_excluded,ABS Index of Education and Occupation table,ABS did not publish this index score for the POA,boolean
seifa_ieo_national_percentile_scaled,seifa_ieo_national_percentile / 100,National percentile divided by 100; higher means less disadvantage / more advantage,proportion 0-1
seifa_score_missing_count,derived,Number of the four SEIFA index scores unavailable,count 0-4
seifa_any_score_available,derived,At least one SEIFA index score is available,boolean
seifa_all_scores_available,derived,All four SEIFA index scores are available,boolean
seifa_any_index_excluded,Table 6,ABS excluded at least one index for this POA,boolean
seifa_source_year,constant 2021,SEIFA reference year,year
