poa_code,postcode,census_population,census_age_20_24,census_age_25_34,census_age_35_44,census_median_age,census_median_household_income_weekly,census_avg_household_size,census_couple_no_children_families,census_couple_with_children_families,census_single_parent_families,census_other_families,census_total_families,census_households_all,census_households_weekly_income_3000_3499,census_households_weekly_income_3500_3999,census_households_weekly_income_4000_plus,census_population_15plus_g43,census_unemployment_rate_published_pct,census_labour_force_participation_rate_published_pct,census_bachelor_degree_count,census_employed_persons,census_unemployed_persons,census_labour_force,census_not_in_labour_force,census_labour_status_not_stated,census_population_15plus,census_family_households,census_lone_person_households,census_group_households,census_total_households,census_source_year,census_couple_families,census_age_20_44_count,census_households_weekly_income_3000_plus_count,census_employment_to_population_ratio,census_unemployment_rate,census_labour_force_participation_rate,census_couple_no_children_family_share,census_couple_with_children_family_share,census_couple_family_share,census_single_parent_family_share,census_family_household_share,census_lone_person_household_share,census_group_household_share,census_age_20_44_share,census_households_weekly_income_3000_plus_share,census_bachelor_degree_share,census_unemployment_rate_derived_pct,census_labour_force_participation_rate_derived_pct,census_small_population,census_small_labour_force,census_small_families,census_small_households,census_nonpositive_household_income,census_zero_population,census_any_feature_missing,census_ratio_quality_issue
POA0835,0835,3153.0,151.0,346.0,411.0,43.0,2560.0,2.9,362.0,401.0,91.0,5.0,867.0,1016.0,85.0,69.0,210.0,2596.0,3.8,68.4,270.0,1707.0,66.0,1773.0,620.0,200.0,2596.0,819.0,161.0,35.0,1016.0,2021,763.0,908.0,364.0,0.6575500770416025,0.03722504230118443,0.6829738058551618,0.41753171856978083,0.46251441753171857,0.8800461361014994,0.104959630911188,0.8061023622047244,0.15846456692913385,0.0344488188976378,0.28797970187123373,0.35826771653543305,0.10400616332819723,3.7225042301184432,68.29738058551618,False,False,False,False,False,False,False,False
POA0836,0836,7597.0,363.0,869.0,1106.0,39.0,2593.0,3.0,773.0,986.0,241.0,13.0,2011.0,2369.0,210.0,167.0,480.0,5984.0,3.2,71.4,488.0,4139.0,136.0,4276.0,1201.0,513.0,5984.0,1910.0,386.0,80.0,2369.0,2021,1759.0,2338.0,857.0,0.691677807486631,0.031805425631431246,0.714572192513369,0.3843858776727996,0.4903033316757832,0.8746892093485827,0.11984087518647439,0.8062473617560152,0.16293794850147741,0.03376952300548755,0.3077530604185863,0.36175601519628536,0.08155080213903744,3.1805425631431246,71.4572192513369,False,False,False,False,False,False,False,False
POA0837,0837,489.0,17.0,56.0,83.0,43.0,1419.0,2.5,43.0,42.0,20.0,0.0,108.0,146.0,12.0,4.0,12.0,406.0,1.0,48.3,25.0,192.0,0.0,194.0,113.0,96.0,406.0,101.0,46.0,0.0,146.0,2021,85.0,156.0,28.0,0.4729064039408867,0.0,0.47783251231527096,0.39814814814814814,0.3888888888888889,0.7870370370370371,0.18518518518518517,0.6917808219178082,0.3150684931506849,0.0,0.31901840490797545,0.1917808219178082,0.06157635467980296,0.0,47.783251231527096,False,False,False,False,False,False,False,False
POA0838,0838,870.0,33.0,107.0,140.0,38.0,2183.0,2.8,86.0,105.0,22.0,0.0,211.0,269.0,28.0,13.0,36.0,667.0,4.1,62.0,31.0,399.0,14.0,415.0,157.0,103.0,667.0,202.0,55.0,3.0,269.0,2021,191.0,280.0,77.0,0.5982008995502249,0.033734939759036145,0.6221889055472264,0.4075829383886256,0.4976303317535545,0.9052132701421801,0.10426540284360189,0.7509293680297398,0.20446096654275092,0.011152416356877323,0.3218390804597701,0.2862453531598513,0.046476761619190406,3.3734939759036147,62.21889055472264,False,False,False,False,False,False,False,False
POA0839,0839,510.0,56.0,143.0,45.0,31.0,1426.0,1.9,58.0,32.0,32.0,8.0,122.0,218.0,3.0,3.0,4.0,420.0,5.2,64.0,33.0,253.0,12.0,273.0,83.0,70.0,420.0,127.0,88.0,4.0,218.0,2021,90.0,244.0,10.0,0.6023809523809524,0.04395604395604396,0.65,0.47540983606557374,0.26229508196721313,0.7377049180327869,0.26229508196721313,0.5825688073394495,0.4036697247706422,0.01834862385321101,0.47843137254901963,0.045871559633027525,0.07857142857142857,4.395604395604396,65.0,False,False,False,False,False,False,False,False
POA0840,0840,457.0,0.0,7.0,39.0,60.0,806.0,1.9,90.0,13.0,9.0,0.0,117.0,192.0,3.0,0.0,6.0,418.0,11.7,30.5,16.0,114.0,15.0,126.0,226.0,67.0,418.0,115.0,71.0,8.0,192.0,2021,103.0,46.0,9.0,0.2727272727272727,0.11904761904761904,0.3014354066985646,0.7692307692307693,0.1111111111111111,0.8803418803418803,0.07692307692307693,0.5989583333333334,0.3697916666666667,0.041666666666666664,0.10065645514223195,0.046875,0.03827751196172249,11.904761904761903,30.14354066985646,False,False,False,False,False,False,False,False
POA0841,0841,627.0,24.0,46.0,80.0,47.0,1550.0,2.4,72.0,57.0,18.0,0.0,141.0,212.0,12.0,16.0,21.0,522.0,4.9,54.3,33.0,271.0,14.0,281.0,144.0,94.0,522.0,135.0,69.0,9.0,212.0,2021,129.0,150.0,49.0,0.5191570881226054,0.0498220640569395,0.5383141762452107,0.5106382978723404,0.40425531914893614,0.9148936170212766,0.1276595744680851,0.6367924528301887,0.32547169811320753,0.04245283018867924,0.23923444976076555,0.23113207547169812,0.06321839080459771,4.98220640569395,53.83141762452107,False,False,False,False,False,False,False,False
POA0845,0845,396.0,14.0,37.0,46.0,45.0,900.0,2.0,27.0,17.0,28.0,0.0,68.0,143.0,0.0,0.0,0.0,321.0,11.8,42.9,26.0,119.0,16.0,136.0,103.0,74.0,321.0,70.0,66.0,13.0,143.0,2021,44.0,97.0,0.0,0.3707165109034268,0.11764705882352941,0.4236760124610592,0.39705882352941174,0.25,0.6470588235294118,0.4117647058823529,0.48951048951048953,0.46153846153846156,0.09090909090909091,0.24494949494949494,0.0,0.08099688473520249,11.76470588235294,42.36760124610592,False,False,False,False,False,False,False,False
POA0846,0846,317.0,11.0,41.0,21.0,52.0,992.0,2.2,39.0,17.0,9.0,4.0,71.0,109.0,7.0,0.0,5.0,259.0,6.5,41.4,6.0,100.0,4.0,108.0,92.0,62.0,259.0,69.0,37.0,9.0,109.0,2021,56.0,73.0,12.0,0.3861003861003861,0.037037037037037035,0.416988416988417,0.5492957746478874,0.23943661971830985,0.7887323943661971,0.1267605633802817,0.6330275229357798,0.3394495412844037,0.08256880733944955,0.2302839116719243,0.11009174311926606,0.023166023166023165,3.7037037037037033,41.6988416988417,False,False,False,False,False,False,False,False
POA0847,0847,318.0,19.0,46.0,24.0,36.0,1125.0,2.5,22.0,22.0,15.0,0.0,57.0,91.0,4.0,5.0,6.0,260.0,4.0,38.8,3.0,94.0,5.0,98.0,119.0,41.0,260.0,50.0,35.0,6.0,91.0,2021,44.0,89.0,15.0,0.36153846153846153,0.05102040816326531,0.3769230769230769,0.38596491228070173,0.38596491228070173,0.7719298245614035,0.2631578947368421,0.5494505494505495,0.38461538461538464,0.06593406593406594,0.279874213836478,0.16483516483516483,0.011538461538461539,5.1020408163265305,37.69230769230769,False,False,False,False,False,False,False,False
POA0850,0850,7873.0,529.0,1441.0,1091.0,33.0,2027.0,2.7,678.0,711.0,334.0,34.0,1755.0,2438.0,194.0,123.0,276.0,6142.0,4.3,61.2,717.0,3597.0,162.0,3761.0,1389.0,995.0,6142.0,1673.0,612.0,152.0,2438.0,2021,1389.0,3061.0,593.0,0.585639856724194,0.04307365062483382,0.6123412569195702,0.38632478632478634,0.40512820512820513,0.7914529914529914,0.1903133903133903,0.6862182116488925,0.25102543068088595,0.062346185397867106,0.38879715483297345,0.2432321575061526,0.1167372191468577,4.307365062483382,61.23412569195702,False,False,False,False,False,False,False,False
POA0852,0852,8735.0,901.0,1531.0,1129.0,28.0,1331.0,4.0,444.0,801.0,451.0,42.0,1735.0,1585.0,66.0,39.0,63.0,6574.0,15.3,38.7,292.0,2150.0,388.0,2544.0,3110.0,922.0,6574.0,1220.0,323.0,45.0,1585.0,2021,1245.0,3561.0,168.0,0.32704593854578645,0.15251572327044025,0.3869790082141771,0.2559077809798271,0.461671469740634,0.7175792507204611,0.25994236311239194,0.7697160883280757,0.20378548895899054,0.028391167192429023,0.40767029192902116,0.10599369085173502,0.044417401886218434,15.251572327044025,38.697900821417704,False,False,False,False,False,False,False,False
POA0853,0853,850.0,88.0,261.0,162.0,29.0,2865.0,3.1,72.0,107.0,5.0,0.0,192.0,200.0,35.0,23.0,20.0,619.0,0.9,85.3,86.0,520.0,9.0,531.0,24.0,69.0,619.0,185.0,18.0,0.0,200.0,2021,179.0,511.0,78.0,0.840064620355412,0.01694915254237288,0.8578352180936996,0.375,0.5572916666666666,0.9322916666666666,0.026041666666666668,0.925,0.09,0.0,0.6011764705882353,0.39,0.13893376413570274,1.694915254237288,85.78352180936996,False,False,False,False,False,False,False,False
POA0854,0854,755.0,63.0,108.0,93.0,32.0,1301.0,3.5,49.0,69.0,59.0,6.0,182.0,184.0,6.0,4.0,7.0,572.0,6.6,39.5,33.0,211.0,15.0,226.0,295.0,50.0,572.0,143.0,42.0,5.0,184.0,2021,118.0,264.0,17.0,0.3688811188811189,0.06637168141592921,0.3951048951048951,0.2692307692307692,0.3791208791208791,0.6483516483516484,0.3241758241758242,0.7771739130434783,0.22826086956521738,0.02717391304347826,0.34966887417218545,0.09239130434782608,0.057692307692307696,6.637168141592921,39.51048951048951,False,False,False,False,False,False,False,False
POA0860,0860,3080.0,185.0,571.0,407.0,33.0,1677.0,2.7,209.0,251.0,185.0,22.0,662.0,943.0,52.0,27.0,76.0,2403.0,8.8,51.4,221.0,1131.0,107.0,1233.0,928.0,237.0,2403.0,571.0,331.0,44.0,943.0,2021,460.0,1163.0,155.0,0.4706616729088639,0.0867802108678021,0.5131086142322098,0.3157099697885196,0.37915407854984895,0.6948640483383686,0.2794561933534743,0.6055143160127253,0.35100742311770944,0.04665959703075292,0.3775974025974026,0.16436903499469777,0.09196837286724927,8.67802108678021,51.31086142322098,False,False,False,False,False,False,False,False
POA0862,0862,715.0,99.0,145.0,84.0,28.0,1375.0,3.1,45.0,46.0,43.0,0.0,130.0,147.0,6.0,0.0,3.0,573.0,0.3,56.2,33.0,316.0,0.0,322.0,184.0,65.0,573.0,107.0,39.0,0.0,147.0,2021,91.0,328.0,9.0,0.5514834205933682,0.0,0.5619546247818499,0.34615384615384615,0.35384615384615387,0.7,0.33076923076923076,0.7278911564625851,0.2653061224489796,0.0,0.45874125874125876,0.061224489795918366,0.05759162303664921,0.0,56.195462478184986,False,False,False,False,False,False,False,False
POA0870,0870,20341.0,1005.0,3998.0,3235.0,34.0,2174.0,2.6,1772.0,2129.0,911.0,100.0,4910.0,7028.0,602.0,362.0,1018.0,16097.0,3.6,71.2,2916.0,11043.0,416.0,11456.0,3551.0,1090.0,16097.0,4723.0,1869.0,431.0,7028.0,2021,3901.0,8238.0,1982.0,0.6860284525066782,0.036312849162011177,0.7116854072187364,0.3608961303462322,0.4336048879837067,0.7945010183299389,0.1855397148676171,0.6720261809903244,0.26593625498007967,0.06132612407512806,0.4049948380118972,0.28201479795105294,0.1811517674100764,3.6312849162011176,71.16854072187364,False,False,False,False,False,False,False,False
POA0872,0872,14676.0,1311.0,2833.0,2157.0,29.0,1213.0,3.6,818.0,1322.0,857.0,134.0,3126.0,3228.0,96.0,42.0,73.0,11263.0,17.8,36.6,529.0,3399.0,729.0,4131.0,5987.0,1150.0,11263.0,2317.0,854.0,53.0,3228.0,2021,2140.0,6301.0,211.0,0.30178460445707184,0.17647058823529413,0.36677616975938915,0.2616762635956494,0.4229046705054383,0.6845809341010877,0.2741522712731926,0.7177819083023544,0.2645600991325898,0.01641883519206939,0.42934041973289727,0.06536555142503098,0.046967948148805824,17.647058823529413,36.67761697593892,False,False,False,False,False,False,False,False
POA0873,0873,2756.0,118.0,402.0,339.0,40.0,1783.0,2.6,238.0,242.0,127.0,11.0,615.0,829.0,62.0,35.0,113.0,2259.0,1.6,52.4,253.0,1165.0,19.0,1184.0,815.0,263.0,2259.0,586.0,228.0,26.0,829.0,2021,480.0,859.0,210.0,0.5157149181053563,0.016047297297297296,0.5241257193448429,0.38699186991869916,0.3934959349593496,0.7804878048780488,0.20650406504065041,0.706875753920386,0.2750301568154403,0.031363088057901084,0.31168359941944845,0.25331724969843183,0.11199645861000443,1.6047297297297296,52.41257193448428,False,False,False,False,False,False,False,False
POA0874,0874,554.0,28.0,130.0,93.0,35.0,2221.0,2.2,62.0,65.0,5.0,4.0,125.0,229.0,16.0,10.0,46.0,451.0,1.6,80.5,108.0,357.0,9.0,366.0,63.0,31.0,451.0,129.0,96.0,3.0,229.0,2021,127.0,251.0,72.0,0.7915742793791575,0.02459016393442623,0.811529933481153,0.496,0.52,,0.04,0.5633187772925764,0.4192139737991266,0.013100436681222707,0.45306859205776173,0.314410480349345,0.2394678492239468,2.459016393442623,81.1529933481153,False,False,False,False,False,False,True,True
POA0875,0875,2482.0,141.0,385.0,387.0,33.0,2032.0,2.7,194.0,267.0,144.0,14.0,621.0,855.0,62.0,42.0,102.0,1867.0,4.7,66.2,216.0,1177.0,56.0,1237.0,517.0,108.0,1867.0,589.0,221.0,43.0,855.0,2021,461.0,913.0,206.0,0.6304231387252276,0.04527081649151172,0.662560257096947,0.31239935587761675,0.42995169082125606,0.7423510466988728,0.2318840579710145,0.6888888888888889,0.2584795321637427,0.050292397660818715,0.3678485092667204,0.2409356725146199,0.1156936261381896,4.527081649151172,66.2560257096947,False,False,False,False,False,False,False,False
POA0880,0880,4953.0,278.0,852.0,907.0,32.0,2406.0,3.3,269.0,554.0,190.0,23.0,1034.0,1159.0,119.0,85.0,178.0,3704.0,4.4,54.3,374.0,1923.0,87.0,2008.0,1102.0,595.0,3704.0,903.0,226.0,29.0,1159.0,2021,823.0,2037.0,382.0,0.5191684665226782,0.04332669322709164,0.5421166306695464,0.2601547388781431,0.5357833655705996,0.7959381044487428,0.18375241779497098,0.7791199309749784,0.19499568593615185,0.025021570319240724,0.41126589945487585,0.32959447799827435,0.1009719222462203,4.3326693227091635,54.21166306695464,False,False,False,False,False,False,False,False
POA0885,0885,751.0,14.0,107.0,167.0,34.0,3333.0,2.8,50.0,102.0,11.0,0.0,161.0,216.0,33.0,14.0,62.0,501.0,0.8,76.3,84.0,382.0,5.0,381.0,32.0,90.0,501.0,161.0,55.0,3.0,216.0,2021,152.0,288.0,109.0,0.7624750499001997,0.013123359580052493,0.7604790419161677,0.3105590062111801,0.6335403726708074,0.9440993788819876,0.06832298136645963,0.7453703703703703,0.25462962962962965,0.013888888888888888,0.38348868175765644,0.5046296296296297,0.16766467065868262,1.3123359580052494,76.04790419161677,False,False,False,False,False,False,False,False
POA0886,0886,755.0,37.0,137.0,114.0,34.0,2090.0,2.3,72.0,59.0,31.0,0.0,166.0,262.0,13.0,16.0,26.0,592.0,2.7,70.3,69.0,405.0,10.0,414.0,93.0,81.0,592.0,159.0,94.0,8.0,262.0,2021,131.0,288.0,55.0,0.6841216216216216,0.024154589371980676,0.6993243243243243,0.43373493975903615,0.35542168674698793,0.7891566265060241,0.18674698795180722,0.6068702290076335,0.35877862595419846,0.030534351145038167,0.38145695364238413,0.2099236641221374,0.11655405405405406,2.4154589371980677,69.93243243243244,False,False,False,False,False,False,False,False
POA2000,2000,27936.0,3429.0,10684.0,5424.0,32.0,2225.0,2.1,4014.0,1059.0,474.0,297.0,5832.0,11492.0,881.0,476.0,2482.0,26520.0,7.2,63.1,8530.0,15520.0,1199.0,16720.0,7619.0,2177.0,26520.0,5716.0,4040.0,1734.0,11492.0,2021,5073.0,19537.0,3839.0,0.5852187028657617,0.07171052631578947,0.6304675716440422,0.6882716049382716,0.1815843621399177,0.8698559670781894,0.08127572016460906,0.4973894883397146,0.35154890358510266,0.15088757396449703,0.699348510882016,0.3340584754611904,0.32164404223227755,7.171052631578948,63.04675716440422,False,False,False,False,False,False,False,False
POA2007,2007,7410.0,1261.0,2654.0,1281.0,30.0,1805.0,2.1,808.0,313.0,149.0,81.0,1349.0,2926.0,197.0,95.0,403.0,6930.0,9.8,63.3,2165.0,3957.0,433.0,4387.0,2032.0,511.0,6930.0,1329.0,1071.0,528.0,2926.0,2021,1121.0,5196.0,695.0,0.570995670995671,0.09870070663323456,0.6330447330447331,0.5989621942179392,0.23202372127501852,0.8309859154929577,0.11045218680504076,0.45420369104579633,0.3660287081339713,0.18045112781954886,0.7012145748987855,0.23752563226247436,0.3124098124098124,9.870070663323457,63.304473304473305,False,False,False,False,False,False,False,False
POA2008,2008,10400.0,2662.0,3861.0,1384.0,28.0,1746.0,1.9,1273.0,289.0,139.0,109.0,1813.0,4564.0,252.0,148.0,687.0,9989.0,9.1,63.9,3450.0,5805.0,577.0,6379.0,2813.0,797.0,9989.0,1801.0,1967.0,791.0,4564.0,2021,1562.0,7907.0,1087.0,0.5811392531784964,0.09045304906725192,0.6386024627089799,0.7021511307225593,0.1594043022614451,0.8615554329840044,0.0766685052399338,0.39460999123575813,0.43098159509202455,0.17331288343558282,0.7602884615384615,0.23816827344434707,0.3453799179097007,9.045304906725192,63.86024627089799,False,False,False,False,False,False,False,False
POA2009,2009,12658.0,708.0,3197.0,2708.0,37.0,2422.0,2.1,1876.0,894.0,394.0,79.0,3241.0,5583.0,451.0,255.0,1525.0,11362.0,5.4,67.1,3673.0,7204.0,413.0,7614.0,2893.0,847.0,11362.0,3203.0,1838.0,538.0,5583.0,2021,2770.0,6613.0,2231.0,0.634043302235522,0.054242185447859206,0.6701284985037845,0.5788336933045356,0.27584078987966676,0.8546744831842024,0.12156741746374576,0.5737058928891277,0.3292136843990686,0.09636396202758374,0.5224364038552693,0.39960594662367904,0.32327055095933815,5.424218544785921,67.01284985037846,False,False,False,False,False,False,False,False
POA2010,2010,26443.0,1987.0,8431.0,5247.0,36.0,2297.0,1.7,3835.0,935.0,412.0,131.0,5307.0,13158.0,892.0,419.0,3689.0,25009.0,4.6,71.7,9068.0,17102.0,832.0,17931.0,5090.0,1988.0,25009.0,5293.0,6427.0,1441.0,13158.0,2021,4770.0,15665.0,5000.0,0.683833819824863,0.04640008923094083,0.7169818865208525,0.7226304880346712,0.1761824006029772,0.8988128886376484,0.07763331449029584,0.40226478188174497,0.48844809241526066,0.10951512387900897,0.5924063079075748,0.3799969600243198,0.362589467791595,4.640008923094083,71.69818865208525,False,False,False,False,False,False,False,False
POA2011,2011,18187.0,998.0,5205.0,3462.0,39.0,2041.0,1.5,2533.0,485.0,314.0,51.0,3385.0,10068.0,618.0,252.0,2347.0,17415.0,5.0,68.0,5856.0,11250.0,597.0,11849.0,3758.0,1807.0,17415.0,3374.0,6107.0,587.0,10068.0,2021,3018.0,9665.0,3217.0,0.6459948320413437,0.05038399864967508,0.6803904679873672,0.748301329394387,0.1432791728212703,0.8915805022156573,0.09276218611521418,0.33512117600317837,0.606575288041319,0.05830353595550258,0.5314235442898774,0.31952721493841874,0.33626184323858743,5.0383998649675075,68.03904679873672,False,False,False,False,False,False,False,False
POA2015,2015,11422.0,727.0,3634.0,2464.0,34.0,2607.0,2.1,1743.0,869.0,280.0,55.0,2952.0,5248.0,439.0,282.0,1535.0,10120.0,3.3,80.5,3689.0,7880.0,269.0,8146.0,1456.0,520.0,10120.0,2929.0,1787.0,536.0,5248.0,2021,2612.0,6825.0,2256.0,0.7786561264822134,0.03302234225386693,0.8049407114624506,0.5904471544715447,0.29437669376693765,0.8848238482384824,0.0948509485094851,0.5581173780487805,0.3405106707317073,0.10213414634146341,0.5975310803712135,0.4298780487804878,0.36452569169960475,3.302234225386693,80.49407114624506,False,False,False,False,False,False,False,False
POA2016,2016,13072.0,1072.0,3578.0,2286.0,36.0,2145.0,1.9,1637.0,676.0,270.0,85.0,2665.0,5889.0,429.0,231.0,1367.0,11997.0,5.8,65.8,3823.0,7428.0,457.0,7891.0,3074.0,1036.0,11997.0,2640.0,2498.0,752.0,5889.0,2021,2313.0,6936.0,2027.0,0.6191547886971743,0.057914079330883286,0.6577477702759023,0.6142589118198875,0.25365853658536586,0.8679174484052533,0.10131332082551595,0.44829342842587877,0.424180675836305,0.12769570385464427,0.5305997552019583,0.3442010528103243,0.31866299908310414,5.791407933088329,65.77477702759023,False,False,False,False,False,False,False,False
