field,source,definition,unit
census_family_household_share,census_family_households / census_total_households,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_lone_person_household_share,census_lone_person_households / census_total_households,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_group_household_share,census_group_households / census_total_households,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_source_year,derived,Census reference year 2021,year
census_couple_families,derived,Couple families with and without children summed,count
census_age_20_44_count,derived,Persons aged 20–44 summed from the three G01 age bands,count
census_households_weekly_income_3000_plus_count,derived,"Households with weekly income AUD 3,000 or more summed from G33 bands",count
census_age_20_44_share,derived,Persons aged 20–44 divided by total population; null for undefined or perturbed ratios,proportion 0-1
census_households_weekly_income_3000_plus_share,derived,"Households with weekly income AUD 3,000 or more divided by all G33 households",proportion 0-1
census_bachelor_degree_share,derived,Bachelor-degree count divided by G43 persons aged 15 years and over,proportion 0-1
census_unemployment_rate_derived_pct,derived,"G46B unemployed persons divided by labour force, multiplied by 100; QA comparison only",percentage points
census_labour_force_participation_rate_derived_pct,derived,"G46B labour force divided by population 15+, multiplied by 100; QA comparison only",percentage points
census_small_population,derived,"Denominator below 30; review flag, not an exclusion rule",boolean
census_small_labour_force,derived,"Denominator below 30; review flag, not an exclusion rule",boolean
census_small_families,derived,"Denominator below 30; review flag, not an exclusion rule",boolean
census_small_households,derived,"Denominator below 30; review flag, not an exclusion rule",boolean
census_nonpositive_household_income,derived,"Reported income is zero or negative; retained for review, not assumed missing",boolean
census_zero_population,derived,Reported population is zero,boolean
census_any_feature_missing,derived,At least one numeric clean feature is unavailable,boolean
census_ratio_quality_issue,derived,"At least one derived ratio falls outside [0,1]",boolean
