census_postcode,census_match_status,consumer_rows
1888,postcode_not_in_census,175
1890,postcode_not_in_census,171
1891,postcode_not_in_census,182
2000,matched,159
2001,postcode_not_in_census,169
2002,postcode_not_in_census,164
2004,postcode_not_in_census,168
2006,postcode_not_in_census,158
2007,matched,158
2008,matched,153
2009,matched,169
2010,matched,153
2011,matched,155
2012,postcode_not_in_census,166
2013,postcode_not_in_census,140
2015,matched,160
2016,matched,158
2017,matched,138
2018,matched,157
2019,matched,156
2020,matched,160
2021,matched,141
2022,matched,155
2023,matched,165
2024,matched,160
2025,matched,158
2026,matched,162
2027,matched,178
2028,matched,157
2029,matched,156
2030,matched,155
2031,matched,162
2032,matched,148
2033,matched,153
2034,matched,178
2035,matched,152
2036,matched,157
2037,matched,151
2038,matched,151
2039,matched,160
2040,matched,152
2041,matched,180
2042,matched,150
2043,matched,149
2044,matched,180
2045,matched,158
2046,matched,160
2047,matched,157
2048,matched,140
2049,matched,159
2050,matched,161
2052,postcode_not_in_census,150
2055,postcode_not_in_census,144
2057,postcode_not_in_census,172
2058,postcode_not_in_census,172
2059,postcode_not_in_census,156
2060,matched,161
2061,matched,174
2062,matched,190
2063,matched,148
2064,matched,149
2065,matched,166
2066,matched,152
2067,matched,136
2068,matched,134
2069,matched,161
2070,matched,157
2071,matched,139
2072,matched,157
2073,matched,142
2074,matched,156
2075,matched,140
2076,matched,119
2077,matched,159
2079,matched,160
2080,matched,138
2081,matched,168
2082,matched,180
2083,matched,142
2084,matched,151
2085,matched,163
2086,matched,155
2087,matched,165
2088,matched,167
2089,matched,135
2090,matched,154
2091,postcode_not_in_census,155
2092,matched,160
2093,matched,170
2094,matched,175
2095,matched,150
2096,matched,184
2097,matched,136
2099,matched,169
2100,matched,146
2101,matched,152
2102,matched,156
2103,matched,153
2104,matched,143
2105,matched,175
2106,matched,158
2107,matched,169
2108,matched,137
2109,postcode_not_in_census,160
2110,matched,159
2111,matched,149
2112,matched,139
2113,matched,185
2114,matched,180
2115,matched,142
2116,matched,148
2117,matched,162
2118,matched,146
2119,matched,166
2120,matched,147
2121,matched,153
2122,matched,170
2123,postcode_not_in_census,149
2124,postcode_not_in_census,160
2125,matched,166
2126,matched,146
2127,matched,160
2128,matched,173
2129,postcode_not_in_census,144
2130,matched,144
2131,matched,144
2132,matched,172
2133,matched,161
2134,matched,171
2135,matched,143
2136,matched,140
2137,matched,149
2138,matched,170
2139,postcode_not_in_census,177
2140,matched,144
2141,matched,147
2142,matched,150
2143,matched,148
2144,matched,139
2145,matched,166
2146,matched,164
2147,matched,130
2148,matched,158
2150,matched,156
2151,matched,156
2152,matched,163
2153,matched,158
2154,matched,158
2155,matched,137
2156,matched,148
2157,matched,160
2158,matched,145
2159,matched,158
2160,matched,195
2161,matched,160
2162,matched,160
2163,matched,165
2164,matched,163
2165,matched,164
2166,matched,155
2167,matched,182
2168,matched,173
2170,matched,168
2171,matched,165
2172,matched,177
2173,matched,170
2174,matched,172
2175,matched,158
2176,matched,148
2177,matched,167
2178,matched,152
2179,matched,178
2190,matched,172
2191,matched,164
2192,matched,171
2193,matched,146
2194,matched,146
2195,matched,171
2196,matched,175
2197,matched,157
2198,matched,145
2199,matched,169
2200,matched,161
2203,matched,140
2204,matched,157
2205,matched,181
2206,matched,154
2207,matched,152
2208,matched,142
2209,matched,136
2210,matched,167
2211,matched,162
2212,matched,175
2213,matched,163
2214,matched,150
2216,matched,168
2217,matched,127
2218,matched,142
2219,matched,182
2220,matched,153
2221,matched,176
2222,matched,167
2223,matched,171
2224,matched,154
2225,matched,156
2226,matched,145
2227,matched,156
2228,matched,166
2229,matched,163
2230,matched,152
2231,matched,144
2232,matched,163
2233,matched,147
2234,matched,165
2250,matched,140
2251,matched,138
2252,postcode_not_in_census,171
2256,matched,148
2257,matched,153
2258,matched,177
2259,matched,156
2260,matched,168
2261,matched,180
2262,matched,163
2263,matched,157
2264,matched,168
2265,matched,156
2267,matched,151
2278,matched,149
2280,matched,157
2281,matched,156
2282,matched,162
2283,matched,154
2284,matched,149
2285,matched,146
2286,matched,163
2287,matched,160
2289,matched,156
2290,matched,186
2291,matched,134
2292,matched,174
2293,matched,168
2294,matched,154
2295,matched,156
2296,matched,160
2297,matched,146
2298,matched,165
2299,matched,156
2300,matched,162
2302,matched,179
2303,matched,152
2304,matched,160
2305,matched,149
2306,matched,153
2307,matched,142
2308,matched,156
2309,postcode_not_in_census,159
2310,postcode_not_in_census,151
2311,matched,155
2312,matched,155
2314,postcode_not_in_census,173
2315,matched,156
2316,matched,151
2317,matched,170
2318,matched,150
2319,matched,186
2320,matched,170
2321,matched,144
2322,matched,158
2323,matched,156
2324,matched,153
2325,matched,167
2326,matched,179
2327,matched,134
2328,matched,143
2329,matched,180
2330,matched,153
2331,matched,156
2333,matched,148
2334,matched,181
2335,matched,168
2336,matched,170
2337,matched,171
2338,matched,170
2339,matched,164
2340,matched,153
2341,matched,131
2342,matched,126
2343,matched,163
2344,matched,156
2345,matched,143
2346,matched,167
2347,matched,172
2348,postcode_not_in_census,161
2350,matched,150
2351,postcode_not_in_census,161
2352,matched,163
2353,matched,157
2354,matched,169
2355,matched,141
2356,matched,164
2357,matched,164
2358,matched,172
2359,matched,166
2360,matched,149
2361,matched,158
2365,matched,144
2369,matched,165
2370,matched,175
2371,matched,164
2372,matched,169
2379,matched,156
2380,matched,161
2381,matched,175
2382,matched,148
2386,matched,145
2387,matched,148
2388,matched,176
2390,matched,121
2395,matched,166
2396,matched,141
2397,matched,155
2398,matched,148
2399,matched,158
2400,matched,164
2401,matched,138
2402,matched,146
2403,matched,152
2404,matched,167
2405,matched,150
2406,matched,177
2408,matched,161
2409,matched,164
2410,matched,173
2411,matched,163
2415,matched,139
2420,matched,147
2421,matched,180
2422,matched,151
2423,matched,159
2424,matched,154
2425,matched,179
2426,matched,162
2427,matched,157
2428,matched,157
2429,matched,148
2430,matched,164
2431,matched,159
2439,matched,177
2440,matched,155
2441,matched,119
2442,postcode_not_in_census,161
2443,matched,152
2444,matched,164
2445,matched,164
2446,matched,167
2447,matched,156
2448,matched,173
2449,matched,172
2450,matched,171
2452,matched,179
2453,matched,162
2454,matched,172
2455,matched,159
2456,matched,162
2460,matched,160
2462,matched,152
2463,matched,151
2464,matched,154
2465,matched,171
2466,matched,148
2469,matched,179
2470,matched,165
2471,matched,143
2472,matched,186
2473,matched,175
2474,matched,161
2475,matched,179
2476,matched,157
2477,matched,158
2478,matched,153
2479,matched,158
2480,matched,178
2481,matched,169
2482,matched,178
2483,matched,149
2484,matched,163
2485,matched,170
2486,matched,161
2487,matched,187
2488,matched,153
2489,matched,166
2490,matched,174
2500,matched,154
2502,matched,137
2505,matched,167
2506,matched,175
2508,matched,141
2515,matched,157
2516,matched,161
2517,matched,168
2518,matched,152
2519,matched,149
2520,postcode_not_in_census,167
2522,postcode_not_in_census,158
2525,matched,156
2526,matched,130
2527,matched,148
2528,matched,178
2529,matched,165
2530,matched,145
2533,matched,154
2534,matched,125
2535,matched,153
2536,matched,184
2537,matched,149
2538,matched,163
2539,matched,160
2540,matched,158
2541,matched,160
2545,matched,160
2546,matched,154
2548,matched,140
2549,matched,165
2550,matched,146
2551,matched,142
2555,matched,161
2556,matched,153
2557,matched,145
2558,matched,157
2559,matched,159
2560,matched,149
2563,matched,152
2564,matched,152
2565,matched,163
2566,matched,182
2567,matched,160
2568,matched,138
2569,matched,150
2570,matched,146
2571,matched,160
2572,matched,157
2573,matched,159
2574,matched,174
2575,matched,164
2576,matched,143
2577,matched,158
2578,matched,163
2579,matched,166
2580,matched,139
2581,matched,158
2582,matched,168
2583,matched,163
2584,matched,154
2585,matched,165
2586,matched,160
2587,matched,163
2588,matched,161
2590,matched,152
2594,matched,163
2600,matched,163
2601,matched,135
2602,matched,173
2603,matched,165
2604,matched,165
2605,matched,138
2606,matched,158
2607,matched,167
2608,postcode_not_in_census,153
2609,matched,170
2610,postcode_not_in_census,134
2611,matched,149
2612,matched,163
2614,matched,149
2615,matched,190
2616,postcode_not_in_census,157
2617,matched,170
2618,matched,138
2619,matched,164
2620,matched,143
2621,matched,163
2622,matched,151
2623,matched,165
2624,matched,159
2625,matched,154
2626,matched,151
2627,matched,124
2628,matched,145
2629,matched,159
2630,matched,159
2631,matched,158
2632,matched,144
2633,matched,153
2640,matched,151
2641,matched,140
2642,matched,157
2643,matched,148
2644,matched,145
2645,matched,158
2646,matched,155
2647,matched,158
2648,matched,152
2649,matched,149
2650,matched,161
2651,matched,148
2652,matched,141
2653,matched,150
2655,matched,171
2656,matched,129
2658,matched,165
2659,matched,153
2660,matched,152
2661,matched,162
2663,matched,155
2665,matched,158
2666,matched,167
2668,matched,167
2669,matched,174
2671,matched,153
2672,matched,158
2675,matched,159
2678,matched,143
2680,matched,153
2681,matched,200
2700,matched,169
2701,matched,155
2702,matched,165
2703,matched,163
2705,matched,171
2706,matched,169
2707,matched,166
2708,postcode_not_in_census,166
2710,matched,163
2711,matched,170
2712,matched,156
2713,matched,159
2714,matched,146
2715,matched,153
2716,matched,162
2717,matched,160
2720,matched,152
2721,matched,181
2722,matched,158
2725,matched,135
2726,matched,161
2727,matched,169
2729,matched,180
2730,matched,169
2731,matched,150
2732,matched,169
2733,matched,168
2734,matched,166
2735,matched,166
2736,matched,161
2737,matched,131
2738,matched,139
2739,matched,147
2745,matched,186
2747,matched,169
2748,matched,166
2749,matched,153
2750,matched,164
2751,postcode_not_in_census,173
2752,matched,152
2753,matched,149
2754,matched,148
2755,postcode_not_in_census,171
2756,matched,148
2757,matched,177
2758,matched,154
2759,matched,170
2760,matched,150
2761,matched,155
2762,matched,162
2763,matched,173
2765,matched,139
2766,matched,167
2767,matched,182
2768,matched,169
2769,matched,158
2770,matched,150
2773,matched,145
2774,matched,151
2775,matched,138
2776,matched,166
2777,matched,179
2778,matched,148
2779,matched,170
2780,matched,168
2782,matched,157
2783,matched,149
2784,matched,146
2785,matched,156
2786,matched,170
2787,matched,176
2790,matched,149
2791,matched,158
2792,matched,169
2793,matched,159
2794,matched,140
2795,matched,151
2797,matched,144
2798,matched,165
2799,matched,161
2800,matched,152
2803,matched,151
2804,matched,152
2805,matched,155
2806,matched,181
2807,matched,155
2808,matched,150
2809,matched,185
2810,matched,151
2817,matched,160
2818,matched,160
2820,matched,131
2821,matched,157
2822,matched,150
2823,matched,148
2824,matched,175
2825,matched,144
2826,matched,161
2827,matched,174
2828,matched,161
2829,matched,160
2830,matched,163
2831,matched,155
2832,matched,191
2833,matched,158
2834,matched,164
2835,matched,136
2836,matched,163
2838,matched,157
2839,matched,173
2840,matched,167
2842,matched,161
2843,matched,182
2844,matched,165
2845,matched,164
2846,matched,159
2847,matched,163
2848,matched,169
2849,matched,151
2850,matched,154
2852,matched,161
2864,matched,156
2865,matched,167
2866,matched,137
2867,matched,188
2868,matched,154
2869,matched,154
2870,matched,140
2871,matched,147
2873,matched,165
2874,matched,148
2875,matched,149
2876,matched,158
2877,matched,176
2878,matched,158
2879,matched,127
2880,matched,154
2890,postcode_not_in_census,166
2891,postcode_not_in_census,143
2898,matched,158
2899,matched,175
2900,matched,151
2901,postcode_not_in_census,185
2902,matched,163
2903,matched,166
2904,matched,158
2905,matched,153
2906,matched,137
2911,matched,129
2912,matched,148
2913,matched,146
2914,matched,152
3000,matched,161
3001,postcode_not_in_census,170
3002,matched,159
3003,matched,138
3004,matched,144
3005,postcode_not_in_census,156
3006,matched,171
3008,matched,165
3010,postcode_not_in_census,145
3011,matched,155
3012,matched,151
3013,matched,146
3015,matched,148
3016,matched,160
3018,matched,164
3019,matched,167
3020,matched,164
3021,matched,162
3022,matched,154
3023,matched,151
3024,matched,149
3025,matched,161
3026,matched,153
3027,matched,154
3028,matched,141
3029,matched,161
3030,matched,160
3031,matched,142
3032,matched,154
3033,matched,174
3034,matched,140
3036,matched,145
3037,matched,153
3038,matched,148
3039,matched,145
3040,matched,165
3041,matched,174
3042,matched,163
3043,matched,150
3044,matched,159
3045,matched,154
3046,matched,152
3047,matched,155
3048,matched,154
3049,matched,152
3050,postcode_not_in_census,141
3051,matched,145
3052,matched,155
3053,matched,160
3054,matched,145
3055,matched,155
3056,matched,144
3057,matched,156
3058,matched,142
3059,matched,151
3060,matched,152
3061,matched,191
3062,matched,174
3063,matched,176
3064,matched,153
3065,matched,163
3066,matched,160
3067,matched,157
3068,matched,153
3070,matched,180
3071,matched,133
3072,matched,142
3073,matched,143
3074,matched,146
3075,matched,152
3076,matched,169
3078,matched,122
3079,matched,155
3081,matched,160
3082,matched,175
3083,matched,145
3084,matched,152
3085,matched,167
3086,postcode_not_in_census,144
3087,matched,158
3088,matched,169
3089,matched,177
3090,matched,160
3091,matched,163
3093,matched,160
3094,matched,161
3095,matched,161
3096,matched,152
3097,matched,156
3099,matched,139
3101,matched,148
3102,matched,148
3103,matched,136
3104,matched,157
3105,matched,163
3106,matched,166
3107,matched,142
3108,matched,153
3109,matched,167
3111,matched,159
3113,matched,161
3114,matched,166
3115,matched,169
3116,matched,144
3121,matched,143
3122,matched,143
3123,matched,145
3124,matched,156
3125,matched,140
3126,matched,154
3127,matched,156
3128,matched,146
3129,matched,174
3130,matched,163
3131,matched,157
3132,matched,141
3133,matched,175
3134,matched,154
3135,matched,176
3136,matched,173
3137,matched,164
3138,matched,159
3139,matched,142
3140,matched,159
3141,matched,166
3142,matched,169
3143,matched,148
3144,matched,182
3145,matched,139
3146,matched,169
3147,matched,142
3148,matched,170
3149,matched,151
3150,matched,141
3151,matched,157
3152,matched,174
3153,matched,157
3154,matched,155
3155,matched,139
3156,matched,161
3158,matched,159
3159,matched,152
3160,matched,148
3161,matched,158
3162,matched,145
3163,matched,149
3164,postcode_not_in_census,154
3165,matched,159
3166,matched,175
3167,matched,161
3168,matched,159
3169,matched,185
3170,matched,171
3171,matched,151
3172,matched,151
3173,matched,157
3174,matched,176
3175,matched,163
3176,postcode_not_in_census,147
3177,matched,152
3178,matched,163
3179,matched,162
3180,matched,138
3181,matched,166
3182,matched,156
3183,matched,160
3184,matched,160
3185,matched,175
3186,matched,140
3187,matched,168
3188,matched,162
3189,matched,139
3190,matched,137
3191,matched,130
3192,matched,142
3193,matched,163
3194,matched,159
3195,matched,148
3196,matched,176
3197,matched,175
3198,matched,151
3199,matched,150
3200,matched,164
3201,matched,161
3202,matched,158
3204,matched,184
3205,matched,156
3206,matched,144
3207,matched,167
3211,matched,176
3212,matched,147
3213,matched,140
3214,matched,172
3215,matched,158
3216,matched,155
3217,matched,153
3218,matched,152
3219,matched,152
3220,matched,153
3221,matched,174
3222,matched,162
3223,matched,156
3224,matched,160
3225,matched,156
3226,matched,188
3227,matched,164
3228,matched,162
3230,matched,149
3231,matched,142
3232,matched,150
3233,matched,175
3234,matched,142
3235,matched,146
3236,matched,173
3237,matched,171
3238,matched,153
3239,matched,162
3240,matched,142
3241,matched,157
3242,matched,151
3243,matched,156
3249,matched,156
3250,matched,134
3251,matched,165
3254,matched,168
3260,matched,148
3264,matched,152
3265,matched,168
3266,matched,189
3267,matched,151
3268,matched,153
3269,matched,169
3270,matched,161
3271,matched,169
3272,matched,167
3273,matched,161
3274,matched,157
3275,matched,169
3276,matched,165
3277,matched,142
3278,matched,146
3279,matched,175
3280,matched,188
3281,matched,146
3282,matched,159
3283,matched,189
3284,matched,148
3285,matched,163
3286,matched,157
3287,matched,149
3289,matched,141
3292,matched,156
3293,matched,172
3294,matched,151
3300,matched,173
3301,matched,146
3302,matched,151
3303,matched,141
3304,matched,155
3305,matched,138
3309,matched,169
3310,matched,170
3311,matched,153
3312,matched,148
3314,matched,154
3315,matched,146
3317,matched,141
3318,matched,148
3319,matched,149
3321,matched,174
3322,matched,167
3323,matched,162
3324,matched,157
3325,matched,168
3328,matched,169
3329,matched,148
3330,matched,170
3331,matched,157
3332,matched,161
3333,matched,138
3334,matched,180
3335,matched,140
3336,matched,177
3337,matched,162
3338,matched,165
3340,matched,141
3341,matched,150
3342,matched,146
3345,matched,130
3350,matched,139
3351,matched,167
3352,matched,153
3353,postcode_not_in_census,166
3354,postcode_not_in_census,170
3355,matched,147
3356,matched,165
3357,matched,155
3358,matched,167
3360,matched,162
3361,matched,148
3363,matched,182
3364,matched,150
3370,matched,157
3371,matched,150
3373,matched,154
3374,matched,149
3375,matched,148
3377,matched,149
3378,matched,148
3379,matched,169
3380,matched,150
3381,matched,145
3384,matched,167
3385,matched,132
3387,matched,156
3388,matched,163
3390,matched,148
3391,matched,157
3392,matched,160
3393,matched,170
3395,matched,154
3396,matched,188
3399,postcode_not_in_census,157
3400,matched,161
3401,matched,154
3402,postcode_not_in_census,160
3407,matched,162
3409,matched,148
3412,matched,160
3413,matched,162
3414,matched,153
3415,matched,151
3418,matched,166
3419,matched,146
3420,matched,141
3423,matched,164
3424,matched,144
3427,matched,175
3428,matched,158
3429,matched,163
3430,matched,152
3431,matched,160
3432,matched,155
3433,matched,157
3434,matched,171
3435,matched,177
3437,matched,179
3438,matched,145
3440,matched,163
3441,matched,145
3442,matched,166
3444,matched,165
3446,matched,171
3447,matched,156
3448,matched,179
3450,matched,143
3451,matched,154
3453,matched,170
3458,matched,167
3460,matched,148
3461,matched,162
3462,matched,172
3463,matched,169
3464,matched,142
3465,matched,180
3467,matched,186
3468,matched,161
3469,matched,162
3472,matched,173
3475,matched,168
3477,matched,177
3478,matched,175
3480,matched,155
3482,matched,158
3483,matched,153
3485,matched,149
3487,matched,145
3488,matched,140
3489,matched,141
3490,matched,155
3491,matched,177
3494,matched,171
3496,matched,163
3498,matched,153
3500,matched,166
3501,matched,183
3502,postcode_not_in_census,165
3505,matched,158
3506,matched,155
3507,matched,156
3509,matched,153
3512,matched,170
3515,matched,163
3516,matched,175
3517,matched,156
3518,matched,165
3520,matched,180
3521,matched,176
3522,matched,153
3523,matched,145
3525,matched,150
3527,matched,152
3529,matched,148
3530,matched,158
3531,matched,164
3533,matched,170
3537,matched,160
3540,matched,155
3542,matched,156
3544,matched,164
3546,matched,147
3549,matched,143
3550,matched,151
3551,matched,163
3552,postcode_not_in_census,158
3554,postcode_not_in_census,160
3555,matched,155
3556,matched,170
3557,matched,164
3558,matched,153
3559,matched,150
3561,matched,128
3562,matched,126
3563,matched,153
3564,matched,144
3565,matched,155
3566,matched,132
3567,matched,133
3568,matched,155
3570,matched,176
3571,matched,163
3572,matched,156
3573,matched,181
3575,matched,149
3576,matched,152
3579,matched,158
3580,matched,161
3581,matched,161
3583,matched,162
3584,matched,164
3585,matched,160
3586,matched,155
3588,matched,171
3589,matched,163
3590,matched,164
3591,matched,161
3594,matched,162
3595,matched,149
3596,matched,158
3597,matched,163
3599,matched,147
3607,matched,158
3608,matched,142
3610,matched,149
3612,matched,171
3614,matched,139
3616,matched,170
3617,matched,159
3618,matched,145
3619,postcode_not_in_census,150
3620,matched,146
3621,matched,147
3622,matched,159
3623,matched,167
3624,matched,174
