postcode,ato_income_year,ato_table8_state,ato_table8_individual_count,ato_official_median_taxable_income,ato_official_average_taxable_income,ato_table8_available
2033,2021-22,NSW,7548,57559,88129,True
2034,2021-22,NSW,13832,77979,130664,True
2035,2021-22,NSW,22148,60836,99411,True
2036,2021-22,NSW,19897,58132,81442,True
2037,2021-22,NSW,10658,62419,98811,True
2038,2021-22,NSW,6159,78637,121333,True
2039,2021-22,NSW,5796,87621,130784,True
2040,2021-22,NSW,14163,78986,110287,True
2041,2021-22,NSW,10322,87400,162760,True
2042,2021-22,NSW,12923,68874,94610,True
2043,2021-22,NSW,7096,88982,106268,True
2044,2021-22,NSW,5418,71567,86772,True
2045,2021-22,NSW,4091,65957,122034,True
2046,2021-22,NSW,16723,70935,106430,True
2047,2021-22,NSW,7729,76386,120152,True
2048,2021-22,NSW,5045,71401,101915,True
2049,2021-22,NSW,8078,68681,93245,True
2050,2021-22,NSW,5798,74214,94603,True
2057,2021-22,NSW,,,,False
2059,2021-22,NSW,,,,False
2060,2021-22,NSW,10891,79536,137385,True
2061,2021-22,NSW,4302,84945,169561,True
2062,2021-22,NSW,4726,84980,148337,True
2063,2021-22,NSW,4275,81137,212476,True
2064,2021-22,NSW,6216,66735,100979,True
2065,2021-22,NSW,22640,82151,119168,True
2066,2021-22,NSW,22382,76891,126742,True
2067,2021-22,NSW,17726,51935,84295,True
2068,2021-22,NSW,10963,73684,152575,True
2069,2021-22,NSW,9568,69376,147156,True
2070,2021-22,NSW,9774,65597,136425,True
2071,2021-22,NSW,9034,60608,129981,True
2072,2021-22,NSW,5937,58223,106280,True
2073,2021-22,NSW,11308,68465,123199,True
2074,2021-22,NSW,15052,66542,124637,True
2075,2021-22,NSW,13881,61962,109339,True
2076,2021-22,NSW,15900,63267,112612,True
2077,2021-22,NSW,26955,57776,74096,True
2079,2021-22,NSW,5075,61756,78291,True
2080,2021-22,NSW,1143,56164,71311,True
2081,2021-22,NSW,3456,61189,82915,True
2082,2021-22,NSW,3414,61588,81656,True
2083,2021-22,NSW,1034,50715,75117,True
2084,2021-22,NSW,2425,63070,140085,True
2085,2021-22,NSW,7295,58511,92593,True
2086,2021-22,NSW,8915,64078,95265,True
2087,2021-22,NSW,8096,60880,102756,True
2088,2021-22,NSW,19568,80424,211999,True
2089,2021-22,NSW,8415,77686,129365,True
2090,2021-22,NSW,9321,79508,145996,True
2092,2021-22,NSW,4527,75163,163558,True
2093,2021-22,NSW,15369,71248,142792,True
2094,2021-22,NSW,4261,75784,131696,True
2095,2021-22,NSW,11707,78912,152492,True
2096,2021-22,NSW,10220,76205,142097,True
2097,2021-22,NSW,10457,62391,102902,True
2099,2021-22,NSW,28118,59490,89368,True
2100,2021-22,NSW,14277,60523,95850,True
2101,2021-22,NSW,12616,58901,89034,True
2102,2021-22,NSW,5163,63222,98033,True
2103,2021-22,NSW,7323,57373,92771,True
2104,2021-22,NSW,2337,55714,143147,True
2105,2021-22,NSW,1370,58257,120580,True
2106,2021-22,NSW,6726,60501,106867,True
2107,2021-22,NSW,10186,55182,113232,True
2108,2021-22,NSW,1283,60959,216262,True
2110,2021-22,NSW,6062,79612,215456,True
2111,2021-22,NSW,9957,71123,113496,True
2112,2021-22,NSW,24261,58406,79910,True
2113,2021-22,NSW,18305,59967,78890,True
2114,2021-22,NSW,16766,56918,73631,True
2115,2021-22,NSW,7303,54567,68277,True
2116,2021-22,NSW,4243,53369,65729,True
2117,2021-22,NSW,13038,49350,67867,True
2118,2021-22,NSW,17133,48178,65948,True
2119,2021-22,NSW,7786,64161,104369,True
2120,2021-22,NSW,13583,62265,84997,True
2121,2021-22,NSW,22812,54708,77286,True
2122,2021-22,NSW,20564,47123,72380,True
2124,2021-22,NSW,350,32988,54285,True
2125,2021-22,NSW,11085,60238,99644,True
2126,2021-22,NSW,12073,61160,86460,True
2127,2021-22,NSW,15503,60486,71808,True
2128,2021-22,NSW,1403,48417,58257,True
2130,2021-22,NSW,5094,70270,93458,True
2131,2021-22,NSW,15301,51756,67998,True
2132,2021-22,NSW,6567,57049,79060,True
2133,2021-22,NSW,6414,53655,69769,True
2134,2021-22,NSW,11881,39918,58094,True
2135,2021-22,NSW,19042,47629,79511,True
2136,2021-22,NSW,4823,52649,69023,True
2137,2021-22,NSW,17615,62222,92073,True
2138,2021-22,NSW,13195,55745,75667,True
2140,2021-22,NSW,14095,49663,63575,True
2141,2021-22,NSW,20668,42539,53993,True
2142,2021-22,NSW,16467,42973,51393,True
2143,2021-22,NSW,5192,43220,54909,True
2144,2021-22,NSW,22872,35431,43725,True
2145,2021-22,NSW,50980,55148,66895,True
2146,2021-22,NSW,11801,54256,64377,True
2147,2021-22,NSW,21199,53497,63817,True
2148,2021-22,NSW,39876,49716,56894,True
2150,2021-22,NSW,24952,54534,65569,True
2151,2021-22,NSW,12715,56601,71551,True
2152,2021-22,NSW,6712,60130,73259,True
2153,2021-22,NSW,38269,61696,81253,True
2154,2021-22,NSW,25547,59148,87281,True
2155,2021-22,NSW,47518,67357,84713,True
2156,2021-22,NSW,8696,60457,113615,True
2157,2021-22,NSW,2569,51200,81540,True
2158,2021-22,NSW,5620,60095,153707,True
2159,2021-22,NSW,3264,55272,98640,True
2160,2021-22,NSW,20880,42683,53519,True
2161,2021-22,NSW,16098,39362,48879,True
2162,2021-22,NSW,9583,39945,49821,True
2163,2021-22,NSW,4469,39328,46848,True
2164,2021-22,NSW,9991,45488,58455,True
2165,2021-22,NSW,18776,40190,48729,True
2166,2021-22,NSW,26855,40807,48675,True
2167,2021-22,NSW,6020,54131,62554,True
2168,2021-22,NSW,21071,43690,50683,True
2170,2021-22,NSW,58772,48609,57150,True
2171,2021-22,NSW,21996,53829,65449,True
2172,2021-22,NSW,1752,70858,87283,True
2173,2021-22,NSW,8661,63539,70977,True
2174,2021-22,NSW,7505,60669,69664,True
2175,2021-22,NSW,1114,55631,86952,True
2176,2021-22,NSW,24291,46194,59155,True
2177,2021-22,NSW,8428,46093,54376,True
2178,2021-22,NSW,2203,52072,84398,True
2179,2021-22,NSW,10471,57771,66554,True
2190,2021-22,NSW,12932,39418,53524,True
2191,2021-22,NSW,3485,47992,64254,True
2192,2021-22,NSW,7483,44459,55205,True
2193,2021-22,NSW,10867,54084,70657,True
2194,2021-22,NSW,15082,39674,48587,True
2195,2021-22,NSW,13433,34243,43895,True
2196,2021-22,NSW,17360,40606,51366,True
2197,2021-22,NSW,4689,41215,52142,True
2198,2021-22,NSW,4769,44260,57921,True
2199,2021-22,NSW,9409,40796,52024,True
2200,2021-22,NSW,24858,39778,49872,True
2203,2021-22,NSW,8749,68749,88898,True
2204,2021-22,NSW,16416,64384,82787,True
2205,2021-22,NSW,16434,53017,65084,True
2206,2021-22,NSW,11407,58766,81759,True
2207,2021-22,NSW,16121,52603,68094,True
2208,2021-22,NSW,7484,50780,70869,True
2209,2021-22,NSW,9662,46568,60163,True
2210,2021-22,NSW,18997,49576,65729,True
2211,2021-22,NSW,10412,51589,64234,True
2212,2021-22,NSW,9924,51406,62979,True
2213,2021-22,NSW,13540,57228,70911,True
2214,2021-22,NSW,2378,56208,67208,True
2216,2021-22,NSW,17931,49776,62971,True
2217,2021-22,NSW,18505,53633,67997,True
2218,2021-22,NSW,10296,49244,61389,True
2219,2021-22,NSW,8075,57022,80273,True
2220,2021-22,NSW,22865,42850,55088,True
2221,2021-22,NSW,10674,54690,84739,True
2222,2021-22,NSW,7884,49825,65149,True
2223,2021-22,NSW,13632,59146,84009,True
2224,2021-22,NSW,8922,54466,87285,True
2225,2021-22,NSW,3487,68501,98059,True
2226,2021-22,NSW,7962,66464,89496,True
2227,2021-22,NSW,9494,63853,84808,True
2228,2021-22,NSW,12985,61570,80564,True
2229,2021-22,NSW,19443,63139,94018,True
2230,2021-22,NSW,20642,65789,100528,True
2231,2021-22,NSW,1451,53946,72245,True
2232,2021-22,NSW,21815,63269,78331,True
2233,2021-22,NSW,18350,61066,74208,True
2234,2021-22,NSW,19744,61234,80885,True
2250,2021-22,NSW,41593,50925,65811,True
2251,2021-22,NSW,19523,49840,73752,True
2256,2021-22,NSW,8692,46950,63125,True
2257,2021-22,NSW,16489,47130,71222,True
2258,2021-22,NSW,3217,51042,66722,True
2259,2021-22,NSW,36133,49306,59913,True
2260,2021-22,NSW,15811,54768,83072,True
2261,2021-22,NSW,32153,49485,61529,True
2262,2021-22,NSW,11101,46963,53756,True
2263,2021-22,NSW,12737,46443,55378,True
2264,2021-22,NSW,8612,46179,59372,True
2265,2021-22,NSW,4246,51183,61666,True
2267,2021-22,NSW,1631,44710,58949,True
2278,2021-22,NSW,1561,53066,60462,True
2280,2021-22,NSW,15875,52049,68123,True
2281,2021-22,NSW,8330,49401,67231,True
2282,2021-22,NSW,9861,54881,75393,True
2283,2021-22,NSW,13564,48449,68865,True
2284,2021-22,NSW,7294,53608,66158,True
2285,2021-22,NSW,19990,55534,64095,True
2286,2021-22,NSW,2710,53428,60217,True
2287,2021-22,NSW,23923,53207,62737,True
2289,2021-22,NSW,12549,58587,72758,True
2290,2021-22,NSW,20570,55166,74186,True
2291,2021-22,NSW,9499,63522,104298,True
2292,2021-22,NSW,1720,59139,69267,True
2293,2021-22,NSW,2390,60911,72204,True
2294,2021-22,NSW,1263,57683,69849,True
2295,2021-22,NSW,4358,57311,69477,True
2296,2021-22,NSW,1375,56152,68541,True
2297,2021-22,NSW,1154,53271,67543,True
2298,2021-22,NSW,5756,52115,61694,True
2299,2021-22,NSW,6989,49526,62832,True
2300,2021-22,NSW,8582,59876,94504,True
2302,2021-22,NSW,963,57002,71134,True
2303,2021-22,NSW,5813,54389,79417,True
2304,2021-22,NSW,9053,53451,62683,True
2305,2021-22,NSW,8261,59855,81538,True
2306,2021-22,NSW,1114,36727,42700,True
2307,2021-22,NSW,2522,47139,53595,True
2308,2021-22,NSW,236,17879,20878,True
2311,2021-22,NSW,516,38362,57550,True
2312,2021-22,NSW,819,37841,47727,True
2315,2021-22,NSW,8799,42502,61400,True
2316,2021-22,NSW,3748,43274,57641,True
2317,2021-22,NSW,3641,41547,57350,True
2318,2021-22,NSW,8099,53664,65770,True
2319,2021-22,NSW,3499,43604,52993,True
2320,2021-22,NSW,23085,53781,68211,True
2321,2021-22,NSW,12385,55779,68019,True
2322,2021-22,NSW,14419,55616,64656,True
2323,2021-22,NSW,15173,52533,64560,True
2324,2021-22,NSW,13758,45394,55209,True
2325,2021-22,NSW,15480,47059,59024,True
2326,2021-22,NSW,4207,49553,57847,True
2327,2021-22,NSW,4044,49368,56100,True
2328,2021-22,NSW,1435,50779,65354,True
2329,2021-22,NSW,1134,46714,54531,True
2330,2021-22,NSW,12681,54785,73751,True
2333,2021-22,NSW,7550,54689,70561,True
2334,2021-22,NSW,2056,56024,66916,True
2335,2021-22,NSW,5162,60172,74478,True
2336,2021-22,NSW,1425,52485,69002,True
2337,2021-22,NSW,4883,51552,97090,True
2338,2021-22,NSW,708,42502,52657,True
2339,2021-22,NSW,492,38519,47688,True
2340,2021-22,NSW,30441,51084,61542,True
2341,2021-22,NSW,689,43835,52002,True
2342,2021-22,NSW,293,48498,56661,True
2343,2021-22,NSW,2646,45354,53537,True
2344,2021-22,NSW,442,45361,55619,True
2345,2021-22,NSW,437,49246,57828,True
2346,2021-22,NSW,1579,43012,50415,True
2347,2021-22,NSW,814,36790,42149,True
2350,2021-22,NSW,14926,48389,60875,True
2352,2021-22,NSW,1623,48189,58136,True
2353,2021-22,NSW,622,49233,51995,True
2354,2021-22,NSW,2124,43135,54430,True
2355,2021-22,NSW,359,36355,42382,True
2357,2021-22,NSW,2014,42891,51216,True
2358,2021-22,NSW,2153,43501,50331,True
2359,2021-22,NSW,380,38013,43273,True
2360,2021-22,NSW,7880,45263,52563,True
2361,2021-22,NSW,426,31037,34832,True
2365,2021-22,NSW,2084,40042,50298,True
2369,2021-22,NSW,365,36685,40457,True
2370,2021-22,NSW,3936,37787,45711,True
2371,2021-22,NSW,567,33306,39896,True
2372,2021-22,NSW,2544,34752,42900,True
2379,2021-22,NSW,,,,False
2380,2021-22,NSW,6175,53499,68854,True
2381,2021-22,NSW,665,51741,63131,True
2382,2021-22,NSW,730,46662,58655,True
2386,2021-22,NSW,,,,False
2388,2021-22,NSW,1414,47363,57929,True
2390,2021-22,NSW,4999,52353,62145,True
2395,2021-22,NSW,306,34642,43221,True
2396,2021-22,NSW,421,41013,53156,True
2397,2021-22,NSW,222,44182,31972,True
2399,2021-22,NSW,378,52233,60511,True
2400,2021-22,NSW,5512,54510,65981,True
2402,2021-22,NSW,921,41102,46136,True
2403,2021-22,NSW,365,33469,37350,True
2404,2021-22,NSW,889,35325,43389,True
2405,2021-22,NSW,273,46032,58892,True
2406,2021-22,NSW,455,50486,67570,True
2408,2021-22,NSW,217,47239,58832,True
2409,2021-22,NSW,344,38914,42839,True
2415,2021-22,NSW,229,35709,48389,True
2420,2021-22,NSW,2315,41628,57745,True
2421,2021-22,NSW,1238,51468,64942,True
2422,2021-22,NSW,2858,37921,47078,True
2423,2021-22,NSW,1715,37774,48273,True
2424,2021-22,NSW,225,32226,37996,True
2425,2021-22,NSW,1057,43707,55327,True
2426,2021-22,NSW,384,42939,46693,True
2427,2021-22,NSW,1611,36964,49783,True
2428,2021-22,NSW,12852,40297,53260,True
2429,2021-22,NSW,5308,40800,47836,True
2430,2021-22,NSW,18739,43441,52927,True
2431,2021-22,NSW,2887,40193,51708,True
2439,2021-22,NSW,2045,40600,49871,True
2440,2021-22,NSW,11033,42102,48191,True
2441,2021-22,NSW,2542,37762,48860,True
2443,2021-22,NSW,4388,37506,46510,True
2444,2021-22,NSW,29039,46603,61152,True
2445,2021-22,NSW,4321,44650,56054,True
2446,2021-22,NSW,8408,43821,54309,True
2447,2021-22,NSW,4206,38499,47794,True
2448,2021-22,NSW,4664,39093,53671,True
2449,2021-22,NSW,1107,32195,41122,True
2450,2021-22,NSW,27474,46237,58866,True
2452,2021-22,NSW,8368,45827,54084,True
2453,2021-22,NSW,1580,34872,45229,True
2454,2021-22,NSW,4463,41205,52928,True
2455,2021-22,NSW,1663,44164,53347,True
2456,2021-22,NSW,10230,43336,53315,True
2460,2021-22,NSW,15615,44000,51889,True
2462,2021-22,NSW,1321,39433,47779,True
2463,2021-22,NSW,4394,40479,50445,True
2464,2021-22,NSW,3838,40879,54622,True
2465,2021-22,NSW,210,37638,48152,True
2466,2021-22,NSW,753,34633,45657,True
2469,2021-22,NSW,2044,31171,40430,True
2470,2021-22,NSW,8028,45419,48977,True
2471,2021-22,NSW,1436,40000,44828,True
2472,2021-22,NSW,1083,42176,48484,True
2473,2021-22,NSW,1626,43141,52860,True
2474,2021-22,NSW,3480,37110,45464,True
2476,2021-22,NSW,385,32357,40278,True
2477,2021-22,NSW,7553,45399,57100,True
2478,2021-22,NSW,19120,45709,61422,True
2479,2021-22,NSW,3711,44670,89588,True
2480,2021-22,NSW,25818,44372,56795,True
2481,2021-22,NSW,9479,40571,84268,True
2482,2021-22,NSW,4447,33183,60723,True
2483,2021-22,NSW,7065,40444,56231,True
2484,2021-22,NSW,11036,40717,51177,True
2485,2021-22,NSW,8511,44308,58261,True
2486,2021-22,NSW,18342,45341,56389,True
2487,2021-22,NSW,8881,48434,73234,True
2488,2021-22,NSW,2038,46027,59997,True
2489,2021-22,NSW,4323,46031,59562,True
2490,2021-22,NSW,412,44001,59590,True
2500,2021-22,NSW,26975,49340,67429,True
2502,2021-22,NSW,6000,44913,53391,True
2505,2021-22,NSW,2767,51815,65626,True
2506,2021-22,NSW,3899,46791,56149,True
2508,2021-22,NSW,5722,60010,78086,True
2515,2021-22,NSW,7357,60782,92455,True
2516,2021-22,NSW,4085,63846,94447,True
2517,2021-22,NSW,7884,56945,75149,True
2518,2021-22,NSW,11176,53537,67716,True
2519,2021-22,NSW,10007,52688,71731,True
2520,2021-22,NSW,,,,False
2525,2021-22,NSW,7332,56868,74250,True
2526,2021-22,NSW,9918,56566,71170,True
2527,2021-22,NSW,15780,54718,63951,True
2528,2021-22,NSW,12043,48348,59295,True
2529,2021-22,NSW,17310,53920,68934,True
2530,2021-22,NSW,19977,52102,64232,True
2533,2021-22,NSW,10283,49973,72846,True
2534,2021-22,NSW,3418,48862,77583,True
2535,2021-22,NSW,4386,47208,73884,True
2536,2021-22,NSW,10549,42100,52277,True
2537,2021-22,NSW,7399,43256,55477,True
2538,2021-22,NSW,1454,41916,65219,True
2539,2021-22,NSW,11006,40512,53090,True
2540,2021-22,NSW,24753,46037,58031,True
2541,2021-22,NSW,14984,47426,57706,True
2545,2021-22,NSW,696,36641,45269,True
2546,2021-22,NSW,5372,37558,51133,True
2548,2021-22,NSW,5098,44362,57964,True
2549,2021-22,NSW,2393,43903,55823,True
2550,2021-22,NSW,10110,43114,52812,True
2551,2021-22,NSW,2094,41129,51051,True
2556,2021-22,NSW,1442,47172,96465,True
2557,2021-22,NSW,12707,61504,70086,True
2558,2021-22,NSW,6420,53436,58298,True
2559,2021-22,NSW,1245,42070,49080,True
2560,2021-22,NSW,45332,50956,58483,True
2564,2021-22,NSW,7290,46459,52507,True
2565,2021-22,NSW,19253,55105,64687,True
2566,2021-22,NSW,15696,50659,56582,True
2567,2021-22,NSW,25025,59590,71131,True
2568,2021-22,NSW,665,52436,73068,True
2569,2021-22,NSW,863,54205,67982,True
2570,2021-22,NSW,37835,59861,73383,True
2571,2021-22,NSW,8228,59753,73566,True
2572,2021-22,NSW,3277,56006,65685,True
2573,2021-22,NSW,3334,54034,62048,True
2574,2021-22,NSW,3455,52574,64201,True
2575,2021-22,NSW,10820,51282,115204,True
2576,2021-22,NSW,8609,50181,95668,True
2577,2021-22,NSW,9936,49134,72517,True
2578,2021-22,NSW,1633,40317,61613,True
2579,2021-22,NSW,2642,49605,68902,True
2580,2021-22,NSW,17657,52173,63157,True
2581,2021-22,NSW,1478,59195,69055,True
2582,2021-22,NSW,8445,61885,76422,True
2583,2021-22,NSW,2568,44749,56211,True
2584,2021-22,NSW,321,47632,63389,True
2586,2021-22,NSW,1542,46481,56326,True
2587,2021-22,NSW,1498,47080,58189,True
2588,2021-22,NSW,230,49119,76888,True
2590,2021-22,NSW,3716,46557,59241,True
2594,2021-22,NSW,6590,46660,56294,True
2600,2021-22,ACT,5951,86986,132955,True
2601,2021-22,ACT,3614,51365,73493,True
2602,2021-22,ACT,23085,71027,87803,True
2603,2021-22,ACT,7558,85907,139612,True
2604,2021-22,ACT,9137,84603,104330,True
2605,2021-22,ACT,8111,76552,106518,True
2606,2021-22,ACT,8907,67876,84770,True
2607,2021-22,ACT,9988,69862,93421,True
2609,2021-22,ACT,583,56513,95436,True
2611,2021-22,ACT,24273,74016,88053,True
2612,2021-22,ACT,14024,73130,94097,True
2614,2021-22,ACT,13576,65135,81740,True
2615,2021-22,ACT,30318,65087,73572,True
2617,2021-22,ACT,26134,60138,72626,True
2618,2021-22,NSW,951,65403,124752,True
2619,2021-22,NSW,6326,81947,100663,True
2620,2021-22,NSW,29817,66686,78511,True
2621,2021-22,NSW,4448,73082,88831,True
2622,2021-22,NSW,2494,46704,61091,True
2623,2021-22,NSW,365,62926,65371,True
2625,2021-22,NSW,,,,False
2626,2021-22,NSW,311,57907,66237,True
2627,2021-22,NSW,3399,48557,64036,True
2628,2021-22,NSW,1267,44959,56601,True
2629,2021-22,NSW,260,40461,54165,True
2630,2021-22,NSW,5268,51670,63060,True
2631,2021-22,NSW,373,42844,52542,True
2632,2021-22,NSW,1135,48345,59791,True
2633,2021-22,NSW,,,,False
2640,2021-22,NSW,24555,53064,67130,True
2641,2021-22,NSW,9295,47725,52752,True
2642,2021-22,NSW,3404,50175,60641,True
2643,2021-22,NSW,1790,46655,52329,True
2644,2021-22,NSW,1450,48705,67369,True
2645,2021-22,NSW,227,46942,56654,True
2646,2021-22,NSW,4017,47077,55888,True
2647,2021-22,NSW,1490,44020,52163,True
2648,2021-22,NSW,1318,40517,45749,True
2650,2021-22,NSW,36990,54252,66177,True
2651,2021-22,NSW,1437,54991,58973,True
2652,2021-22,NSW,3063,51041,60596,True
2653,2021-22,NSW,1444,48354,58313,True
2655,2021-22,NSW,832,49267,55500,True
2656,2021-22,NSW,744,50544,58689,True
2658,2021-22,NSW,790,45938,53488,True
2659,2021-22,NSW,507,46349,56775,True
2660,2021-22,NSW,891,48531,56771,True
2663,2021-22,NSW,2649,49321,57876,True
2665,2021-22,NSW,1201,43652,54869,True
2666,2021-22,NSW,3215,44217,54515,True
2668,2021-22,NSW,214,43270,56416,True
2669,2021-22,NSW,900,43044,49211,True
2671,2021-22,NSW,2359,49618,63164,True
2672,2021-22,NSW,852,50113,61950,True
2675,2021-22,NSW,1023,47688,54037,True
2680,2021-22,NSW,16817,51341,58989,True
2681,2021-22,NSW,1109,51590,56933,True
2700,2021-22,NSW,2758,47876,54645,True
2701,2021-22,NSW,1545,51001,61518,True
2702,2021-22,NSW,426,52454,66232,True
2703,2021-22,NSW,405,45278,52565,True
2705,2021-22,NSW,6192,49518,54711,True
2706,2021-22,NSW,685,53252,57054,True
2707,2021-22,NSW,827,44968,47213,True
2710,2021-22,NSW,5880,45539,52725,True
2711,2021-22,NSW,1872,49319,55189,True
2712,2021-22,NSW,741,42632,54227,True
2713,2021-22,NSW,1571,42037,49402,True
2714,2021-22,NSW,1637,42777,53225,True
2715,2021-22,NSW,869,47213,53529,True
2716,2021-22,NSW,652,45843,58516,True
2717,2021-22,NSW,609,40717,50284,True
2720,2021-22,NSW,4676,51849,63847,True
2722,2021-22,NSW,1929,45578,58483,True
2727,2021-22,NSW,252,48142,70510,True
2729,2021-22,NSW,989,47878,61313,True
2730,2021-22,NSW,767,44521,52092,True
2731,2021-22,NSW,4344,48733,63504,True
2732,2021-22,NSW,1088,40269,49782,True
2733,2021-22,NSW,357,45449,47686,True
2734,2021-22,NSW,218,45091,72359,True
2736,2021-22,NSW,234,44929,52352,True
2737,2021-22,NSW,521,42536,55003,True
2738,2021-22,NSW,1328,53632,66760,True
2739,2021-22,NSW,877,46939,60842,True
2745,2021-22,NSW,19556,62538,78495,True
2747,2021-22,NSW,30812,56725,64052,True
2748,2021-22,NSW,1235,57305,111580,True
2749,2021-22,NSW,10034,57019,67599,True
2750,2021-22,NSW,28627,56417,65623,True
2751,2021-22,NSW,,,,False
2752,2021-22,NSW,3865,61845,69259,True
2753,2021-22,NSW,10395,52694,66242,True
2754,2021-22,NSW,4328,54726,66091,True
2756,2021-22,NSW,21526,55194,68724,True
2757,2021-22,NSW,554,51237,67143,True
2758,2021-22,NSW,5664,54255,71906,True
2759,2021-22,NSW,15914,56872,63145,True
2760,2021-22,NSW,20436,52709,57058,True
2761,2021-22,NSW,20763,55623,61557,True
2762,2021-22,NSW,14400,68164,77416,True
2763,2021-22,NSW,20181,59977,69267,True
2765,2021-22,NSW,30741,65820,77559,True
2766,2021-22,NSW,9578,52475,58215,True
2767,2021-22,NSW,13601,53318,60059,True
2768,2021-22,NSW,16909,65214,78843,True
2769,2021-22,NSW,9519,76993,90151,True
2770,2021-22,NSW,30171,45845,50523,True
2773,2021-22,NSW,3783,62524,85895,True
2774,2021-22,NSW,7769,61485,77896,True
2775,2021-22,NSW,850,45620,62512,True
2776,2021-22,NSW,2457,57561,68701,True
2777,2021-22,NSW,10584,57911,71095,True
2778,2021-22,NSW,1562,53115,65295,True
2779,2021-22,NSW,2930,52942,62353,True
2780,2021-22,NSW,7633,44833,61499,True
2782,2021-22,NSW,3581,46418,67583,True
2783,2021-22,NSW,1623,48699,59497,True
2784,2021-22,NSW,772,47573,62415,True
2785,2021-22,NSW,2739,43903,61292,True
2786,2021-22,NSW,712,40573,58740,True
2787,2021-22,NSW,2586,50709,59964,True
2790,2021-22,NSW,7943,48799,61515,True
2792,2021-22,NSW,233,51818,67622,True
2793,2021-22,NSW,475,42494,63101,True
2794,2021-22,NSW,5762,45135,52909,True
2795,2021-22,NSW,25850,53283,64262,True
2797,2021-22,NSW,258,49062,56287,True
2798,2021-22,NSW,1330,55156,77067,True
2799,2021-22,NSW,2479,53497,61796,True
2800,2021-22,NSW,27825,55765,70009,True
2804,2021-22,NSW,1496,42767,51712,True
2805,2021-22,NSW,246,46229,51299,True
2806,2021-22,NSW,497,44407,62381,True
2807,2021-22,NSW,214,38823,43675,True
2810,2021-22,NSW,1698,43535,52196,True
2818,2021-22,NSW,472,50057,53646,True
2820,2021-22,NSW,3385,44004,50819,True
2821,2021-22,NSW,2647,47480,56378,True
2823,2021-22,NSW,795,48031,56591,True
2824,2021-22,NSW,1257,50666,65665,True
2825,2021-22,NSW,1352,49567,58996,True
2827,2021-22,NSW,1990,44461,50370,True
2828,2021-22,NSW,403,39847,45555,True
