merchant_abn,transaction_count,total_dollar_value,first_order_datetime,last_order_datetime
57542178219,649,46722.9815248263,2021-03-01,2022-10-26
34967436738,631,1991443.6966048377,2021-02-28,2022-10-26
32635507667,619,1156325.865027375,2021-02-28,2022-10-26
95677361909,606,864477.1719229262,2021-02-28,2022-10-25
68441592159,582,1055453.0142657193,2021-03-02,2022-10-26
13226823813,574,31343.382965710185,2021-02-28,2022-10-26
17670294801,572,419522.497098684,2021-03-01,2022-10-26
83220249221,571,43405.55344369019,2021-03-02,2022-10-25
65130002423,554,1342850.6537391937,2021-03-01,2022-10-24
46693373183,548,1265416.9932405017,2021-02-28,2022-10-26
82414335931,548,1400923.0130700215,2021-03-02,2022-10-25
68102957262,542,767515.0151241593,2021-02-28,2022-10-26
93559143257,526,1056280.8573954082,2021-03-02,2022-10-25
98134689800,516,724677.8582033146,2021-03-01,2022-10-26
66782478748,513,381622.0095003916,2021-02-28,2022-10-26
56180588880,508,954922.1819450655,2021-02-28,2022-10-26
29156021067,503,929995.599895116,2021-03-10,2022-10-26
84540911878,500,40616.63794275437,2021-02-28,2022-10-25
88472152633,491,299473.71856843703,2021-03-03,2022-10-26
82774123839,488,174552.58228500883,2021-03-02,2022-10-26
17109287252,484,633437.7734871149,2021-03-01,2022-10-26
46765707573,481,52555.51493965522,2021-02-28,2022-10-26
88984392677,476,83965.66409856829,2021-03-01,2022-10-24
19417329512,456,87499.09648980369,2021-03-01,2022-10-25
84825393532,454,39025.289988203214,2021-02-28,2022-10-26
35625780258,448,1138808.1405605501,2021-02-28,2022-10-25
40324168149,439,289221.5503716472,2021-02-28,2022-10-26
87921002735,437,893622.0739841992,2021-03-04,2022-10-25
92442801816,433,138892.64612239582,2021-03-01,2022-10-26
73645625064,431,852700.3540399784,2021-02-28,2022-10-24
53819859057,427,41753.290784912664,2021-03-03,2022-10-26
57685886118,417,775814.1288344798,2021-03-01,2022-10-26
53714470577,415,1332201.9829207992,2021-02-28,2022-10-25
90635623930,415,177143.84869590256,2021-03-01,2022-10-25
29227046551,406,748078.5187512763,2021-02-28,2022-10-26
92220967360,405,603192.6707183635,2021-02-28,2022-10-26
37720067731,398,439437.50166071317,2021-03-03,2022-10-26
56096548005,394,1226931.834222629,2021-03-01,2022-10-26
26189928515,393,70335.37144367899,2021-03-05,2022-10-25
99256510843,380,776773.3438444495,2021-03-04,2022-10-24
52985515941,369,901991.8886548934,2021-03-06,2022-10-26
93676909958,367,832968.074021322,2021-02-28,2022-10-25
86083695354,365,706638.8961925243,2021-02-28,2022-10-25
81146325646,362,414674.094775437,2021-02-28,2022-10-26
34768390517,361,374948.59173638094,2021-02-28,2022-10-24
45382127804,361,941346.0667747753,2021-03-02,2022-10-25
41164626453,360,1411988.9753910538,2021-02-28,2022-10-26
30984752802,357,703337.7964769094,2021-03-02,2022-10-26
35389993777,357,927695.7198573644,2021-02-28,2022-10-26
63136990017,355,45009.24940884403,2021-02-28,2022-10-26
18978126444,333,134017.9686661992,2021-03-06,2022-10-26
13177076095,330,24027.734093824343,2021-03-01,2022-10-25
48032257165,328,840988.5792874027,2021-03-04,2022-10-25
83893827922,327,1202304.1327073227,2021-03-01,2022-10-23
47832925600,319,1042520.7253858789,2021-02-28,2022-10-25
79123236887,311,1148044.2193714823,2021-03-02,2022-10-18
53714166188,310,1414388.0177439854,2021-03-02,2022-10-26
23495610951,307,1224961.7833399603,2021-03-03,2022-10-26
85194491864,305,751047.6071866535,2021-03-06,2022-10-26
48766981369,304,44922.48998423983,2021-02-28,2022-10-23
91282687779,300,107807.681752986,2021-03-05,2022-10-26
75256916133,287,229725.01864338858,2021-03-02,2022-10-25
87982339334,283,901711.3222509387,2021-03-08,2022-10-26
48452300785,273,302053.5754508392,2021-02-28,2022-10-26
84500933183,270,325050.1301004025,2021-03-13,2022-10-26
51213238913,269,71980.01380889224,2021-03-01,2022-10-21
66302182333,267,1071007.4381468222,2021-03-04,2022-10-26
60427964172,266,165674.06153772972,2021-03-02,2022-10-18
73121558118,265,36439.68619621299,2021-03-02,2022-10-25
15699401518,251,259752.52933908303,2021-03-04,2022-10-25
95390063681,248,39548.26992369473,2021-03-02,2022-10-24
55376897006,245,27833.773089109174,2021-03-04,2022-10-23
15862090061,242,235314.20319857815,2021-03-02,2022-10-23
57684437046,237,465937.01188144105,2021-03-03,2022-10-26
19109035261,233,681217.4640489306,2021-03-02,2022-10-26
23618059522,217,293726.2231530457,2021-03-03,2022-10-24
56373397631,205,241429.58341766408,2021-03-05,2022-10-26
23996199758,201,48521.752837582666,2021-03-16,2022-10-24
99271509353,195,551714.1803779451,2021-03-05,2022-10-23
84453282583,191,569141.6148858506,2021-02-28,2022-10-26
58830373879,178,1273622.4065017363,2021-03-01,2022-10-25
84812509466,176,1254904.498606354,2021-03-01,2022-10-25
61275158695,168,328731.2977440443,2021-03-02,2022-10-21
82729532791,161,23370.781418520986,2021-02-28,2022-10-23
35601926858,154,394069.8509142277,2021-03-06,2022-10-26
89738742187,153,177225.98678386334,2021-03-01,2022-10-22
98035030376,153,198855.8579045134,2021-02-28,2022-10-24
96836546482,147,36342.70638674125,2021-03-08,2022-10-26
86398826270,142,355741.3072139483,2021-04-01,2022-10-26
66591506230,134,226444.5287178009,2021-03-02,2022-10-24
64701685993,133,1446846.5115231704,2021-03-14,2022-10-24
24403499052,129,195054.71935263247,2021-03-12,2022-10-26
24421284006,127,76130.27344184718,2021-03-03,2022-10-25
53965592614,126,152492.65108839248,2021-03-11,2022-10-22
80824405924,124,80065.51762872007,2021-03-03,2022-10-23
68666836212,123,25021.521989572826,2021-03-16,2022-10-21
74448581190,122,26098.40315580318,2021-03-01,2022-10-11
28045708925,119,41553.6380932957,2021-03-05,2022-10-25
40561606111,117,245122.46144473634,2021-03-06,2022-10-24
68395659657,115,18482.29427806931,2021-03-08,2022-10-25
20206252973,114,1232304.5444020014,2021-03-07,2022-10-26
25115235920,114,33239.20318699589,2021-02-28,2022-10-25
87901668493,110,1184326.4346852656,2021-03-07,2022-10-23
10672322914,107,413861.35373521224,2021-03-01,2022-10-19
22211992302,106,389150.3803893931,2021-03-13,2022-10-26
87816203170,104,390012.59008155,2021-03-04,2022-10-23
98770741241,102,26081.265271762288,2021-03-03,2022-10-20
28593430437,98,47919.9761657321,2021-02-28,2022-10-22
57630082383,97,187601.64265653415,2021-03-13,2022-10-16
32297823633,95,123962.39390509133,2021-03-09,2022-10-24
94311056026,94,1432208.6622881906,2021-03-24,2022-10-26
82999039227,93,1498338.0567886145,2021-02-28,2022-10-24
75892370170,91,1507474.2982609523,2021-03-03,2022-10-24
45925655949,90,685753.0292483246,2021-03-06,2022-10-18
87725508705,88,176476.78115637167,2021-03-19,2022-10-25
76609397647,86,36895.44550855299,2021-03-06,2022-10-23
20203896291,85,12889.00290447,2021-03-03,2022-10-19
47286141527,85,255633.16377633315,2021-03-07,2022-10-22
59258669983,84,1105659.179704612,2021-04-17,2022-10-23
99223587142,84,726882.6362803716,2021-03-15,2022-10-20
11358147682,83,975653.7311396553,2021-03-06,2022-10-09
79800042168,82,946200.0896481196,2021-03-03,2022-10-10
67676587249,80,659653.1448293868,2021-03-21,2022-10-22
51776659549,78,18447.956333274957,2021-03-08,2022-10-21
70770904219,78,1066221.5798627515,2021-03-18,2022-10-24
77252929420,78,19416.90122629929,2021-02-28,2022-10-20
30818723636,77,54500.1331760493,2021-03-12,2022-10-17
65901138420,77,136217.44864239555,2021-03-18,2022-10-15
17366602511,76,26124.03853870334,2021-03-03,2022-10-21
66600007969,72,294949.6944967253,2021-03-01,2022-10-11
87654295342,72,535327.045370699,2021-03-17,2022-10-23
27848119046,71,84401.6641432356,2021-03-06,2022-10-26
37333878076,71,184521.4649906682,2021-03-02,2022-10-26
43978961327,71,157015.8174509398,2021-03-29,2022-10-13
48926993113,69,273287.22720951465,2021-03-20,2022-10-07
56638395137,69,167037.47628390035,2021-03-19,2022-10-26
92867778949,68,159585.1220184554,2021-03-02,2022-10-09
48597174605,67,62078.46224408878,2021-03-25,2022-10-24
63248668429,67,839033.0770924841,2021-03-19,2022-10-25
16496390781,66,129778.61641622841,2021-03-20,2022-10-14
40965168375,66,96836.68669008916,2021-03-04,2022-10-26
19142852082,65,11213.616232468921,2021-03-16,2022-10-23
88020276364,65,664428.4442720567,2021-03-17,2022-10-24
11400713351,64,885678.8453729425,2021-03-01,2022-10-16
55233303555,64,481866.6188521834,2021-02-28,2022-10-21
90217817387,62,125678.70371321951,2021-03-19,2022-10-21
53764119144,61,20819.36535602729,2021-04-13,2022-10-26
31507950402,60,723885.1632736723,2021-03-06,2022-10-17
77126808895,60,56297.84804148075,2021-03-13,2022-10-25
48732140317,57,19853.27879490574,2021-03-11,2022-10-12
61640767352,57,30532.925405643666,2021-03-06,2022-10-18
65655213781,55,702597.5335334484,2021-03-04,2022-09-18
46530858477,54,174368.29570485087,2021-03-14,2022-10-08
63684153348,51,38118.12113349076,2021-03-21,2022-10-11
71523080801,51,35642.36934160689,2021-03-12,2022-10-19
65535416609,50,205131.23556647458,2021-04-02,2022-10-26
91893652010,49,597398.6437013005,2021-03-01,2022-10-21
53225404497,48,186882.0098298585,2021-03-10,2022-10-14
93360876880,48,14531.945076774038,2021-03-11,2022-09-27
56395390867,47,46747.77965910108,2021-03-30,2022-10-05
73052515151,47,704356.2523877934,2021-03-06,2022-10-26
20890410130,46,228682.88026783225,2021-03-25,2022-10-18
23686790459,45,792709.932293019,2021-03-19,2022-10-26
19010030815,44,750414.2745885766,2021-03-30,2022-10-17
62789659343,43,740274.7035690071,2021-03-06,2022-10-20
68925908607,43,390257.06825584726,2021-03-03,2022-10-15
84544964236,43,197061.27259882118,2021-03-26,2022-09-30
22215771201,40,10045.238144985371,2021-03-03,2022-10-18
22614407882,40,47872.55633135018,2021-03-12,2022-10-19
32642832483,40,221545.51698642303,2021-04-30,2022-10-25
90215795341,40,20154.881756980794,2021-03-09,2022-10-18
92396103355,40,788488.0177515573,2021-05-10,2022-10-25
97396701267,39,156030.49578335724,2021-03-12,2022-10-23
99553942031,39,94577.93592279947,2021-05-02,2022-10-25
15058508937,38,49322.009806760514,2021-03-13,2022-10-20
96129954993,38,123640.83150370939,2021-04-02,2022-10-23
73148634619,37,49749.29967690999,2021-03-10,2022-10-25
59852268487,36,29737.476036397667,2021-03-14,2022-10-18
89143142781,35,70483.39359763615,2021-04-11,2022-10-23
47118059796,34,95610.44559110915,2021-03-23,2022-10-14
58480763378,34,48628.762815775255,2021-03-26,2022-09-28
60944858280,34,36222.668904125174,2021-03-06,2022-10-23
82961950769,34,239380.1169705584,2021-03-14,2022-10-23
91162493125,34,47385.06032676986,2021-03-16,2022-10-17
41425032366,33,49889.993803898,2021-04-06,2022-10-22
54082851220,33,504499.9840877827,2021-03-11,2022-09-30
95135242310,33,36181.57389156075,2021-03-31,2022-10-22
97452567554,33,49447.19599337371,2021-04-17,2022-10-25
23329655134,32,126763.16580543743,2021-03-18,2022-10-19
49010686671,32,205194.27435027563,2021-03-05,2022-09-14
49837933840,32,36555.63660445239,2021-04-18,2022-10-19
48299688317,31,133809.11524628324,2021-03-07,2022-09-12
22039770981,30,48784.76689516441,2021-04-05,2022-10-24
67254399155,30,31654.835349558838,2021-04-10,2022-10-08
51914572250,29,35852.239370194744,2021-03-15,2022-09-12
67214015867,29,41922.24123639761,2021-03-29,2022-10-25
50663416598,28,61650.43333567235,2021-03-13,2022-10-10
54785675857,28,65673.82057089666,2021-03-12,2022-10-20
31277741768,27,58522.17277443471,2021-04-02,2022-10-20
23142656360,26,87429.14917013356,2021-04-01,2022-09-03
72847069951,26,35022.42888374151,2021-03-16,2022-10-22
27950649624,24,22865.45964012464,2021-03-02,2022-10-04
37070901816,24,23634.992204174338,2021-03-31,2022-08-29
64691760345,24,181175.50051701596,2021-03-03,2022-10-15
43023119927,23,20084.938008910813,2021-03-15,2022-10-21
63072262874,23,36357.01410406244,2021-04-01,2022-10-09
21563204684,22,227841.34892773794,2021-03-07,2022-09-21
67877736141,22,91156.32174956037,2021-04-04,2022-10-23
74777410897,22,26566.61980327405,2021-04-01,2022-09-07
29836312398,21,69835.23217510065,2021-04-23,2022-10-26
43231453666,20,25409.908632263876,2021-04-04,2022-10-06
74519830790,20,241618.25832921432,2021-03-08,2022-09-17
13494073581,19,78129.27756251607,2021-03-13,2022-07-08
73533145785,19,124983.29838401073,2021-03-18,2022-09-26
73683476429,19,42652.2621740611,2021-03-19,2022-10-19
97996530744,19,49450.94439514623,2021-05-23,2022-09-17
11029341140,18,46513.68857814464,2021-03-28,2022-10-25
22237228673,18,28956.657294508015,2021-04-04,2022-08-29
28717590335,18,34077.99035461252,2021-03-17,2022-10-06
57564805948,18,223734.53611486088,2021-04-05,2022-10-05
60218700582,18,12523.487561668457,2021-06-04,2022-10-10
66145449222,18,16907.473905224408,2021-03-06,2022-09-05
71091910300,18,35979.76045954094,2021-05-10,2022-09-30
46018169855,17,48906.83266786228,2021-04-16,2022-10-15
56503889644,17,24467.100196569594,2021-06-09,2022-10-05
60452214220,17,43062.53924180196,2021-03-05,2022-10-19
79526372673,17,123025.7239883074,2021-03-18,2022-09-20
46093007286,16,47501.86926967279,2021-05-14,2022-10-23
53145095472,16,29370.280130918618,2021-03-15,2022-09-01
70686815873,16,36409.735932285854,2021-04-06,2022-07-11
89211610270,16,42766.9103617482,2021-03-14,2022-10-02
13129485817,15,46932.80372200778,2021-04-20,2022-09-29
15073921424,15,15338.636042432809,2021-04-21,2022-10-26
29215623643,15,213598.30550536077,2021-04-07,2022-10-14
62321559724,15,67670.95151808039,2021-07-01,2022-09-23
24301977828,14,160775.72607885493,2021-03-13,2022-10-22
31782061377,14,125272.15082515348,2021-03-27,2022-10-23
32831345323,14,30505.18765682946,2021-03-21,2022-10-21
53581165509,14,33646.24667629179,2021-05-25,2022-10-09
82045372678,14,42853.28611377407,2021-06-04,2022-10-13
22119749782,13,51416.98105341024,2021-06-01,2022-10-16
33621236826,13,51611.29022970499,2021-08-11,2022-10-07
41525815543,13,51384.06138252179,2021-04-04,2022-08-21
49465266764,13,141129.26101208548,2021-03-02,2022-10-21
71762159356,13,41924.83760767494,2021-05-25,2022-10-21
88555435517,13,24360.375822117257,2021-03-07,2022-10-06
90628017098,13,31657.588715402606,2021-06-06,2022-10-12
18899854203,12,22905.092886833376,2021-05-14,2022-09-05
53335180575,12,25881.483997085452,2021-05-23,2022-10-24
64121624765,12,41053.92201662146,2021-05-04,2022-08-15
72898830301,12,45529.31248551205,2021-03-31,2022-10-17
13289167958,11,229155.43969270837,2021-05-23,2022-06-28
25569327276,11,106408.59424802168,2021-03-06,2022-08-24
54963312919,11,47783.5847612791,2021-05-01,2022-09-25
56703883889,11,12661.658997504905,2021-07-25,2022-10-26
59299206461,11,61350.013889851485,2021-05-09,2022-08-07
83316055023,11,15421.24072454411,2021-03-29,2022-10-25
24089799666,10,15265.208700692794,2021-05-02,2022-09-18
37816907112,10,48427.13971724905,2021-04-29,2022-04-23
44881138767,10,42159.23381384187,2021-04-19,2022-08-10
58925451218,10,80415.93348415387,2021-06-26,2022-08-24
73057975450,10,36448.576634763645,2021-04-16,2022-09-27
87767413481,10,29816.95959933405,2021-09-22,2022-09-18
44649509702,9,99493.32556163057,2021-11-11,2022-09-17
68724135684,9,118620.97326634548,2021-03-20,2022-08-26
70649324294,9,23133.15841594113,2021-09-16,2022-10-26
71874230481,9,30678.57898270012,2021-07-03,2022-10-03
97879265453,9,44122.30630219247,2021-03-18,2022-10-23
22130142351,8,28421.99526823741,2021-08-06,2022-06-09
53313679463,8,20892.86879885662,2021-03-13,2022-09-25
55461936812,8,139260.15215803048,2021-03-23,2022-10-07
63939052570,8,14266.459479260302,2021-03-28,2022-09-04
79246172899,8,223935.955453497,2021-03-29,2022-09-13
87300469819,8,26205.849553621916,2021-03-31,2022-10-18
94527407677,8,23619.858016916987,2021-05-05,2022-10-24
98345415950,8,57398.81085534908,2021-09-05,2022-10-16
32649670245,7,12120.86738680564,2021-05-18,2022-08-25
40284000376,7,28271.273542341216,2021-11-13,2022-10-23
58623214116,7,28704.66988184609,2021-07-22,2022-07-09
61333486380,7,12758.69659388148,2021-05-05,2022-07-07
76470925707,7,36541.79652864255,2021-06-19,2022-07-24
79251685752,7,172522.2845839099,2021-06-22,2022-10-09
85364382870,7,14715.598900001014,2021-06-10,2022-08-18
22390313614,6,38684.17397297149,2021-09-05,2022-07-17
29674997261,6,142066.0858278871,2021-04-15,2022-07-22
48539533779,6,49967.332181530495,2021-05-04,2022-10-20
81337769582,6,20918.18113433984,2021-07-21,2022-09-18
87606625308,6,25920.981572207835,2021-10-12,2022-10-12
94100550074,6,70981.99502328469,2021-04-02,2022-06-19
99877648878,6,26563.351258250164,2021-12-14,2022-08-31
49369565194,5,71626.77708263975,2021-07-12,2022-08-20
52447384759,5,24252.356206765755,2021-04-23,2022-08-09
71836374493,5,26756.63204418565,2021-03-28,2022-09-26
91764184823,5,53981.03947896402,2021-03-10,2022-08-15
98421172521,5,86499.81954097177,2021-03-21,2022-09-10
18250330194,4,50584.657307350106,2021-07-08,2022-10-10
20139842060,4,16532.21380824446,2021-06-05,2022-10-10
27508358370,4,57248.18476391272,2021-06-06,2022-08-26
28548640086,4,45016.70249894059,2021-05-16,2022-01-11
28767881738,4,21295.899487309085,2021-08-05,2022-07-24
30717284167,4,18275.930637035814,2021-03-21,2022-06-17
53852972654,4,43556.721994954176,2021-06-15,2022-08-21
57241240228,4,45055.09580792566,2021-11-29,2022-10-20
68666078115,4,49410.99949428818,2021-03-03,2021-12-31
71727754465,4,66478.15438440174,2021-05-08,2022-06-10
95463427236,4,32330.817359621065,2021-04-25,2022-04-27
39896168660,3,59900.652357144994,2021-07-23,2022-07-25
60945400664,3,26389.287055746456,2021-11-13,2022-01-30
73439079670,3,33026.83564759569,2021-08-10,2022-09-21
98671274602,3,21429.256872457336,2021-10-04,2022-08-11
12959561070,2,23014.659123813035,2021-05-23,2022-06-15
34451067367,2,41937.97467000822,2021-11-15,2022-03-19
72519488277,2,20668.99505525634,2022-08-20,2022-08-26
72900319608,2,35373.650346816445,2021-10-04,2022-09-30
37145789569,1,23400.562318126977,2022-01-12,2022-01-12
46244515644,1,24100.618816768798,2022-02-26,2022-02-26
50154587122,1,12706.208211758403,2021-03-20,2021-03-20
50794104497,1,26864.335548709532,2021-05-01,2021-05-01
80664157260,1,20669.603238286298,2022-01-23,2022-01-23
86868464441,1,47422.85145989429,2021-03-19,2021-03-19
99989036621,1,56552.39444305644,2021-10-17,2021-10-17
