transaction_date,transaction_count,total_amount,average_amount,active_users,active_merchants,transaction_count_7d_ma,total_amount_7d_ma
2021-04-10,18618,3169047.720644616,170.21418630597358,12965,2112,17745.285714285714,2945816.2810031506
2021-04-11,18812,3113669.815059758,165.51508691578556,13076,2112,17972.0,2977588.0023299637
2021-04-12,16947,2816639.3726676153,166.20283074689416,12155,2030,17884.571428571428,2951161.3741143243
2021-04-13,17657,2862484.693404901,162.116140533777,12460,2060,18049.428571428572,2955722.783032385
2021-04-14,18169,2996722.069554012,164.93599370102987,12738,2064,18138.285714285714,2990790.8254366443
2021-04-15,20494,3284539.792445683,160.26836110303907,13863,2138,18485.571428571428,3042660.1345200096
2021-04-16,20298,3476487.576856739,171.2724197879958,13708,2160,18713.571428571428,3102798.720090475
2021-04-17,19414,3322624.0032331273,171.1457712595615,13251,2117,18827.285714285714,3124738.189031691
2021-04-18,19963,3382374.1044637673,169.43215470940075,13591,2108,18991.714285714286,3163124.5160894063
2021-04-19,17787,2894036.2025989564,162.70513310839132,12571,2061,19111.714285714286,3174181.206079598
2021-04-20,18905,3160631.4304988617,167.18494739480886,13166,2065,19290.0,3216773.5970930206
2021-04-21,18986,3231244.4707974643,170.19090228576133,13130,2137,19406.714285714286,3250276.7972706566
2021-04-22,19827,3276425.612787863,165.25069918736384,13611,2146,19311.428571428572,3249117.6287481114
2021-04-23,19790,3197276.9367728084,161.56022924572048,13495,2120,19238.85714285714,3209230.394450407
2021-04-24,19230,3125704.8512950395,162.5431539935018,13272,2079,19212.571428571428,3181099.08703068
2021-04-25,17631,2988835.350885151,169.52160120725716,12563,2064,18879.428571428572,3124879.2650908777
2021-04-26,18360,3044344.446228848,165.8139676595233,12742,2056,18961.285714285714,3146351.8713237196
2021-04-27,17981,2998393.69011308,166.75344475352207,12694,2067,18829.285714285714,3123175.051268608
2021-04-28,19450,3294123.9632289694,169.36369990894445,13334,2143,18895.571428571428,3132157.8359016804
2021-04-29,20403,3384065.269399917,165.86116107434776,13797,2182,18977.85714285714,3147534.929703402
2021-04-30,21392,3507606.5064756856,163.96814259890078,14223,2164,19206.714285714286,3191867.7253752416
2021-05-01,20853,3369362.3984699557,161.57686656452097,13993,2154,19438.571428571428,3226675.9464002294
2021-05-02,20645,3374735.854168071,163.46504500693004,13844,2161,19869.14285714286,3281804.5897263614
2021-05-03,19523,3178766.5745402584,162.82162447063763,13417,2137,20035.285714285714,3301007.750913705
2021-05-04,19235,3097386.773749383,161.02868592406463,13268,2098,20214.428571428572,3315149.620004606
2021-05-05,20203,3389238.5502277324,167.7591719164348,13758,2142,20322.0,3328737.418147286
2021-05-06,21049,3524582.7810049765,167.44656663048013,14042,2152,20414.285714285714,3348811.3483765805
2021-05-07,21053,3497367.928640936,166.12206947422865,14011,2169,20365.85714285714,3347348.6944001876
2021-05-08,19999,3340315.608420227,167.02413162759274,13655,2150,20243.85714285714,3343199.1529645124
2021-05-09,19936,3384399.788588614,169.76323177109822,13575,2161,20142.571428571428,3344579.7150245896
2021-05-10,18377,3074336.5242050127,167.29262252843296,12884,2075,19978.85714285714,3329661.136405269
2021-05-11,18443,2947313.4264671383,159.80661641094932,12876,2048,19865.714285714286,3308222.08679352
2021-05-12,19442,3194578.96593101,164.31328906136252,13399,2089,19757.0,3280413.574751131
2021-05-13,19863,3326468.0093480977,167.47057389861035,13492,2125,19587.571428571428,3252111.464514434
2021-05-14,21218,3517824.0462953234,165.79432775451613,14067,2172,19611.14285714286,3255033.767036489
2021-05-15,20990,3472188.725499407,165.4210922105482,14013,2156,19752.714285714286,3273872.783762086
2021-05-16,21347,3527258.6234029634,165.23439468791696,14118,2162,19954.285714285714,3294281.1887355647
2021-05-17,20301,3468534.13507165,170.85533397722526,13682,2120,20229.14285714286,3350595.133145084
2021-05-18,20294,3337726.0798362074,164.46861534622093,13734,2106,20493.571428571428,3406368.3693406656
2021-05-19,21308,3556535.291632765,166.91079836834828,14125,2166,20760.14285714286,3458076.415869488
2021-05-20,22232,3727149.991050722,167.6479844841095,14550,2189,21098.571428571428,3515316.6989698624
2021-05-21,22474,3677560.874006359,163.63624072289574,14654,2176,21278.0,3538136.245785725
2021-05-22,21460,3654355.0176088875,170.28681349528833,14218,2181,21345.14285714286,3564160.001801365
2021-05-23,20781,3482539.5471099676,167.58286642172982,13908,2140,21264.285714285714,3557771.5623309365
2021-05-24,19804,3271310.0392611944,165.18430818325564,13521,2129,21193.285714285714,3529596.691500872
2021-05-25,19415,3263606.0302434987,168.09714294326545,13400,2092,21067.714285714286,3519008.1129876273
2021-05-26,19690,3364525.0152120935,170.87481032057357,13409,2138,20836.571428571428,3491578.07349896
2021-05-27,21171,3664689.690912752,173.0995083327548,14142,2154,20685.0,3482655.1734792506
2021-05-28,22275,3738551.338401912,167.83619925485576,14506,2147,20656.571428571428,3491368.0969643295
2021-05-29,21093,3499369.9572881637,165.90195597061413,14109,2174,20604.14285714286,3469227.3740613684
2021-05-30,20913,3444452.5571036376,164.70389504631748,14021,2202,20623.0,3463786.375489036
2021-05-31,21279,3633883.219697369,170.7732139525997,14146,2215,20833.714285714286,3515582.544122775
2021-06-01,19266,3224476.664235822,167.3661717136833,13147,2093,20812.428571428572,3509992.634693107
2021-06-02,19391,3178146.771227698,163.8980336871589,13288,2090,20769.714285714286,3483367.171266765
2021-06-03,20877,3696155.661599715,177.04438672221653,13772,2164,20727.714285714286,3487862.3099363307
2021-06-04,20910,3455236.1643138793,165.2432407610655,13920,2167,20532.714285714286,3447388.7136380402
2021-06-05,21092,3464474.208107001,164.25536734814153,14065,2168,20532.571428571428,3442403.6066121603
2021-06-06,20455,3348334.8604380833,163.69273333845433,13767,2129,20467.14285714286,3428672.5070885094
2021-06-07,20366,3374459.215115346,165.6908187722354,13775,2116,20336.714285714286,3391611.935005363
2021-06-08,20363,3250228.610973107,159.61442866832525,13765,2122,20493.428571428572,3395290.7845392614
2021-06-09,20590,3470610.907432246,168.55808195397017,13807,2162,20664.714285714286,3437071.3754256256
2021-06-10,21177,3539542.8208721625,167.1408991298183,14107,2133,20707.571428571428,3414698.1124645467
2021-06-11,21311,3409194.6324378597,159.97347062258268,14158,2164,20764.85714285714,3408120.7507679723
2021-06-12,20373,3404729.3950183233,167.11968757759405,13741,2106,20662.14285714286,3399585.77746959
2021-06-13,20565,3467278.809042077,168.6009632405581,13801,2133,20677.85714285714,3416577.7701273034
2021-06-14,20214,3210142.142628576,158.8078629973571,13677,2147,20656.14285714286,3393103.9026291934
2021-06-15,20474,3303029.9193121563,161.3280218478146,13876,2146,20672.0,3400646.946677629
2021-06-16,21103,3421226.8900765707,162.12040421156095,14015,2165,20745.285714285714,3393592.0870553893
2021-06-17,21733,3607578.049175579,165.9954009651488,14330,2207,20824.714285714286,3403311.405384449
2021-06-18,21934,3678482.0403367192,167.70684965518006,14443,2168,20913.714285714286,3441781.035084286
2021-06-19,20746,3476364.992111379,167.5679645286503,13964,2114,20967.0,3452014.6918118657
2021-06-20,21625,3581409.1427655322,165.61429561921537,14240,2181,21118.428571428572,3468319.02520093
2021-06-21,20665,3370898.3905731724,163.12114157140925,13830,2143,21182.85714285714,3491284.20347873
2021-06-22,20378,3262812.0112795522,160.11443769160624,13776,2088,21169.14285714286,3485538.7880455004
2021-06-23,20620,3438586.9042297215,166.75979166972462,13897,2135,21100.14285714286,3488018.790067379
2021-06-24,21730,3497128.499151957,160.93550387261652,14376,2165,21099.714285714286,3472240.2829211475
2021-06-25,22160,3704014.111795196,167.14865125429583,14503,2202,21132.0,3475887.72170093
2021-06-26,21550,3465767.208535549,160.82446443320413,14275,2192,21246.85714285714,3474373.752618668
2021-06-27,21666,3551247.894519296,163.90879232526981,14252,2170,21252.714285714286,3470065.002869207
2021-06-28,20615,3495217.7882932546,169.5473096431363,13838,2150,21245.571428571428,3487824.916829218
2021-06-29,20732,3438242.400917465,165.84229215307084,13838,2145,21296.14285714286,3512886.401063205
2021-06-30,22467,3826490.3116422947,170.31603292127542,14551,2173,21560.0,3568301.1735507166
2021-07-01,21446,3445280.293411991,160.6490857694671,14145,2206,21519.428571428572,3560894.287016435
2021-07-02,21580,3639629.7687395657,168.6575425736592,14254,2160,21436.571428571428,3551696.523722774
2021-07-03,20709,3559143.935484895,171.8645968170793,13932,2153,21316.428571428572,3565036.0561441095
2021-07-04,19677,3174191.531896046,161.31481078904537,13514,2134,21032.285714285714,3511170.8614836447
2021-07-05,19571,3282868.5732501927,167.7414834832248,13442,2155,20883.14285714286,3480835.2593346355
2021-07-06,19003,3208675.3431982067,168.85098895954357,13121,2130,20636.14285714286,3448039.9653747417
2021-07-07,19686,3270040.2167282016,166.10993684487462,13501,2116,20238.85714285714,3368547.0946727283
2021-07-08,21168,3550674.4859784655,167.7378347495496,14086,2157,20199.14285714286,3383603.407896511
2021-07-09,21424,3470904.622775884,162.01011121993483,14165,2181,20176.85714285714,3359499.8156159846
2021-07-10,20967,3547256.132035762,169.18281738139754,13973,2167,20213.714285714286,3357801.5579803935
2021-07-11,19886,3296399.0122655486,165.764810030451,13467,2146,20243.571428571428,3375259.7694617514
2021-07-12,19737,3378204.743006408,171.16100435762314,13528,2094,20267.285714285714,3388879.222284068
2021-07-13,20433,3544037.62081275,173.44675871446924,13747,2130,20471.571428571428,3436788.119086146
2021-07-14,21688,3565420.676141661,164.39601051925771,14244,2174,20757.571428571428,3478985.3275737828
2021-07-15,23279,3884242.524881228,166.85607306504696,14918,2218,21059.14285714286,3526637.9045598917
2021-07-16,23074,3832265.6653661495,166.08588304438544,14892,2251,21294.85714285714,3578260.9106442155
2021-07-17,21734,3680445.195941708,169.34044335795105,14374,2197,21404.428571428572,3597287.919773636
2021-07-18,21281,3492975.5124240783,164.13587295822933,14131,2148,21603.714285714286,3625370.276939141
2021-07-19,21286,3603562.6332164872,169.29261642471516,14152,2186,21825.0,3657564.261254866
2021-07-20,20724,3498428.6598572354,168.81049314115205,13901,2149,21866.571428571428,3651048.6954040783
2021-07-21,21232,3602413.2617562013,169.66904963056712,14112,2143,21801.428571428572,3656333.3504918697
2021-07-22,21820,3692344.6063209493,169.21835959307742,14386,2191,21593.0,3628919.3621261157
2021-07-23,22571,3824223.3821626017,169.4308352382527,14680,2190,21521.14285714286,3627770.464525609
2021-07-24,21784,3613322.1242092983,165.87046108195457,14341,2210,21528.285714285714,3618181.454278122
2021-07-25,21223,3568594.682444853,168.14751366182222,14177,2179,21520.0,3628984.192852518
2021-07-26,20502,3398195.7899366184,165.74947760884882,13783,2143,21408.0,3599646.0723839654
2021-07-27,20454,3437108.7393989135,168.0409083503918,13794,2131,21369.428571428572,3590886.0837470624
2021-07-28,20933,3529111.758035526,168.5908258747206,13963,2181,21326.714285714286,3580414.4403583943
2021-07-29,22085,3711102.672861876,168.03725029938312,14504,2190,21364.571428571428,3583094.164149955
2021-07-30,22470,3714502.5115612904,165.30941306458791,14641,2216,21350.14285714286,3567419.7540640533
2021-07-31,21852,3602641.6383831077,164.8655335156099,14367,2137,21359.85714285714,3565893.9703745977
2021-08-01,21008,3401614.345710869,161.91995171891037,14069,2165,21329.14285714286,3542039.636555457
2021-08-02,20350,3485691.7378588365,171.28706328544652,13795,2117,21307.428571428572,3554539.057687203
2021-08-03,20175,3365177.045082447,166.79935787273592,13655,2159,21267.571428571428,3544263.1013562786
2021-08-04,20961,3531418.106423473,168.47565032314645,13935,2164,21271.571428571428,3544592.5796974143
2021-08-05,21538,3535089.117554898,164.13265472907875,14310,2187,21193.428571428572,3519447.7860821313
2021-08-06,22330,3652449.676202084,163.5669357905098,14528,2196,21173.428571428572,3510583.0953165307
2021-08-07,21696,3758954.899158118,173.2556645998395,14344,2159,21151.14285714286,3532913.5611415324
2021-08-08,22014,3846466.7207070445,174.72820571940784,14475,2185,21294.85714285714,3596463.9004267002
2021-08-09,20823,3428295.9611389507,164.63986750895407,13943,2122,21362.428571428572,3588264.5037524304
2021-08-10,20574,3334898.8471124894,162.0928767917026,13906,2148,21419.428571428572,3583939.04689958
2021-08-11,20652,3403782.40802373,164.81611505053894,13816,2132,21375.285714285714,3565705.3756996165
2021-08-12,21482,3544593.942726376,165.0029765723106,14191,2152,21367.285714285714,3567063.20786697
2021-08-13,23096,3792539.469421243,164.20763203244036,14835,2241,21476.714285714286,3587076.0354697076
2021-08-14,23879,4035548.194760791,168.99988252275185,15118,2290,21788.571428571428,3626589.363412946
2021-08-15,23643,3914821.436965798,165.5805708651947,15020,2262,22021.285714285714,3636354.3228784828
2021-08-16,23213,3883327.9436686677,167.29108446425138,14927,2240,22362.714285714286,3701358.8918112996
2021-08-17,21014,3637422.422523421,173.09519475223283,13953,2152,22425.571428571428,3744576.5454414324
2021-08-18,21771,3660995.0895358687,168.1592526542588,14287,2180,22585.428571428572,3781321.2142288806
2021-08-19,24662,4093597.900360247,165.98807478550998,15388,2272,23039.714285714286,3859750.3510337197
2021-08-20,26240,4158740.711537911,158.488594189707,16009,2310,23488.85714285714,3912064.8141932436
2021-08-21,25125,4235846.168997667,168.5908922984146,15634,2310,23666.85714285714,3940678.810512797
2021-08-22,24111,3872910.47526814,160.6283636210916,15294,2241,23733.714285714286,3934691.5302702743
2021-08-23,21833,3592945.875647289,164.56491895970728,14323,2169,23536.571428571428,3893208.377695792
2021-08-24,20772,3322704.1091369726,159.96072160297385,13843,2096,23502.0,3848248.6186405853
2021-08-25,21689,3540629.4223351018,163.2453973136199,14356,2216,23490.285714285714,3831053.5233261893
2021-08-26,22200,3702391.1788563924,166.77437742596362,14543,2168,23138.571428571428,3775166.8488256396
2021-08-27,23202,3860809.8742239615,166.39987389983457,14853,2198,22704.571428571428,3732605.3006379316
2021-08-28,22688,3890008.919468452,171.45666958164898,14715,2216,22356.428571428572,3683199.9792766157
2021-08-29,21995,3598697.275760549,163.61433397411,14374,2169,22054.14285714286,3644026.6650612457
2021-08-30,22086,3639040.5449022623,164.76684528218158,14393,2186,22090.285714285714,3650611.617811956
2021-08-31,22000,3734485.839742148,169.74935635191582,14406,2197,22265.714285714286,3709437.5793269807
2021-09-01,22118,3748600.455804451,169.48189057801116,14504,2156,22327.0,3739147.72696546
2021-09-02,22864,3887210.611925341,170.01445993375356,14787,2198,22421.85714285714,3765550.5031181662
2021-09-03,23706,3866255.1083927345,163.09183786352546,15047,2253,22493.85714285714,3766328.3937137057
2021-09-04,23054,3925398.172404552,170.26972206144495,14861,2264,22546.14285714286,3771384.001276005
2021-09-05,22044,3719838.2530916114,168.7460648290515,14456,2192,22553.14285714286,3788689.855180443
2021-09-06,22470,3694345.8964860193,164.41236744486068,14608,2142,22608.0,3796590.619692408
2021-09-07,21567,3462645.076356321,160.5529316249975,14216,2141,22546.14285714286,3757756.2249230044
2021-09-08,20907,3379069.316422808,161.62382534188586,13998,2139,22373.14285714286,3704966.0621541976
2021-09-09,22043,3642877.8240452576,165.26234287734235,14526,2214,22255.85714285714,3670061.378171329
2021-09-10,22961,3837582.706913513,167.13482456833384,14814,2252,22149.428571428572,3665965.3208171544
2021-09-11,22373,3684920.5749137346,164.70390984283443,14590,2177,22052.14285714286,3631611.3783184667
2021-09-12,22638,3638531.0218168492,160.72669943532333,14608,2175,22137.0,3619996.059564929
2021-09-13,21363,3518411.0768771917,164.69648817475036,14194,2160,21978.85714285714,3594862.5139065245
2021-09-14,21258,3733309.9392250855,175.6190582004462,14128,2196,21934.714285714286,3633528.922887777
2021-09-15,22896,3844290.3791515543,167.90227022849206,14715,2221,22218.85714285714,3699989.07470617
2021-09-16,23676,4003712.4714757847,169.104260494838,15019,2265,22452.14285714286,3751536.881481959
2021-09-17,24108,3944434.387953265,163.61516459072777,15230,2252,22616.0,3766801.407344781
2021-09-18,22916,3805715.6958123497,166.07242519690826,14784,2221,22693.571428571428,3784057.8531874395
2021-09-19,23039,3914021.958329734,169.8867988337052,14892,2210,22750.85714285714,3823413.7012607087
2021-09-20,22173,3658090.785002183,164.97951495071408,14504,2176,22866.571428571428,3843367.9452785654
2021-09-21,21556,3546557.688628265,164.52763446967273,14296,2172,22909.14285714286,3816689.0523361624
2021-09-22,22365,3710656.201587927,165.91353461157735,14553,2196,22833.285714285714,3797598.4555413583
2021-09-23,23866,4102774.9867269252,171.90878181207262,15137,2245,22860.428571428572,3811750.2434343784
2021-09-24,24160,3991431.4520756193,165.2082554667061,15255,2219,22867.85714285714,3818464.109737572
2021-09-25,23186,3890143.4284643736,167.77984251118664,14901,2211,22906.428571428572,3830525.2144021466
2021-09-26,22722,3742189.592079552,164.69455118737577,14666,2209,22861.14285714286,3805977.733509264
2021-09-27,22115,3566317.884341447,161.26239585536726,14454,2164,22852.85714285714,3792867.3191291587
2021-09-28,21707,3643008.070863225,167.82641870655664,14293,2177,22874.428571428572,3806645.9451627242
2021-09-29,22385,3789770.2819252643,169.29954353027762,14596,2221,22877.285714285714,3817947.956639487
2021-09-30,24288,3980496.533234751,163.88737373331483,15304,2249,22937.571428571428,3800479.6061406047
2021-10-01,24710,4104078.149864227,166.08976729519333,15425,2250,23016.14285714286,3816571.991538977
2021-10-02,23412,3897454.669330128,166.47252132795694,14938,2237,23048.428571428572,3817616.4545197985
2021-10-03,22498,3671747.73221813,163.20329505814428,14655,2169,23016.428571428572,3807553.3316824534
2021-10-04,22217,3775935.101143373,169.95701945102277,14482,2187,23031.0,3837498.648368443
2021-10-05,21761,3586933.9102487634,164.83313773488183,14243,2176,23038.714285714286,3829488.0539949476
2021-10-06,22896,3839581.000549763,167.69658458026566,14762,2214,23111.714285714286,3836603.8709413046
2021-10-07,23851,3987823.3013053806,167.19732092178023,15132,2238,23049.285714285714,3837650.552094252
2021-10-08,23909,4052093.636967137,169.4798459562147,15173,2243,22934.85714285714,3830224.1931089535
2021-10-09,23443,3786674.4168567164,161.5268701470254,14953,2198,22939.285714285714,3814398.4427556093
2021-10-10,23454,3895119.404907779,166.07484458547705,14969,2218,23075.85714285714,3846308.681711273
2021-10-11,23196,3871270.144538194,166.89386724168796,14895,2229,23215.714285714286,3859927.973624819
2021-10-12,22550,3721880.2158649685,165.0501204374709,14662,2198,23328.428571428572,3879206.0172842774
2021-10-13,22931,3740588.6732111205,163.1236611229829,14776,2234,23333.428571428572,3865064.2562359
2021-10-14,24117,4122585.8782461653,170.94107385852988,15299,2273,23371.428571428572,3884316.0529417256
2021-10-15,25278,4138147.1315965643,163.70548032267445,15704,2265,23567.0,3896609.4093173584
2021-10-16,24776,4063915.371178944,164.02629040922443,15500,2268,23757.428571428572,3936215.2599348193
2021-10-17,23969,4044741.7177134147,168.74887219798134,15199,2255,23831.0,3957589.87604991
2021-10-18,23636,4015768.4449177496,169.90050960051403,15012,2232,23893.85714285714,3978232.4903898467
2021-10-19,22405,3882785.0416707825,173.29993491054597,14601,2200,23873.14285714286,4001218.8940763916
2021-10-20,22658,3589202.7079377463,158.4077459589437,14685,2171,23834.14285714286,3979592.3276087665
2021-10-21,23444,3871043.1615678244,165.11871530318308,14973,2217,23738.0,3943657.653797575
2021-10-22,24717,4054071.0931596314,164.019544975508,15323,2271,23657.85714285714,3931646.7911637276
2021-10-23,24041,3982073.8327230415,165.63678019728968,15292,2260,23552.85714285714,3919955.1428128844
2021-10-24,25056,4085071.164651814,163.0376422673936,15558,2286,23708.14285714286,3925716.4923755126
2021-10-25,24069,4074309.760105147,169.27623748826903,15207,2233,23770.0,3934079.537402284
2021-10-26,22934,3789874.2814692063,165.25134217621027,14788,2179,23845.571428571428,3920806.5716592013
2021-10-27,22485,3702790.097672016,164.67823427493954,14576,2216,23820.85714285714,3937033.34162124
2021-10-28,23959,4075324.8203455615,170.09578114051345,15209,2302,23894.428571428572,3966216.4357323456
2021-10-29,25082,4224565.830950569,168.43018224027466,15529,2296,23946.571428571428,3990572.8268453367
2021-10-30,24296,4107266.2595423046,169.05113020835958,15203,2270,23983.0,4008457.4592480883
2021-10-31,21869,3477074.4719068916,158.995586076496,14326,2179,23527.714285714286,3921600.7888559573
2021-11-01,23614,4044568.929933131,171.27843355353312,15027,2239,23462.714285714286,3917352.098831383
2021-11-02,23228,3771335.6727210567,162.3616184226389,14925,2204,23504.714285714286,3914703.7261530757
2021-11-03,23268,3929298.5550501356,168.87134928013305,14988,2233,23616.571428571428,3947062.0772070927
2021-11-04,24776,4273443.557148398,172.48319168341936,15477,2296,23733.285714285714,3975364.7538932124
2021-11-05,26094,4306610.592573517,165.04217799392646,15941,2352,23877.85714285714,3987085.434125062
2021-11-06,25961,4120413.255755014,158.71550617291373,15874,2289,24115.714285714286,3988963.5764411637
2021-11-07,26278,4387989.8706213115,166.9834032506778,15934,2331,24745.571428571428,4119094.34768608
2021-11-08,25666,4284936.620014263,166.94991895948974,15803,2301,25038.714285714286,4153432.589126242
2021-11-09,26178,4292243.114008354,163.96375254062013,15979,2302,25460.14285714286,4227847.937881571
2021-11-10,28836,4651646.158579255,161.31384930570314,16862,2375,26255.571428571428,4331040.452671445
2021-11-11,31021,5174535.668612655,166.8075068054755,17388,2414,27147.714285714286,4459767.897166339
2021-11-12,30548,5055443.055701916,165.4917852462327,17327,2371,27784.0,4566743.963327539
2021-11-13,32466,5490925.250338021,169.12848057469415,17824,2435,28713.285714285714,4762531.391125111
2021-11-14,30849,4988551.722219563,161.70870116436717,17397,2404,29366.285714285714,4848325.941353433
2021-11-15,28996,4825317.2116899565,166.41320222409837,16772,2379,29842.0,4925523.168735675
2021-11-16,26418,4411664.337774851,166.9946376627622,16032,2298,29876.285714285714,4942583.34355946
2021-11-17,26091,4407645.338170272,168.9335532624381,15910,2342,29484.14285714286,4907726.0835010335
2021-11-18,28502,4642736.004757979,162.89158672226438,16767,2373,29124.285714285714,4831754.702950366
2021-11-19,30126,4874635.047556538,161.8082403092524,17140,2429,29064.0,4805924.987501025
2021-11-20,30277,5029433.764502625,166.11400615987796,17231,2386,28751.285714285714,4739997.632381684
2021-11-21,30627,5094595.626209954,166.34327966206138,17272,2399,28719.571428571428,4755146.761523168
2021-11-22,32074,5494409.687664203,171.3041618651931,17721,2439,29159.285714285714,4850731.400948061
2021-11-23,35582,5881281.447859049,165.28810769094062,18606,2517,30468.428571428572,5060676.70238866
2021-11-24,36916,6184228.870344221,167.52164021953138,18909,2575,32014.85714285714,5314474.349842081
2021-11-25,40744,6778939.445337037,166.3788397147319,19714,2603,33763.71428571428,5619646.269924804
2021-11-26,61237,10122530.019754784,165.30088050941072,22230,2878,38208.142857142855,6369345.551667412
2021-11-27,56272,9562480.768748673,169.93319535023943,21832,2830,41921.71428571428,7016923.695131131
2021-11-28,47269,7910223.141934889,167.34483788391736,20680,2709,44299.142857142855,7419156.19737755
2021-11-29,56855,9466356.053169472,166.49997455227285,21830,2845,47839.28571428572,7986577.1067354465
2021-11-30,44457,7346561.31827515,165.2509462688699,20242,2673,49107.142857142855,8195902.802509176
2021-12-01,32486,5435843.794223351,167.3288122336807,17798,2465,48474.28571428572,8088990.648777622
2021-12-02,35085,5869704.61202212,167.29954715753513,18432,2522,47665.857142857145,7959099.958304063
2021-12-03,30979,5102961.271245573,164.72324062253696,17412,2394,43343.28571428572,7242018.708517032
2021-12-04,30103,4847443.430471849,161.0285828811696,17085,2372,39604.857142857145,6568441.945906058
2021-12-05,30745,5262721.485362523,171.1732472064571,17375,2414,37244.28571428572,6190227.423538578
2021-12-06,30755,4954243.5789441075,161.08741924708528,17401,2401,33515.71428571428,5545639.927220668
2021-12-07,28920,4677917.893167628,161.7537307457686,16809,2408,31296.14285714286,5164405.152205308
2021-12-08,30603,4988655.531344276,163.0119769742926,17341,2412,31027.14285714286,5100521.114651153
2021-12-09,32623,5373319.478280985,164.70954474698786,17904,2476,30675.428571428572,5029608.952688134
2021-12-10,34284,5657353.095477833,165.01438267057034,18225,2464,31147.571428571428,5108807.784721315
